Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Kaboom Lys Mousset #15,"2,200,749.75 VND to 2,222,151.30 VND",https://www.ebay.com/itm/235980469087,https://i.ebayimg.com/images/g/W8kAAeSw7MtnwTJP/s-l500.jpg,"Sold  Apr 1, 2025"
2020-21 Panini Prizm Premier League Kaboom Lys Mousset #15,"1,080,391.50 VND",https://www.ebay.com/itm/235964672284,https://i.ebayimg.com/images/g/Q9kAAeSwzRFntSbG/s-l140.jpg,"Sold  Feb 27, 2025"
2020-21 Panini Prizm Premier League Kaboom Lys Mousset #15,"2,200,749.75 VND to 2,222,151.30 VND",https://www.ebay.com/itm/235980469087,https://i.ebayimg.com/images/g/W8kAAeSw7MtnwTJP/s-l140.jpg,"Sold  Apr 1, 2025"
LYS MOUSSET 2020 PANINI PRIZM PREMIER LEAGUE KABOOM SOCCER SP Q2754,"799,335.00 VND",https://www.ebay.com/itm/276906805270,https://i.ebayimg.com/images/g/vDwAAeSwkZNnwMPG/s-l500.jpg,"Sold  Mar 6, 2025"
LYS MOUSSET 2020 PANINI PRIZM PREMIER LEAGUE KABOOM SOCCER SP Q2754,"799,335.00 VND",https://www.ebay.com/itm/276906805270,https://i.ebayimg.com/images/g/vDwAAeSwkZNnwMPG/s-l140.jpg,"Sold  Mar 6, 2025"
Lys Mousset 2020-21 Prizm Premier League Kaboom! SSP #15 PSA 10 Case Hit,"3,094,200.00 VND",https://www.ebay.com/itm/376019057731,https://i.ebayimg.com/images/g/3eEAAeSw9tZnu82w/s-l140.jpg,"Sold  Feb 24, 2025"
2020-21 Panini Premier League Soccer Lys Mousset Kaboom! - Sheffield United,"1,263,207.15 VND",https://www.ebay.com/itm/356541982007,https://i.ebayimg.com/images/g/x-EAAOSwjFFnpUN6/s-l140.jpg,"Sold  Feb 16, 2025"
2020-21 Panini Prizm Premier League Lys Mousset Kaboom Case Hit SP,"1,289,250.00 VND",https://www.ebay.com/itm/395966961080,https://i.ebayimg.com/images/g/E9YAAOSwJExnUFfS/s-l140.jpg,"Sold  Jan 29, 2025"
2020-21 Panini Prizm Premier League LYS MOUSSET Kaboom Insert #15 RARE SP,"1,933,875.00 VND",https://www.ebay.com/itm/226230821957,https://i.ebayimg.com/images/g/mx4AAOSwPtlmieuR/s-l140.jpg,"Sold  Jan 28, 2025"
2020-21 Panini Prizm EPL Premier League Orange Refractor Lys Mousset /25 SSP,"1,676,025.00 VND",https://www.ebay.com/itm/363688571432,https://i.ebayimg.com/images/g/SRgAAOSw0r5h33vV/s-l140.jpg,"Sold  Jan 15, 2025"
Lys Mousset 2020-21 Panini Prizm Premier League Kaboom! SSP Fulham,"670,410.00 VND",https://www.ebay.com/itm/256839506167,https://i.ebayimg.com/images/g/Qj0AAOSwq5tnwDK4/s-l140.jpg,"Sold  Mar 9, 2025"
