Title,Price,Link,Image Link,Sold Date
Magdalena Eriksson /50 - Panini Women's Bundesliga 2024/25 - Bayern Munich,"423,750.69 VND",https://www.ebay.com/itm/146469996292,https://i.ebayimg.com/images/g/aWAAAOSwW5Rn4FsT/s-l140.jpg,"Sold  Mar 30, 2025"
Panini World Cup 2023 Trading Card No. 207 - Magdalena Eriksson - Team Mate,"28,250.05 VND",https://www.ebay.com/itm/295844130256,https://i.ebayimg.com/images/g/PC8AAOSw7Hhkw626/s-l140.jpg,"Sold  Jan 26, 2025"
2023 TOPPS CHROME SAPPHIRE WOMENS UEFA CHAMPIONS LEAGUE MAGDALENA ERIKSSON #66,"25,785.00 VND",https://www.ebay.com/itm/176731275982,https://i.ebayimg.com/images/g/ouwAAOSwFMJnWhbc/s-l140.jpg,"Sold  Mar 21, 2025"
Magdalena Eriksson 2023-24 Topps Chrome Women's UEFA Inside Look #IL-3,"50,280.75 VND",https://www.ebay.com/itm/356204757081,https://i.ebayimg.com/images/g/dwEAAOSwsSJnIXwo/s-l140.jpg,"Sold  Mar 31, 2025"
2023-24 Topps Chrome Women's UEFA Magdalena Eriksson Orange Refractor /25,"141,817.50 VND",https://www.ebay.com/itm/226661507575,https://i.ebayimg.com/images/g/qXIAAOSwI1VnzeFd/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Donruss Women's World Cup MAGDALENA ERIKSSON #21 Star Status Pink 18/23,"257,850.00 VND",https://www.ebay.com/itm/145901883647,https://i.ebayimg.com/images/g/GO8AAOSwG6Zl5QBH/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Topps Chrome Women's UEFA Magdalena Eriksson Color Match 01/99,"257,592.15 VND",https://www.ebay.com/itm/226638064508,https://i.ebayimg.com/images/g/enkAAOSw4KJnzd6n/s-l140.jpg,"Sold  Mar 14, 2025"
2021 Topps Chrome UEFA Women's Champions League Magdalena Eriksson #81 Rookie RC,"25,527.15 VND to 43,576.65 VND",https://www.ebay.com/itm/256778937165,https://i.ebayimg.com/images/g/EQcAAeSwAE9nzrbE/s-l140.jpg,"Sold  Mar 2, 2025"
2023-24 Topps Chrome UEFA Women's Inside Look #IL3 Magdalena Eriksson,"58,016.25 VND",https://www.ebay.com/itm/167158698835,https://i.ebayimg.com/images/g/jTEAAeSwTHpnyDsG/s-l140.jpg,"Sold  Mar 7, 2025"
2023 Panini Donruss FIFA Women's World Cup Magdalena Eriksson Star Status /49 SP,"102,882.15 VND",https://www.ebay.com/itm/365414865983,https://i.ebayimg.com/images/g/QTQAAOSw-x9nuTuY/s-l140.jpg,"Sold  Mar 3, 2025"
2023 Donruss FIFA Women's World Cup Star Status Orange /49 Magdalena Eriksson,"102,882.15 VND to 747,765.00 VND",https://www.ebay.com/itm/335747074779,https://i.ebayimg.com/images/g/yK0AAeSwkC9nve7q/s-l140.jpg,"Sold  Jan 10, 2025"
2023-24 Topps Chrome UEFA Womens Pernille Harder & Magdalena Eriksson Dual /99,"1,289,250.00 VND",https://www.ebay.com/itm/405510092981,https://i.ebayimg.com/images/g/K54AAOSw17Rnmw-1/s-l140.jpg,"Sold  Feb 18, 2025"
23-24 Chrome UEFA Women's Champions League Orange Ref /25 Magdalena Eriksson,"83,801.25 VND",https://www.ebay.com/itm/335787365946,https://i.ebayimg.com/images/g/WmcAAOSwxy9nmCdD/s-l140.jpg,"Sold  Feb 5, 2025"
2023-24 Topps Chrome UEFA Women's Champions League Magdalena Eriksson Aqua REF,"3,867.75 VND",https://www.ebay.com/itm/375915697264,https://i.ebayimg.com/images/g/P7MAAOSwtSBneeck/s-l140.jpg,"Sold  Jan 14, 2025"
2023 TOPPS CHROME SAPPHIRE WOMENS UEFA CHAMPIONS LEAGUE MAGDALENA ERIKSSON #66,"25,785.00 VND",https://www.ebay.com/itm/176731275982,https://i.ebayimg.com/images/g/ouwAAOSwFMJnWhbc/s-l500.jpg,"Sold  Mar 21, 2025"
