Title,Price,Link,Image Link,Sold Date
Levi Colwill Malo Gusto 2023 Select Premier League Tie Dye Patch #22/25,"1,933,875.00 VND",https://www.ebay.com/itm/226627016019,https://i.ebayimg.com/images/g/le0AAeSwGxVnxSDM/s-l500.jpg,"Sold  Mar 31, 2025"
Levi Colwill Malo Gusto 2023 Select Premier League Tie Dye Patch #22/25,"1,418,175.00 VND",https://www.ebay.com/itm/356588006411,https://i.ebayimg.com/images/g/NIMAAeSwpCxntUL6/s-l140.jpg,"Sold  Feb 18, 2025"
Autograph Malo Gusto (Chelsea FC) France France,"185,180.44 VND",https://www.ebay.com/itm/256855981870,https://i.ebayimg.com/images/g/lkAAAOSwJtNn0xLM/s-l140.jpg,"Sold  Mar 23, 2025"
Autograph Malo Gusto (Chelsea FC),"185,465.33 VND",https://www.ebay.com/itm/256788472694,https://i.ebayimg.com/images/g/EqAAAOSwhpBnjTb8/s-l140.jpg,"Sold  Jan 26, 2025"
2023 Panini Prizm Premier League Malo Gusto Emergent Orange #25/25,"193,387.50 VND",https://www.ebay.com/itm/376061139556,https://i.ebayimg.com/images/g/exAAAeSw6Ftn0J9B/s-l140.jpg,"Sold  Mar 16, 2025"
2022 Topps Merlin UEFA Malo Gusto RC Rookie Gold Refractor #5/50,"595,633.50 VND",https://www.ebay.com/itm/205338665587,https://i.ebayimg.com/images/g/oLIAAeSwTuVnyx8Q/s-l140.jpg,"Sold  Mar 12, 2025"
2021-22 Topps Merlin Chrome UEFA MALO GUSTO 243/250 Rookie RC Atomic Ref #27,"25,527.15 VND",https://www.ebay.com/itm/306105765262,https://i.ebayimg.com/images/g/ScwAAOSwfC9nqvmT/s-l140.jpg,"Sold  Feb 19, 2025"
MALO GUSTO CHELSEA TEAM SET TOPPS 2023-24 PREMIER LEAGUE AUTO /25,"437,875.71 VND",https://www.ebay.com/itm/135513634053,https://i.ebayimg.com/images/g/WhkAAOSw7O5nj8wq/s-l140.jpg,"Sold  Feb 2, 2025"
2021 Topps Merlin Collection Chrome UCL Blue Refractor /75 Malo Gusto Rookie RC,"462,895.80 VND",https://www.ebay.com/itm/335812012488,https://i.ebayimg.com/images/g/M5UAAeSw4etnrrhe/s-l140.jpg,"Sold  Mar 19, 2025"
2021-22 Topps Merlin Malo Gusto Red /5 Rookie RC #27  ,"1,301,000.00 VND",https://www.ebay.com/itm/267176490344,https://i.ebayimg.com/images/g/xTgAAeSwvMdnxQA-/s-l140.jpg,"Sold  Mar 4, 2025"
2021-22 Topps Merlin Malo Gusto Purple Refractor 15/15 Bookend Rookie RC #27,"650,239.80 VND",https://www.ebay.com/itm/126871662096,https://i.ebayimg.com/images/g/ViUAAOSw1SVnfa5l/s-l140.jpg,"Sold  Jan 14, 2025"
2021-22 Topps Merlin Chrome #27 Malo Gusto Speckle Refractor /150 RC *READ*,"390,300.00 VND",https://www.ebay.com/itm/395199857897,https://i.ebayimg.com/images/g/PIkAAOSwNEJlzCSX/s-l140.jpg,"Sold  Jan 12, 2025"
Levi Colwill/Malo Gusto Patch Tie Dye (09/25),"976,616.47 VND",https://www.ebay.com/itm/316522141259,https://i.ebayimg.com/images/g/hgkAAeSwLaRn22gM/s-l140.jpg,"Sold  Mar 26, 2025"
TOPPS MERLIN CHROME 2021/22 MALO GUSTO OLYMPIQUE LYONNAIS PARALLEL 173/199,"41,363.47 VND",https://www.ebay.com/itm/156791221822,https://i.ebayimg.com/images/g/1kcAAOSwhy5n1C3t/s-l140.jpg,"Sold  Mar 22, 2025"
"Adrenalyn XL 2025 football ""MALO GUSTO"" #108 Chelsea Trading Card","33,024.06 VND",https://www.ebay.com/itm/296627429426,https://i.ebayimg.com/images/g/h~AAAOSw3RFmuilU/s-l140.jpg,"Sold  Mar 22, 2025"
Topps Match Attax 2024/25 - Malo Gusto Chelsea No. 90,"33,357.64 VND",https://www.ebay.com/itm/205096040299,https://i.ebayimg.com/images/g/byYAAOSwHXBnMLjt/s-l140.jpg,"Sold  Feb 26, 2025"
2024 Malo Gusto Auto /150 AU-MG Topps Chelsea Team Set,"498,562.72 VND",https://www.ebay.com/itm/387867600294,https://i.ebayimg.com/images/g/77EAAOSwgKtnkxuL/s-l140.jpg,"Sold  Jan 31, 2025"
Signed Malo Gusto 24/25 Chelsea Third Kit ,"1,667,548.42 VND",https://www.ebay.com/itm/235864857766,https://i.ebayimg.com/images/g/hVcAAOSwcUVnV4Td/s-l140.jpg,"Sold  Jan 18, 2025"
ADRENALYN XL PREMIER LEAGUE PLUS 2024: Malo Gusto/Hypersonic #418,333.58 VND,https://www.ebay.com/itm/286254177559,https://i.ebayimg.com/images/g/m3UAAOSwUptnfouT/s-l140.jpg,"Sold  Jan 15, 2025"
