Title,Price,Link,Image Link,Sold Date
2023-24 Panini Immaculate Soccer Manuel Locatelli /99 Shadowbox Autograph Card,"215,989.34 VND",https://www.ebay.com/itm/205362087199,https://i.ebayimg.com/images/g/7loAAeSwV3Bn2dvZ/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Panini Immaculate Soccer Manuel Locatelli Shadowbox Signatures Auto /25,"489,915.00 VND",https://www.ebay.com/itm/326502261835,https://i.ebayimg.com/images/g/tz8AAeSwwBdn4uOJ/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 Panini Immaculate Soccer Manuel Locatelli Shadowbox Signatures Auto /25,"386,775.00 VND",https://www.ebay.com/itm/256839914130,https://i.ebayimg.com/images/g/IN4AAOSwGYFnxK77/s-l140.jpg,"Sold  Mar 9, 2025"
2023-24 Panini Donruss FIFA Beautiful Game Auto Manuel Locatelli #BG-ML Auto,"302,715.90 VND",https://www.ebay.com/itm/335800797458,https://i.ebayimg.com/images/g/FBYAAeSwe7ZnpQaj/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Donruss FIFA - Beautiful Game Autographs #BG-ML Manuel Locatelli ,"154,710.00 VND",https://www.ebay.com/itm/276831674622,https://i.ebayimg.com/images/g/josAAOSworVnlnm8/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Panini Donruss - Beautiful Game Autographs #BG-ML Manuel Locatelli (AU),"390,300.00 VND",https://www.ebay.com/itm/387445318157,https://i.ebayimg.com/images/g/ldIAAOSwLqxnT1GL/s-l140.jpg,"Sold  Feb 11, 2025"
2023-24 Panini Donruss - Beautiful Game Autographs #BG-ML Manuel Locatelli Auto,"299,230.00 VND",https://www.ebay.com/itm/146208925281,https://i.ebayimg.com/images/g/NqoAAOSwHz9nPjxv/s-l140.jpg,"Sold  Feb 9, 2025"
Manuel Locatelli - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"116,032.50 VND",https://www.ebay.com/itm/235979973948,https://i.ebayimg.com/images/g/WLQAAeSwfF5nwVEi/s-l140.jpg,"Sold  Mar 1, 2025"
Manuel Locatelli - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"263,007.00 VND",https://www.ebay.com/itm/297052274725,https://i.ebayimg.com/images/g/eWgAAeSwtYJnu-zq/s-l140.jpg,"Sold  Feb 26, 2025"
Manuel Locatelli - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"83,801.25 VND",https://www.ebay.com/itm/235966310428,https://i.ebayimg.com/images/g/O1AAAeSwO8BntqRa/s-l140.jpg,"Sold  Feb 22, 2025"
