Title,Price,Link,Image Link,Sold Date
1993 Upper Deck 94 World Cup Preview Future Star Marc Wilmots #FS15,"33,262.65 VND",https://www.ebay.com/itm/385725413911,https://i.ebayimg.com/images/g/iXIAAOSw~jhkoPeN/s-l140.jpg,"Sold  Jan 27, 2025"
#414 Panini Champions League Sticker 2001/02 FC Schalke 04 Marc Wilmots,"183,625.30 VND",https://www.ebay.com/itm/335692694812,https://i.ebayimg.com/images/g/asEAAOSwtzFnQ0BO/s-l140.jpg,"Sold  Mar 25, 2025"
MARC WILMOTS #7 Belgium Home World Cup 2002 Custom-Made Handmade Name Set,"483,210.90 VND",https://www.ebay.com/itm/234607365551,https://i.ebayimg.com/images/g/9EQAAOSwWcdbQpPx/s-l140.jpg,"Sold  Mar 10, 2025"
Panini World Cup 2002 Card - Marc Wilmots Belgium No. 29,"49,511.40 VND",https://www.ebay.com/itm/196928201038,https://i.ebayimg.com/images/g/~9QAAOSwMyVneRRq/s-l140.jpg,"Sold  Feb 6, 2025"
Marc Wilmots++++FC Schalke 04++++World Cup++++autographed++++rare card,"98,875.16 VND",https://www.ebay.com/itm/356435860938,https://i.ebayimg.com/images/g/x5oAAOSwiYhneZRb/s-l140.jpg,"Sold  Jan 11, 2025"
2020 Obsidian Marc Wilmots Lightning Strike Auto Red #5/5,"1,457,120.00 VND",https://www.ebay.com/itm/376098682510,https://i.ebayimg.com/images/g/3Z4AAeSwYXln4xR7/s-l500.jpg,"Sold  Mar 30, 2025"
Postcard 99/00 Marc Wilmots Schalke 04 autograph card,"28,489.30 VND",https://www.ebay.com/itm/235948306063,https://i.ebayimg.com/images/g/OB4AAOSwr2JnljuT/s-l140.jpg,"Sold  Mar 31, 2025"
2019-20 Panini Gold Standard Marc Wilmots Aurum Autograph #/149 Schalke ,"1,364,637.37 VND",https://www.ebay.com/itm/176720722637,https://i.ebayimg.com/images/g/frkAAOSwOABnUcr~/s-l140.jpg,"Sold  Mar 29, 2025"
2022 MARC WILMOTS 08/15 JERSEY FUTERA UNIQUE TRIBUTE,"702,279.80 VND",https://www.ebay.com/itm/156438975929,https://i.ebayimg.com/images/g/QdwAAOSwautkScdC/s-l140.jpg,"Sold  Mar 14, 2025"
"Marc WILMOTS - Belgium, FC Schalke 04 1997/98, Original Autograph!","128,201.84 VND",https://www.ebay.com/itm/326412708489,https://i.ebayimg.com/images/g/BLwAAOSwKaFnjoW~/s-l140.jpg,"Sold  Mar 12, 2025"
"Marc Wilmots, original signed, excellent autograph card","60,682.20 VND",https://www.ebay.com/itm/306154970403,https://i.ebayimg.com/images/g/9-kAAOSw-zNnxfjr/s-l140.jpg,"Sold  Mar 10, 2025"
"Panini football 97, Marc Wilmots, FC Schalke 04, silver sticker, signed","142,161.60 VND",https://www.ebay.com/itm/256837886160,https://i.ebayimg.com/images/g/O4QAAOSwYqlnZZGJ/s-l140.jpg,"Sold  Mar 8, 2025"
2024 Futera Unique World Football Marc Wilmots Timeless Gold 10/19 Game Worn,"71,815.20 VND",https://www.ebay.com/itm/376028182330,https://i.ebayimg.com/images/g/FS8AAOSwpalnwE30/s-l140.jpg,"Sold  Mar 7, 2025"
Autograph - Marc Wilmots (FC Schalke 04) - 2001/2002,"112,532.73 VND",https://www.ebay.com/itm/364997640357,https://i.ebayimg.com/images/g/zU0AAOSwvbFmi-Ap/s-l140.jpg,"Sold  Mar 6, 2025"
"Marc Wilmots hand signed autograph card, autograph, standard Liège, Schalke 04","520,499.47 VND",https://www.ebay.com/itm/205317849351,https://i.ebayimg.com/images/g/b8YAAeSwXWVnvzfj/s-l140.jpg,"Sold  Mar 5, 2025"
2020 Futera Unique Coach Relics Marc Wilmots /32 Schalke Belgium Match Worn MW,"26,020.00 VND",https://www.ebay.com/itm/296955817469,https://i.ebayimg.com/images/g/JnwAAOSwQ3Rj69pW/s-l140.jpg,"Sold  Jan 26, 2025"
2020-21 Panini Obsidian Lightning Strike Auto Marc Wilmots /99 Schalke 04 b,"711,947.56 VND",https://www.ebay.com/itm/405485865747,https://i.ebayimg.com/images/g/g1sAAOSwva1ni5Cp/s-l140.jpg,"Sold  Jan 22, 2025"
2020-21 Panini Obsidian Aurora Auto Marc Wilmots Electric Etch Yellow /10,"1,709,072.99 VND",https://www.ebay.com/itm/405471369440,https://i.ebayimg.com/images/g/aWoAAOSwcfZngmhH/s-l140.jpg,"Sold  Jan 18, 2025"
