Title,Price,Link,Image Link,Sold Date
MARCOS ALONSO 2019 PANINI PRIZM PREMIER LEAGUE SOCCER PURPLE /99 Q0M-297,"32,231.25 VND",https://www.ebay.com/itm/276814597648,https://i.ebayimg.com/images/g/KXsAAOSwqVdnhC6T/s-l140.jpg,"Sold  Jan 19, 2025"
MARCOS ALONSO 2019 PANINI PRIZM PREMIER LEAGUE SOCCER RED /149 Q0M-297,"53,890.65 VND",https://www.ebay.com/itm/276814597821,https://i.ebayimg.com/images/g/pv0AAOSwtFRnhC5w/s-l140.jpg,"Sold  Jan 19, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA TOPPS 2024 LA LIGA HOLOCENE /99,"42,375.07 VND",https://www.ebay.com/itm/135639072476,https://i.ebayimg.com/images/g/xuQAAOSwXlNntxNC/s-l140.jpg,"Sold  Mar 30, 2025"
MARCOS ALONSO SIGNING #51 RC CELTA VIGO CHROME LA LIGA ESTE 2024-25 PANINI 24/25,"84,467.64 VND",https://www.ebay.com/itm/235789746741,https://i.ebayimg.com/images/g/xF0AAOSw-~hnD~TI/s-l140.jpg,"Sold  Mar 29, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA DAKA 2024 LA LIGA HOLOCENE /99,"28,250.05 VND",https://www.ebay.com/itm/135620464449,https://i.ebayimg.com/images/g/MpcAAOSw4JpntyNm/s-l140.jpg,"Sold  Mar 23, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA DAKA 2024 LA LIGA HOLOCENE /199,"28,250.05 VND",https://www.ebay.com/itm/135620464341,https://i.ebayimg.com/images/g/XwIAAOSw1hFntdqj/s-l140.jpg,"Sold  Mar 23, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA DAKA 2024 LA LIGA HOLOCENE /99,"28,250.05 VND",https://www.ebay.com/itm/135620464324,https://i.ebayimg.com/images/g/qqwAAOSwGfJntyNH/s-l140.jpg,"Sold  Mar 23, 2025"
Daka 2023 Barcelona Soccer Card Holocene No-4 Marcos Alonso,"28,250.05 VND",https://www.ebay.com/itm/335522311148,https://i.ebayimg.com/images/g/JdUAAOSwhlVmtLJv/s-l140.jpg,"Sold  Aug 26, 2024"
MARCOS ALONSO ONE & TWO FC BARCELONA TOPPS 2024 LA LIGA HOLOCENE /99,"70,625.12 VND",https://www.ebay.com/itm/135568459102,https://i.ebayimg.com/images/g/GU0AAOSwHgdntxPY/s-l140.jpg,"Sold  Mar 2, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA DAKA 2024 LA LIGA HOLOCENE /99,"28,250.05 VND",https://www.ebay.com/itm/135568554928,https://i.ebayimg.com/images/g/ZcYAAOSwOc9ntdrb/s-l140.jpg,"Sold  Mar 2, 2025"
MARCOS ALONSO ONE & TWO FC BARCELONA TOPPS 2024 LA LIGA HOLOCENE /99,"28,250.05 VND",https://www.ebay.com/itm/135568459058,https://i.ebayimg.com/images/g/48sAAOSwz5RntxWE/s-l140.jpg,"Sold  Mar 2, 2025"
