Title,Price,Link,Image Link,Sold Date
Marcus Pedersen - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/235923268286,https://i.ebayimg.com/images/g/M0UAAOSwLVpnjxba/s-l140.jpg,"Sold  Jan 23, 2025"
Marcus Pedersen - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"83,801.25 VND",https://www.ebay.com/itm/235921808785,https://i.ebayimg.com/images/g/vmIAAOSw~xJnjcUj/s-l140.jpg,"Sold  Jan 22, 2025"
Marcus Pedersen - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #6,"64,204.65 VND",https://www.ebay.com/itm/226567227228,https://i.ebayimg.com/images/g/yDgAAOSweOhnlwCb/s-l140.jpg,"Sold  Jan 29, 2025"
Marcus Pedersen 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"77,612.85 VND",https://www.ebay.com/itm/167287143877,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Marcus Pedersen 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"25,527.15 VND",https://www.ebay.com/itm/167284721687,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
2024-25 Donruss Marcus Pedersen Rookie Kings RC #15,"25,759.80 VND",https://www.ebay.com/itm/376088106429,https://i.ebayimg.com/images/g/2DMAAeSwALFn3c06/s-l500.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss No. 15 Marcus Pedersen Rookie Kings Red,"56,693.70 VND",https://www.ebay.com/itm/316576817254,https://i.ebayimg.com/images/g/r38AAOSwAe1n6cYS/s-l140.jpg,"Sold  Apr 4, 2025"
2024-25 Panini Donruss Optic Marcus Pedersen RC RR Purple Mojo Prizm 19/25 KT01,"7,806.00 VND",https://www.ebay.com/itm/396369399902,https://i.ebayimg.com/images/g/pzoAAOSwSIRnwfBi/s-l140.jpg,"Sold  Apr 4, 2025"
2024-25 Panini Donruss Optic Marcus Pedersen RC RR Purple Mojo Prizm 19/25 KT01,"7,806.00 VND",https://www.ebay.com/itm/396332377431,https://i.ebayimg.com/images/g/pzoAAOSwSIRnwfBi/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss Optic Marcus Pedersen RC RR Purple Mojo Prizm 19/25 KT01,"3,903.00 VND",https://www.ebay.com/itm/396258394184,https://i.ebayimg.com/images/g/pzoAAOSwSIRnwfBi/s-l140.jpg,"Sold  Mar 8, 2025"
