Title,Price,Link,Image Link,Sold Date
2022 Select Premier League Terrace Orange Prizm 38/99 Marcus Tavernier Rookie RC,"50,280.75 VND",https://www.ebay.com/itm/335858939036,https://i.ebayimg.com/images/g/HRQAAeSwPnxn0hj9/s-l140.jpg,"Sold  Mar 22, 2025"
2022-23 Select Premier League Terrace Orange Prizm [/99] -- Marcus Tavernier,"38,677.50 VND",https://www.ebay.com/itm/405457742751,https://i.ebayimg.com/images/g/c58AAOSwpB5mEz7G/s-l140.jpg,"Sold  Jan 9, 2025"
2023-24 Panini Obsidian Soccer Vitreous Marcus Tavernier GOLD #/10 Bournemouth,"90,247.50 VND",https://www.ebay.com/itm/205252669620,https://i.ebayimg.com/images/g/4IMAAOSwscxnYP8L/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Panini Obsidian Soccer Marcus Tavernier Vitreous /120 Bournemouth #1,"25,785.00 VND",https://www.ebay.com/itm/405497970676,https://i.ebayimg.com/images/g/x~cAAOSw021nhEhe/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Panini Obsidian Soccer Marcus Tavernier Vitreous /120 Bournemouth #1,"25,785.00 VND",https://www.ebay.com/itm/405473717928,https://i.ebayimg.com/images/g/x~cAAOSw021nhEhe/s-l140.jpg,"Sold  Jan 19, 2025"
PANINI OBSIDIAN SOCCER 2023/2024 MARCUS TAVERNIER AFC BOURNEMOUTH  66/75.,"99,687.39 VND",https://www.ebay.com/itm/156810529147,https://i.ebayimg.com/images/g/VuMAAOSwdAdn2vZ4/s-l140.jpg,"Sold  Mar 29, 2025"
1/4 ≈1/1 ! 2023-24 Impeccable Premier League Marcus Tavernier #2 Silver Bar,"980,087.85 VND",https://www.ebay.com/itm/365477290087,https://i.ebayimg.com/images/g/ResAAOSw8Zdn335N/s-l140.jpg,"Sold  Mar 27, 2025"
2022 Panini Impeccable Premier League Marcus Tavernier Sapphire #/25,"70,908.75 VND",https://www.ebay.com/itm/376088092113,https://i.ebayimg.com/images/g/S7oAAeSwCsln3cs6/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 MARCUS TAVERNIER 11/49 PANINI SELECT PREMIER LEAGUE TERRACE TIE-DYE,"180,237.15 VND",https://www.ebay.com/itm/156354682230,https://i.ebayimg.com/images/g/DPsAAOSwrjlmuZiC/s-l140.jpg,"Sold  Mar 13, 2025"
2022-23 Select PL Soccer Future Gold Prizm Marcus Tavernier RC Rookie 1/10,"83,801.25 VND",https://www.ebay.com/itm/388038449864,https://i.ebayimg.com/images/g/GRkAAOSw3g5nyMCA/s-l140.jpg,"Sold  Mar 12, 2025"
Marcus Tavernier 2022-23 Panini Immaculate Collection Soccer RC 47/75 [kzk14,"25,785.00 VND",https://www.ebay.com/itm/376042566560,https://i.ebayimg.com/images/g/NXUAAOSwnJpnx7iQ/s-l140.jpg,"Sold  Mar 9, 2025"
Marcus Tavernier  2023-24 Panini Select Premier League White Ice Prizm 81/85,"24,495.75 VND",https://www.ebay.com/itm/126971329827,https://i.ebayimg.com/images/g/NXIAAOSwdK9nw6RB/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Immaculate Collection Soccer Marcus Tavernier /10 AFC Bournemouth,"515,442.15 VND",https://www.ebay.com/itm/405605931808,https://i.ebayimg.com/images/g/89gAAeSwScRnx049/s-l140.jpg,"Sold  Mar 4, 2025"
2022 Panini Prizm Premier League Marcus Tavernier Rookie Prizms Pink RC #116/199,"40,740.30 VND",https://www.ebay.com/itm/376008583137,https://i.ebayimg.com/images/g/B-MAAeSwwdhntjuC/s-l140.jpg,"Sold  Feb 24, 2025"
2023-24 Panini Impeccable Premier League #62 Marcus Tavernier Emerald PSA 10,"2,062,542.15 VND",https://www.ebay.com/itm/296978422063,https://i.ebayimg.com/images/g/pZsAAOSwJUBnnap-/s-l140.jpg,"Sold  Feb 3, 2025"
