Title,Price,Link,Image Link,Sold Date
2023 Topps Chrome UEFA UCC Mario Gila Toppsfractor #13/52,"52,859.25 VND",https://www.ebay.com/itm/376014371087,https://i.ebayimg.com/images/g/EKwAAeSwYetno7bV/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Topps Chrome UEFA UCC Mario Gila Toppsfractor #13/52,"25,527.15 VND",https://www.ebay.com/itm/375973628979,https://i.ebayimg.com/images/g/EKwAAeSwYetno7bV/s-l140.jpg,"Sold  Feb 10, 2025"
2022 Topps Merlin Chrome UEFA Mario Gila Purple Refractor RC #/15 #129,"257,592.15 VND",https://www.ebay.com/itm/226565564921,https://i.ebayimg.com/images/g/w5kAAOSwBG5ngyw5/s-l140.jpg,"Sold  Feb 1, 2025"
2022 Topps Merlin Chrome UEFA Mario Gila Green Mojo Refractor RC #/99 #129,"25,527.15 VND",https://www.ebay.com/itm/126863413818,https://i.ebayimg.com/images/g/WDIAAOSwVytndvnD/s-l140.jpg,"Sold  Jan 7, 2025"
2022 Leaf Ultimate Soccer Mario Gila Gold Auto Autograph /5,"231,807.15 VND",https://www.ebay.com/itm/176833940344,https://i.ebayimg.com/images/g/MgcAAOSwXJhnqQWP/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Topps Chrome UEFA Club Competitions Color Match Refractor /99 Mario Gila,"251,145.90 VND",https://www.ebay.com/itm/235909013106,https://i.ebayimg.com/images/g/5woAAOSwdrhngfqR/s-l140.jpg,"Sold  Mar 26, 2025"
Mario Gila /199 & /399 Topps Chrome All Star Rookie Champions League Lazio Rome,"84,467.64 VND",https://www.ebay.com/itm/388012431015,https://i.ebayimg.com/images/g/xZ8AAOSwmtdnwb9W/s-l140.jpg,"Sold  Mar 16, 2025"
Mario Gila 2023-24 Topps Chrome UEFA Purple Ray Wave 149/175 [dbH57,"25,785.00 VND",https://www.ebay.com/itm/376032328901,https://i.ebayimg.com/images/g/ZFIAAOSw3tdnwmte/s-l140.jpg,"Sold  Mar 5, 2025"
Topps 2024 Champions League Chrome No. 93 Mario Gila,"28,250.05 VND",https://www.ebay.com/itm/315891027575,https://i.ebayimg.com/images/g/On8AAOSwZftnHP6a/s-l140.jpg,"Sold  Mar 2, 2025"
Mario Gila 2023-24 Topps Chrome UEFA All-Star Rookie Blue Shimmer 098/150,"25,785.00 VND",https://www.ebay.com/itm/376011765580,https://i.ebayimg.com/images/g/F-YAAOSwYSFnt-8s/s-l140.jpg,"Sold  Feb 25, 2025"
2022 Leaf GOLD Ultimate MARIO GILA Soccer AUTO 4/12,"25,785.00 VND",https://www.ebay.com/itm/256810293344,https://i.ebayimg.com/images/g/D4cAAOSwZGdm9dr9/s-l140.jpg,"Sold  Feb 15, 2025"
2023-24 Topps Chrome Japan UEFA Mario Gila Red Mojo /5 SS Lazio #93 Rookie Cup,"84,316.95 VND",https://www.ebay.com/itm/405517861897,https://i.ebayimg.com/images/g/zHQAAOSwpm9nnr8o/s-l140.jpg,"Sold  Feb 9, 2025"
2022 Leaf Ultimate Soccer MARIO GILA RC Rookie Auto Silver /18 NK3,"58,016.25 VND",https://www.ebay.com/itm/176812145808,https://i.ebayimg.com/images/g/2poAAeSwioJnmZhU/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Topps Chrome Soccer UEFA Mario Gila #93 Blue Shimmer /150,257.85 VND,https://www.ebay.com/itm/306061043260,https://i.ebayimg.com/images/g/JnwAAOSw6Ftnd3xF/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Topps Chrome UEFA - Mario Gila Violet Speckle Refractor #93 Lazio /299,"51,312.15 VND",https://www.ebay.com/itm/276826810247,https://i.ebayimg.com/images/g/3WIAAOSwJc9m1kkM/s-l140.jpg,"Sold  Jan 29, 2025"
2022 Leaf Signature Series Soccer Mario Gila Autograph RC 1/1 Auto,"1,031,142.15 VND",https://www.ebay.com/itm/365354426595,https://i.ebayimg.com/images/g/DOYAAOSwVf5njpim/s-l140.jpg,"Sold  Jan 23, 2025"
Mario Gila RC 2024 Topps Chrome UEFA All Star Rookie Gold Geometric 28/50 [dbF12,"25,785.00 VND",https://www.ebay.com/itm/375930350197,https://i.ebayimg.com/images/g/IGUAAOSwhndnizye/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Topps Chrome UEFA Sapphire Mario Gila Gold Refractor #14/50 SS Lazio,"109,586.25 VND",https://www.ebay.com/itm/126876731615,https://i.ebayimg.com/images/g/ZLQAAOSwTJJngYJg/s-l140.jpg,"Sold  Jan 15, 2025"
