Title,Price,Link,Image Link,Sold Date
Mario Gotze 2023-24 Panini Donruss Soccer FIFA Signature Series Auto [dbL30,"193,387.50 VND",https://www.ebay.com/itm/376116621485,https://i.ebayimg.com/images/g/YooAAOSw~7Bn32QG/s-l140.jpg,"Sold  Apr 5, 2025"
Mario Gotze 2023-24 Panini Donruss Soccer FIFA Signature Series Auto [dbL30,"219,172.50 VND",https://www.ebay.com/itm/376090968504,https://i.ebayimg.com/images/g/YooAAOSw~7Bn32QG/s-l140.jpg,"Sold  Mar 27, 2025"
Mario Gotze 2023-24 Panini Donruss Soccer Signature Series #SS-MG [dbJ15,"180,495.00 VND",https://www.ebay.com/itm/376077961520,https://i.ebayimg.com/images/g/vz4AAOSwf4Bnzm1A/s-l140.jpg,"Sold  Mar 22, 2025"
Mario Gotze 2023-24 Panini Donruss Soccer Signature Series #SS-MG [dbJ15,"270,742.50 VND",https://www.ebay.com/itm/376056646334,https://i.ebayimg.com/images/g/vz4AAOSwf4Bnzm1A/s-l140.jpg,"Sold  Mar 14, 2025"
Mario Gotze 2023-24 Panini Donruss Soccer Optic Red 110/299 [dbJ15,"25,785.00 VND",https://www.ebay.com/itm/376077962424,https://i.ebayimg.com/images/g/ZtIAAOSwJ2VnzmkJ/s-l140.jpg,"Sold  Mar 22, 2025"
Mario Gotze 2023-24 Panini Donruss Soccer Optic Red 110/299 [dbJ15,"25,785.00 VND",https://www.ebay.com/itm/376056604574,https://i.ebayimg.com/images/g/ZtIAAOSwJ2VnzmkJ/s-l140.jpg,"Sold  Mar 14, 2025"
2016 Panini Prizm UEFA Euro Auto Mario Gotze #S-MG Germany,"117,872.21 VND",https://www.ebay.com/itm/156793148215,https://i.ebayimg.com/images/g/~6cAAeSwycln03iU/s-l140.jpg,"Sold  Mar 20, 2025"
2016 Panini Prizm UEFA Euro Signatures Mario Gotze #S-MG Auto,"599,501.25 VND",https://www.ebay.com/itm/256849491590,https://i.ebayimg.com/images/g/YfsAAeSw431nzSab/s-l140.jpg,"Sold  Mar 9, 2025"
Mario Gotze - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"188,230.50 VND",https://www.ebay.com/itm/235979979636,https://i.ebayimg.com/images/g/PrUAAeSwPv1nwVCz/s-l140.jpg,"Sold  Mar 1, 2025"
Mario Gotze - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/297052295786,https://i.ebayimg.com/images/g/QwYAAeSwPutnu-6i/s-l140.jpg,"Sold  Feb 26, 2025"
Mario Gotze - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"97,209.45 VND",https://www.ebay.com/itm/297037357839,https://i.ebayimg.com/images/g/nRkAAeSwhjlntqW0/s-l140.jpg,"Sold  Feb 22, 2025"
Mario Gotze - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #2,"721,980.00 VND",https://www.ebay.com/itm/235961931240,https://i.ebayimg.com/images/g/WXsAAeSwNJNnsrma/s-l140.jpg,"Sold  Feb 19, 2025"
Mario Gotze - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"451,495.35 VND",https://www.ebay.com/itm/226600367541,https://i.ebayimg.com/images/g/~JIAAeSwCHtnsWAa/s-l140.jpg,"Sold  Feb 18, 2025"
2023-24 Panini Select FIFA Mario Gotze Red Pitchside Signatures Auto #PS-MG,"399,667.50 VND",https://www.ebay.com/itm/365395429607,https://i.ebayimg.com/images/g/tncAAOSwnmBnrVM5/s-l140.jpg,"Sold  Feb 19, 2025"
2023-24 Panini Select FIFA Mario Gotze Red Pitchside Signatures Auto #PS-MG,"72,198.00 VND",https://www.ebay.com/itm/365367308122,https://i.ebayimg.com/images/g/FuMAAOSwcF9nmEe0/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 Panini Select FIFA #PS-MG Mario Gotze Pitchside Signatures,"135,371.25 VND",https://www.ebay.com/itm/267126308699,https://i.ebayimg.com/images/g/HD8AAOSwMNhniGFg/s-l140.jpg,"Sold  Jan 15, 2025"
Mario Gotze Auto Silver 2023-24 Panini Select Fifa Soccer [CWB42,"141,817.50 VND",https://www.ebay.com/itm/375994830705,https://i.ebayimg.com/images/g/6~UAAOSwouZnjxuj/s-l140.jpg,"Sold  Feb 18, 2025"
Mario Gotze Auto Silver 2023-24 Panini Select Fifa Soccer [CWB42,"157,288.50 VND",https://www.ebay.com/itm/375964524909,https://i.ebayimg.com/images/g/6~UAAOSwouZnjxuj/s-l140.jpg,"Sold  Feb 6, 2025"
Mario Gotze Auto Silver 2023-24 Panini Select Fifa Soccer [CWB42,"187,199.10 VND",https://www.ebay.com/itm/375938620535,https://i.ebayimg.com/images/g/6~UAAOSwouZnjxuj/s-l140.jpg,"Sold  Jan 25, 2025"
2017 Topps Chrome UEFA UCL Mario Gotze Refractor #67,"25,527.15 VND",https://www.ebay.com/itm/375976276970,https://i.ebayimg.com/images/g/gQoAAeSw1WNnpR-d/s-l140.jpg,"Sold  Feb 11, 2025"
2017 Topps Chrome UEFA UCL Mario Gotze Purple Refractor #/250,"109,586.25 VND",https://www.ebay.com/itm/375956394600,https://i.ebayimg.com/images/g/rkAAAOSwZWhnmUYV/s-l140.jpg,"Sold  Feb 2, 2025"
2023 Select FIFA Mario Gotze Zebra Prizm SSP #11/25,"206,795.70 VND",https://www.ebay.com/itm/126911505148,https://i.ebayimg.com/images/g/PbsAAOSwYkNnm-AZ/s-l140.jpg,"Sold  Feb 4, 2025"
2023 Select FIFA Mario Gotze Zebra Prizm SSP #25/25 #30,"244,957.50 VND",https://www.ebay.com/itm/126883201367,https://i.ebayimg.com/images/g/SCUAAOSwFoxnhtvm/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Donruss Soccer Signature Series MARIO GOTZE Auto Frankfurt SS-MG,"167,602.50 VND",https://www.ebay.com/itm/306071454093,https://i.ebayimg.com/images/g/76EAAOSwCyBnmZcv/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Panini Donruss Soccer Signature Series MARIO GOTZE Auto Frankfurt SS-MG,"257,592.15 VND",https://www.ebay.com/itm/405505113155,https://i.ebayimg.com/images/g/tZYAAOSwF49nl43A/s-l140.jpg,"Sold  Jan 29, 2025"
2023-24 Topps Jade Editon Bundesliga Mario Gotze Orange 17/25 #31 KT01,"7,735.50 VND",https://www.ebay.com/itm/396373708817,https://i.ebayimg.com/images/g/7ioAAOSwGQln5vdl/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Select FIFA - MARIO GOTZE Silver Prizm Auto Frankfurt Germany SSP,"360,732.15 VND",https://www.ebay.com/itm/305954429073,https://i.ebayimg.com/images/g/iCAAAOSwVW1nUVFv/s-l140.jpg,"Sold  Apr 5, 2025"
2024 MARIO GOTZE 08/25 TOPPS CHROME BUNDESLIGA,"257,592.15 VND",https://www.ebay.com/itm/156849538705,https://i.ebayimg.com/images/g/tjwAAOSwX-Rn7ImR/s-l140.jpg,"Sold  Apr 4, 2025"
2023-24 Select FIFA Purple Mojo #30 Mario Gotze,"58,016.25 VND",https://www.ebay.com/itm/167423969595,https://i.ebayimg.com/images/g/9IMAAeSwJ71n7dxu/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Select FIFA - Mario Gotze Terrace #30 Multi-Color,"51,312.15 VND",https://www.ebay.com/itm/365272189707,https://i.ebayimg.com/images/g/lmsAAOSwOtZnUimF/s-l140.jpg,"Sold  Mar 27, 2025"
Mario Gotze 2022-23 Topps Finest Bundesliga #50 Purple Wave /250,"77,097.15 VND",https://www.ebay.com/itm/335859888383,https://i.ebayimg.com/images/g/vJwAAeSwtW1n0t1y/s-l140.jpg,"Sold  Mar 25, 2025"
