Title,Price,Link,Image Link,Sold Date
2023 Select Premier League Mario Lemina Winter Camo Prizm Mezzanine #/110,"25,527.15 VND",https://www.ebay.com/itm/376115973455,https://i.ebayimg.com/images/g/9TYAAeSwAOln6vWT/s-l500.jpg,"Sold  Apr 5, 2025"
2023 Select Premier League Mario Lemina White Ice Prizm Mezzanine #/85,"25,527.15 VND",https://www.ebay.com/itm/375956399675,https://i.ebayimg.com/images/g/G3sAAOSwE4RnmUa1/s-l140.jpg,"Sold  Feb 2, 2025"
Mario Lemina (Wolves) Hand Signed 2023-2024 Panini Prizm Trading Card Rare !,"33,024.06 VND",https://www.ebay.com/itm/256832547740,https://i.ebayimg.com/images/g/gJAAAOSwkI5nvhd4/s-l140.jpg,"Sold  Mar 7, 2025"
Mario Lemina (Wolves) hand signed 2023-2024 Panini Prizm Card Rare !,"34,691.95 VND",https://www.ebay.com/itm/256783237914,https://i.ebayimg.com/images/g/OH4AAOSw6m1nhr99/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Panini Prizm Premier League Mario Lemina White Sparkle #211,"226,908.00 VND",https://www.ebay.com/itm/365466407012,https://i.ebayimg.com/images/g/XToAAeSwkMtn2H32/s-l140.jpg,"Sold  Mar 23, 2025"
MARIO LEMINA 2023 PANINI PRIZM PREMIER LEAGUE WHITE SPARKLE Q3763,"109,586.25 VND",https://www.ebay.com/itm/276942220572,https://i.ebayimg.com/images/g/m6MAAeSwzZBn0eZu/s-l140.jpg,"Sold  Mar 19, 2025"
Mario Lemina 2023-24 Panini Select Premier League White Sparkle SP,"32,231.25 VND",https://www.ebay.com/itm/126971329762,https://i.ebayimg.com/images/g/AQ4AAOSw4BFnw6RD/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Prizm Premier League Choice Tiger Stripe Mario Lemina ,"154,710.00 VND",https://www.ebay.com/itm/145791241645,https://i.ebayimg.com/images/g/kfgAAOSwQ-JmTlC8/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Select Premier League Soccer Mario Lemina Purple Prizm /49 Patch AR,"25,527.15 VND",https://www.ebay.com/itm/387920198540,https://i.ebayimg.com/images/g/~5oAAOSwr5RnqkJb/s-l140.jpg,"Sold  Feb 17, 2025"
MARIO LEMINA 2023 SELECT PREMIER LEAGUE PATCH GOLD PRIZM 10/10 Q2450,"183,847.05 VND",https://www.ebay.com/itm/276826444551,https://i.ebayimg.com/images/g/72sAAOSwt8tnkVFO/s-l140.jpg,"Sold  Jan 29, 2025"
PANINI PRIZM PREMIER LEAGUE 2023-24 MARIO LEMINA WOLVES RED LAZER 21/49.,"39,874.96 VND",https://www.ebay.com/itm/156810529249,https://i.ebayimg.com/images/g/T08AAOSwZoBn2oq0/s-l140.jpg,"Sold  Apr 5, 2025"
Mario Lemina 2023-24 Panini Select Premier League Mezzanine Tie-Dye 32/49,"25,785.00 VND",https://www.ebay.com/itm/376056662971,https://i.ebayimg.com/images/g/YucAAOSwMc9nzm6q/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Select EPL Red Ice Prizm #200 MARIO LEMINA Wolverhampton Wanderer,"25,759.80 VND",https://www.ebay.com/itm/205144372387,https://i.ebayimg.com/images/g/AtYAAOSwvjJnT7mQ/s-l140.jpg,"Sold  Feb 5, 2025"
"Mario Lemina Of Wolves, Galatasaray & Gabon Signed Captains Armband wCOA","33,024.06 VND",https://www.ebay.com/itm/297152864193,https://i.ebayimg.com/images/g/g30AAOSwoeNn5GC9/s-l140.jpg,"Sold  Mar 31, 2025"
Official Autograph Card MARIO LEMINA Wolverhampton Wanderers 24/25 2024/2025,"427,054.58 VND",https://www.ebay.com/itm/286412125451,https://i.ebayimg.com/images/g/K9gAAOSw1cVn1fdA/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Select Wolverhampton Wanderers Mario Lemina 001/149,"25,759.80 VND",https://www.ebay.com/itm/365413219356,https://i.ebayimg.com/images/g/FSoAAOSwv6ZnuDeL/s-l140.jpg,"Sold  Feb 28, 2025"
Mario Lemina (Wolves) hand signed 2025 Panini XL Adrenalyn Card Rare !,"33,024.06 VND",https://www.ebay.com/itm/256792701399,https://i.ebayimg.com/images/g/L3EAAOSwe8Vnkov8/s-l140.jpg,"Sold  Feb 2, 2025"
Match Issue Fulham Mario Lemina Shirt 20/21 Season,"2,201,604.24 VND",https://www.ebay.com/itm/306055058424,https://i.ebayimg.com/images/g/mQ4AAOSwGqpnj309/s-l140.jpg,"Sold  Jan 28, 2025"
