Title,Price,Link,Image Link,Sold Date
Topps Champions League 2016/17 - JUV 15 - Marko Pjaca - Juventus,"61,867.60 VND",https://www.ebay.com/itm/302396911542,https://i.ebayimg.com/images/g/olEAAOSwTc5b9LNG/s-l140.jpg,"Sold  Apr 4, 2025"
Panini FIFA Sticker No. 453 Marko Pjaca,"28,250.05 VND",https://www.ebay.com/itm/335838794620,https://i.ebayimg.com/images/g/ddcAAOSwavtiqYZq/s-l140.jpg,"Sold  Apr 4, 2025"
TOPPS CHAMPIONS LEAGUE 2024/25 - Sticker No 476 - MARKO PJACA,"28,250.05 VND",https://www.ebay.com/itm/205199520398,https://i.ebayimg.com/images/g/GUQAAOSw7ZZndaIx/s-l140.jpg,"Sold  Feb 7, 2025"
Topps Champions League 2024/2025 - Marko Pjaca GNK Dinamo Zagreb No. 476,"41,536.41 VND",https://www.ebay.com/itm/205216360280,https://i.ebayimg.com/images/g/2FIAAOSwgcJngQxN/s-l140.jpg,"Sold  Mar 17, 2025"
Champions League 16/17 - sticker - JUV16+17 - Paulo Dybala + Marko Pjaca,"28,489.30 VND",https://www.ebay.com/itm/302398495785,https://i.ebayimg.com/images/g/5LQAAOSwj6lb9yI7/s-l140.jpg,"Sold  Apr 4, 2025"
Marko Pjaca hand signed Schalke 04 autograph card,"390,300.00 VND",https://www.ebay.com/itm/364166917127,https://i.ebayimg.com/images/g/8zEAAOSwVTNj~~-c/s-l140.jpg,"Sold  Sep 18, 2024"
Marko Pjaca hand signed Juventus Club autograph card,"650,500.00 VND",https://www.ebay.com/itm/365325202608,https://i.ebayimg.com/images/g/jGQAAOSw8HNnet2g/s-l140.jpg,"Sold  Mar 20, 2025"
Marko Pjaca 2016-17 Panini Aficionado Base Artist’s Proof Bronze /49 Croatia,"58,545.00 VND",https://www.ebay.com/itm/256849944147,https://i.ebayimg.com/images/g/b3IAAOSwTdxnzPWo/s-l140.jpg,"Sold  Mar 16, 2025"
2018 Panini Football Road to Russia Sticker No. 29 Marko Pjaca,"28,489.30 VND",https://www.ebay.com/itm/235966489340,https://i.ebayimg.com/images/g/AAoAAOSwjZpijP1Z/s-l140.jpg,"Sold  Mar 10, 2025"
PANINI CHRONICLES PRIZM 2021/21 MARKO PJACA GENOA PARALLEL 10/19.,"73,386.81 VND",https://www.ebay.com/itm/156652854901,https://i.ebayimg.com/images/g/9m0AAOSwtb9nl7Id/s-l140.jpg,"Sold  Feb 8, 2025"
