Title,Price,Link,Image Link,Sold Date
Mateo Retegui 2023-24 Panini Donruss Soccer Optic Rated Rookie Red /299,"25,527.15 VND",https://www.ebay.com/itm/396369732256,https://i.ebayimg.com/images/g/UBwAAOSwoXln5bPk/s-l140.jpg,"Sold  Apr 3, 2025"
Mateo Retegui 2023-24 Panini Donruss Soccer Optic Rated Rookie Red 164/299,"25,785.00 VND",https://www.ebay.com/itm/376056656388,https://i.ebayimg.com/images/g/E4kAAOSwrlJnzm4x/s-l140.jpg,"Sold  Mar 14, 2025"
Mateo Retegui 2023-24 Donruss Soccer #187 Rated Rookie,"35,841.15 VND",https://www.ebay.com/itm/226531478074,https://i.ebayimg.com/images/g/pEYAAOSwFpJnc0ll/s-l140.jpg,"Sold  Jan 9, 2025"
23-24 Panini Select Serie A Mateo Retegui Visionary Case Hit Rookie Genoa Italy,"2,552,715.00 VND",https://www.ebay.com/itm/297163337832,https://i.ebayimg.com/images/g/SaYAAeSwzhZn6PM3/s-l140.jpg,"Sold  Mar 30, 2025"
23-24 Panini Select Serie A Mateo Retegui Visionary Case Hit Rookie Genoa Italy,"1,283,319.45 VND",https://www.ebay.com/itm/256802025850,https://i.ebayimg.com/images/g/XK8AAOSwRAVnJZvu/s-l140.jpg,"Sold  Feb 8, 2025"
23-24 Panini Select Serie A Mateo Retegui Visionary Case Hit Rookie Genoa Italy,"2,475,360.00 VND",https://www.ebay.com/itm/256789637234,https://i.ebayimg.com/images/g/XK8AAOSwRAVnJZvu/s-l140.jpg,"Sold  Jan 27, 2025"
2024-25 Donruss Soccer Mateo Retegui Red /99 #17 Italy ,"128,667.15 VND",https://www.ebay.com/itm/356532113533,https://i.ebayimg.com/images/g/xDIAAOSwSlFnoVKH/s-l140.jpg,"Sold  Mar 22, 2025"
2024 Donruss Soccer Mateo Retegui /5 Green Italy ,"109,586.25 VND",https://www.ebay.com/itm/205334935613,https://i.ebayimg.com/images/g/brUAAeSw6c1nyJOy/s-l140.jpg,"Sold  Mar 10, 2025"
"2024-25 Donruss Soccer 17 Mateo Retegui, Italy Optic","46,155.15 VND",https://www.ebay.com/itm/116456900178,https://i.ebayimg.com/images/g/6IEAAOSwPVNnlN3v/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 Select Serie A #141 Mateo Retegui,"64,462.50 VND",https://www.ebay.com/itm/166985393271,https://i.ebayimg.com/images/g/jG0AAeSwQnZn2EU-/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Select Serie A Equalizers #7 Mateo Retegui,"90,247.50 VND",https://www.ebay.com/itm/166985393287,https://i.ebayimg.com/images/g/tQYAAeSw7jpn2Ee7/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Select Serie A Red #141 Mateo Retegui,"167,602.50 VND",https://www.ebay.com/itm/365311971844,https://i.ebayimg.com/images/g/7ewAAOSwyihnhx5s/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 Select Serie A Red #215 Mateo Retegui,"206,280.00 VND",https://www.ebay.com/itm/315777568679,https://i.ebayimg.com/images/g/vxQAAOSwHq9nhx7c/s-l140.jpg,"Sold  Jan 20, 2025"
