Title,Price,Link,Image Link,Sold Date
TOPPS LIVING SET UCC UEFA 2025 #766 MATIAS SOULE AS ROMA PREORDER,"592,968.47 VND",https://www.ebay.com/itm/116512116370,https://i.ebayimg.com/images/g/N4kAAOSwjARnm98M/s-l140.jpg,"Sold  Mar 26, 2025"
TOPPS LIVING SET UCC UEFA 2025 #766 MATIAS SOULE AS ROMA PREORDER,"225,717.87 VND",https://www.ebay.com/itm/116462220574,https://i.ebayimg.com/images/g/N4kAAOSwjARnm98M/s-l140.jpg,"Sold  Feb 19, 2025"
2022-23 Panini Chronicles Zenith Serie A Matias Soule RC Patch 19/99 #CG XW01,"77,097.15 VND",https://www.ebay.com/itm/396219565852,https://i.ebayimg.com/images/g/Q5MAAOSws09no31s/s-l140.jpg,"Sold  Feb 24, 2025"
2022-23 Panini Chronicles Zenith Serie A Matias Soule RC Patch 19/99 #CG XW01,"90,505.35 VND",https://www.ebay.com/itm/396177343472,https://i.ebayimg.com/images/g/Q5MAAOSws09no31s/s-l140.jpg,"Sold  Feb 14, 2025"
2022 Topps Chrome UEFA Matias Soule Auto RC #CA-MS,"167,602.50 VND",https://www.ebay.com/itm/375938074103,https://i.ebayimg.com/images/g/1C8AAOSwyvVnjrcD/s-l140.jpg,"Sold  Jan 25, 2025"
2022 Topps Chrome UEFA Matias Soule Auto Aqua Lava RC #CA-MS,"233,096.40 VND",https://www.ebay.com/itm/126893242245,https://i.ebayimg.com/images/g/G3cAAOSwsaRnjrfV/s-l140.jpg,"Sold  Jan 25, 2025"
Matias Soule 2023-24 Panini Select Serie A #11 Equalizers,"51,570.00 VND",https://www.ebay.com/itm/186711720229,https://i.ebayimg.com/images/g/ApQAAOSwyc5m~LUv/s-l140.jpg,"Sold  Jan 14, 2025"
Matias Soule 2023-24 Panini Select Serie A #225 Silver,"103,140.00 VND",https://www.ebay.com/itm/186720511731,https://i.ebayimg.com/images/g/MtoAAOSw5zxnBJUp/s-l140.jpg,"Sold  Jan 14, 2025"
MATIAS SOULE 2022 TOPPS CHROME UEFA ROOKIE GOLD RC /50 PSA 9 Q0829,"129,182.85 VND",https://www.ebay.com/itm/276992495490,https://i.ebayimg.com/images/g/psoAAeSwh6Jn6b-C/s-l500.jpg,"Sold  Apr 6, 2025"
MATIAS SOULE 2022 TOPPS CHROME UEFA ROOKIE BLUE WAVE RC AUTO /75 PSA 10 Q0829,"1,108,497.15 VND",https://www.ebay.com/itm/276992495492,https://i.ebayimg.com/images/g/ckQAAeSwK1ln6b7J/s-l500.jpg,"Sold  Apr 6, 2025"
2022 Topps Chrome UEFA Matias Soule Neon Green X Fractor RC #/399,"39,708.90 VND",https://www.ebay.com/itm/126981344039,https://i.ebayimg.com/images/g/3OcAAeSwaGNntkF~/s-l140.jpg,"Sold  Mar 12, 2025"
2022 Topps Chrome UEFA Matias Soule Neon Green X Fractor RC #/399,"25,527.15 VND",https://www.ebay.com/itm/126951315576,https://i.ebayimg.com/images/g/3OcAAeSwaGNntkF~/s-l140.jpg,"Sold  Feb 24, 2025"
Matias Soule 2022-23 Topps Chrome UEFA Sapphire /99 RC PSA 10,"1,288,992.15 VND",https://www.ebay.com/itm/256799695905,https://i.ebayimg.com/images/g/b-UAAOSwW7Bnm-iK/s-l140.jpg,"Sold  Mar 9, 2025"
Matias Soule 2022-23 Topps Chrome UEFA Sapphire #147 Green /70 Rookie RC PSA 9,"25,527.15 VND",https://www.ebay.com/itm/135489781171,https://i.ebayimg.com/images/g/aEUAAOSw3ppmPoc7/s-l140.jpg,"Sold  Jan 13, 2025"
2022 Topps Finest UEFA UCC Matias Soule Purple Refractor #255/299,"38,935.35 VND",https://www.ebay.com/itm/126941582703,https://i.ebayimg.com/images/g/860AAeSwVIlnr7jN/s-l140.jpg,"Sold  Feb 19, 2025"
2022 Topps Finest UEFA Matias Soule Green Speckle Refractor #/125 #51,"55,179.90 VND",https://www.ebay.com/itm/126871596859,https://i.ebayimg.com/images/g/LLIAAOSwj89nfZzd/s-l140.jpg,"Sold  Jan 12, 2025"
2022 Topps Merlin Chrome UEFA UCC Matias Soule Aqua Speckle Refractor RC #/199,"25,527.15 VND",https://www.ebay.com/itm/126925014128,https://i.ebayimg.com/images/g/BqMAAeSwFohnpSe0/s-l140.jpg,"Sold  Feb 11, 2025"
2022 Topps Chrome UEFA Matias Soule Aqua Refractor RC #26/199 #147,"54,406.35 VND",https://www.ebay.com/itm/375910910042,https://i.ebayimg.com/images/g/XAcAAOSw0A9nfZ7a/s-l140.jpg,"Sold  Jan 12, 2025"
2022-23 Topps Stadium Chrome Matias Soule Members Only Auto RC #45/100 PSA 10,"2,497,920.00 VND",https://www.ebay.com/itm/376104238420,https://i.ebayimg.com/images/g/-s0AAeSwzvNn5a2T/s-l140.jpg,"Sold  Apr 1, 2025"
2022-23 Stadium Club Chrome Matias Soule Member's Only Refractor RC #30 PSA 9,"273,210.00 VND",https://www.ebay.com/itm/375976355165,https://i.ebayimg.com/images/g/hegAAeSwCDhnpSbq/s-l140.jpg,"Sold  Feb 11, 2025"
2022 Obsidian Matias Soule Electric Etch white pulsar /11 PSA 9 156,"377,290.00 VND",https://www.ebay.com/itm/388134903642,https://i.ebayimg.com/images/g/EKIAAeSwNMFn4FBo/s-l140.jpg,"Sold  Mar 30, 2025"
2022 Obsidian Matias Soule Electric Etch Red Pulsar #21/30,"143,110.00 VND",https://www.ebay.com/itm/375951094642,https://i.ebayimg.com/images/g/czoAAOSwFipnlYiV/s-l140.jpg,"Sold  Feb 1, 2025"
MATIAS SOULE PSA 10 2022-23 TOPPS MERLIN CHROME 80 RED WAVE REFRACTOR ROOKIE 4/5,"4,407,267.60 VND",https://www.ebay.com/itm/187038424219,https://i.ebayimg.com/images/g/m6gAAOSwwS9nv2Uv/s-l140.jpg,"Sold  Mar 19, 2025"
MATIAS SOULE PSA 10 2022-23 TOPPS MERLIN CHROME 80 RED WAVE REFRACTOR ROOKIE 4/5,"5,373,130.00 VND",https://www.ebay.com/itm/186995365541,https://i.ebayimg.com/images/g/m6gAAOSwwS9nv2Uv/s-l140.jpg,"Sold  Mar 5, 2025"
2022-23 Topps Merlin Chrome Matias Soule Gold Atomice Refractor RC #50/50 PSA 9,"403,310.00 VND",https://www.ebay.com/itm/126930107285,https://i.ebayimg.com/images/g/7sMAAOSws3tnkqS0/s-l140.jpg,"Sold  Feb 13, 2025"
2022-23 Topps Merlin Chrome Matias Soule Gold Atomice Refractor RC #50/50 PSA 9,"585,450.00 VND",https://www.ebay.com/itm/126899046874,https://i.ebayimg.com/images/g/7sMAAOSws3tnkqS0/s-l140.jpg,"Sold  Jan 28, 2025"
Matias Soule RC Patch #83/99 Gold Refractor 2023 Panini Chronicles Rookie,"26,020.00 VND",https://www.ebay.com/itm/365502190115,https://i.ebayimg.com/images/g/u1EAAOSwBpVn7c~J/s-l140.jpg,"Sold  Apr 7, 2025"
Matias Soule RC Patch #83/99 Gold Refractor 2023 Panini Chronicles Rookie,"130,100.00 VND",https://www.ebay.com/itm/365446513527,https://i.ebayimg.com/images/g/bXoAAOSww7Bny4ja/s-l140.jpg,"Sold  Mar 12, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars Blue Relic /49 Roma,"637,490.00 VND",https://www.ebay.com/itm/256867687032,https://i.ebayimg.com/images/g/TrsAAOSwyIZn3P1F/s-l140.jpg,"Sold  Mar 30, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars Blue Auto 49/49 Roma,"572,440.00 VND",https://www.ebay.com/itm/256839727698,https://i.ebayimg.com/images/g/MsgAAOSwdnVnxDYT/s-l140.jpg,"Sold  Mar 9, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars First Shirt Relic Blue /49 ,"481,370.00 VND",https://www.ebay.com/itm/256802791787,https://i.ebayimg.com/images/g/l2sAAOSwMf5nn03p/s-l140.jpg,"Sold  Feb 9, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars Blue Auto /49 Roma,"585,450.00 VND",https://www.ebay.com/itm/256788431524,https://i.ebayimg.com/images/g/qjIAAOSwDxNnjGny/s-l140.jpg,"Sold  Jan 26, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars Green Auto /99 Roma,"520,400.00 VND",https://www.ebay.com/itm/256781054150,https://i.ebayimg.com/images/g/vq4AAOSwuDJnglF1/s-l140.jpg,"Sold  Jan 19, 2025"
Matias Soule 2024-25 Topps Here We Go Rising Stars Purple Auto /25 Roma,"806,620.00 VND",https://www.ebay.com/itm/256781053532,https://i.ebayimg.com/images/g/cTYAAOSwo~5nglEm/s-l140.jpg,"Sold  Jan 19, 2025"
2022-23 Topps Impact Matias Soule Rookie RC Green 46/49 Juventus AS Roma,"134,003.00 VND",https://www.ebay.com/itm/365391051596,https://i.ebayimg.com/images/g/4EUAAOSwL0dnqrQI/s-l140.jpg,"Sold  Feb 17, 2025"
2022-23 Topps Competition Matias Soule Rookie RC Gold 150/299 Juventus AS Roma,"52,040.00 VND",https://www.ebay.com/itm/365377868558,https://i.ebayimg.com/images/g/qxAAAOSwMW9noXmw/s-l140.jpg,"Sold  Feb 10, 2025"
2022-23 Topps Jade Edition Matias Soule Rookie RC Gold 24/50 Juventus AS Roma,"169,130.00 VND",https://www.ebay.com/itm/365368635221,https://i.ebayimg.com/images/g/LXAAAOSwtSBnmX3d/s-l140.jpg,"Sold  Feb 2, 2025"
2022-23 Topps Impact Matias Soule Rookie RC Green 46/49 Juventus AS Roma,"32,525.00 VND",https://www.ebay.com/itm/365364045850,https://i.ebayimg.com/images/g/3c0AAOSw4dxnlZNC/s-l140.jpg,"Sold  Feb 1, 2025"
2022-23 Topps Jade Edition Matias Soule Rookie RC Gold 24/50 Juventus AS Roma,"32,525.00 VND",https://www.ebay.com/itm/365338087830,https://i.ebayimg.com/images/g/xZEAAOSwtJlngxS2/s-l140.jpg,"Sold  Jan 16, 2025"
2023 Topps Chrome Matias Soule Rookie RC Gold Diamond 19/50 Juventus Roma PSA9,"520,400.00 VND",https://www.ebay.com/itm/365371736860,https://i.ebayimg.com/images/g/x3sAAOSwx7RnnDCj/s-l140.jpg,"Sold  Feb 6, 2025"
2023 Topps Chrome Matias Soule Rookie RC Gold Diamond 19/50 Juventus Roma PSA9,"1,144,880.00 VND",https://www.ebay.com/itm/365351383830,https://i.ebayimg.com/images/g/g2oAAOSwHGdnjFbj/s-l140.jpg,"Sold  Jan 25, 2025"
2023 Topps Chrome Matias Soule Rookie RC Gold Diamond 19/50 Juventus Roma PSA9,"533,410.00 VND",https://www.ebay.com/itm/365325633126,https://i.ebayimg.com/images/g/fIcAAOSwIANnezlS/s-l140.jpg,"Sold  Jan 12, 2025"
2022-23 Topps Chrome Matias Soule Rookie RC Pink Shimmer 155/250 Juventus Roma,"26,020.00 VND",https://www.ebay.com/itm/365497375068,https://i.ebayimg.com/images/g/4kUAAOSw9Ehn6zwE/s-l140.jpg,"Sold  Apr 5, 2025"
2022-23 Topps Chrome MATIAS SOULE Rookie RC Auto Refractor SP Juventus #CA-MS,"98,876.00 VND",https://www.ebay.com/itm/306044226114,https://i.ebayimg.com/images/g/qw0AAOSw1yVniG4g/s-l140.jpg,"Sold  Jan 25, 2025"
2022-23 Topps Chrome MATIAS SOULE Rookie RC Auto Refractor SP #CA-MS BGS 9,"559,430.00 VND",https://www.ebay.com/itm/306044138675,https://i.ebayimg.com/images/g/6uUAAOSwoo1niGLU/s-l140.jpg,"Sold  Jan 24, 2025"
2022-23 Topps Chrome MATIAS SOULE Rookie RC Auto Refractor SP #CA-MS BGS 9,"533,410.00 VND",https://www.ebay.com/itm/306044100922,https://i.ebayimg.com/images/g/c~UAAOSwUKZniF15/s-l140.jpg,"Sold  Jan 24, 2025"
Matias Soule 2022-23 Panini Select Serie A Select Memorabilia RC Juventus,"219,172.50 VND",https://www.ebay.com/itm/256876171121,https://i.ebayimg.com/images/g/03AAAOSwCE5n6C33/s-l140.jpg,"Sold  Apr 6, 2025"
2022-23 Topps Chrome UEFA Soccer Youthquake Green #Matias Soule 14/99 RC,"25,527.15 VND",https://www.ebay.com/itm/365489371494,https://i.ebayimg.com/images/g/UQoAAeSwu6hn5p7A/s-l140.jpg,"Sold  Apr 2, 2025"
PANINI SELECT SERIE A 23/24 MATIAS SOULE FROSINONE CALCIO  MULTI COLOUR,"32,896.84 VND",https://www.ebay.com/itm/156745314025,https://i.ebayimg.com/images/g/DN0AAOSwS0xnBPSJ/s-l140.jpg,"Sold  Mar 31, 2025"
2022-23 Panini Donruss FIFA Soccer Matias Soule Rated Rookie Pink /25,"1,031,400.00 VND",https://www.ebay.com/itm/296666805132,https://i.ebayimg.com/images/g/HacAAOSw9oJm1Rm-/s-l140.jpg,"Sold  Mar 29, 2025"
2022 Topps Chrome UEFA Neon Green X-Fractor 22/399 Matias Soule Rookie RC,"46,413.00 VND",https://www.ebay.com/itm/236009810423,https://i.ebayimg.com/images/g/zCoAAeSwC2hn2K2o/s-l140.jpg,"Sold  Mar 25, 2025"
2022-23 Topps Finest UEFA MATIAS SOULE 131/299 Rookie RC Purple Refractor #51,"25,527.15 VND",https://www.ebay.com/itm/306178267635,https://i.ebayimg.com/images/g/710AAOSwJKxn08GA/s-l140.jpg,"Sold  Mar 23, 2025"
Matias Soule 2023 Topps Finest Champions League Aqua Vaporwave Juventus /250,"25,527.15 VND",https://www.ebay.com/itm/388109407089,https://i.ebayimg.com/images/g/4GkAAOSwrslmoahU/s-l140.jpg,"Sold  Mar 23, 2025"
2022 Stadium Club Chrome UEFA Matias Soule RC Black & White Prism Refractor /350,"25,527.15 VND",https://www.ebay.com/itm/376077410419,https://i.ebayimg.com/images/g/NlYAAeSwD85n2Ih4/s-l140.jpg,"Sold  Mar 22, 2025"
2022-23 Donruss FIFA Optic Purple Cracked Ice #197 Matias Soule /99  PSA 10,"567,012.15 VND",https://www.ebay.com/itm/186720469129,https://i.ebayimg.com/images/g/tXoAAOSwf05n0W0q/s-l140.jpg,"Sold  Mar 14, 2025"
Matias Soule RC 2022-23 Topps Merlin UEFA Pink Mojo Refractor 170/275 [dbJ9,"51,570.00 VND",https://www.ebay.com/itm/376054163729,https://i.ebayimg.com/images/g/rCMAAOSwKVxnzSQs/s-l140.jpg,"Sold  Mar 13, 2025"
2022-23 Donruss FIFA Matias Soule PINK /25 PSA 10 POP 1 RC RATED ROOKIE,"3,351,792.15 VND",https://www.ebay.com/itm/316187397067,https://i.ebayimg.com/images/g/VAwAAOSwXmdno7Ja/s-l140.jpg,"Sold  Mar 9, 2025"
2022-23 Panini Select Serie A Swatches Tie-Dye Prizm /15 Matias Soule Rookie RC,"1,315,035.00 VND",https://www.ebay.com/itm/226581092310,https://i.ebayimg.com/images/g/wAEAAOSwkx1nobBs/s-l140.jpg,"Sold  Mar 9, 2025"
