Title,Price,Link,Image Link,Sold Date
"2018-2019, PANINI TREBLE SOCCER, ZENITH, AUTO, MATS HUMMELS, 4/5","1,299,502.12 VND",https://www.ebay.com/itm/365472125830,https://i.ebayimg.com/images/g/gsgAAOSwRgFmW~GJ/s-l140.jpg,"Sold  Mar 30, 2025"
"2018-2019, PANINI TREBLE SOCCER, THREADS, TT-MH, MATS HUMMELS, 35/75","296,625.48 VND",https://www.ebay.com/itm/365472093289,https://i.ebayimg.com/images/g/p0wAAOSwm7pmWzhG/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Panini Select FIFA Memorabilia Mats Hummels Purple /49 Germany,"423,468.19 VND",https://www.ebay.com/itm/405477334026,https://i.ebayimg.com/images/g/I9sAAOSwM0VnhoKc/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Select FIFA Memorabilia Mats Hummels Purple /49 Germany b,"282,217.96 VND",https://www.ebay.com/itm/405558363085,https://i.ebayimg.com/images/g/P9sAAOSwH7dntFJc/s-l140.jpg,"Sold  Feb 28, 2025"
Mats Hummels 2021 Panini Immaculate Collection Soccer Patch 64/99[dbH97,"167,602.50 VND",https://www.ebay.com/itm/376039862981,https://i.ebayimg.com/images/g/oUUAAOSwZvhnxl1u/s-l140.jpg,"Sold  Mar 8, 2025"
Mats Hummels 2021 Panini Immaculate Collection Soccer Auto Patch 20/99[dbF79,"322,312.50 VND",https://www.ebay.com/itm/375958703162,https://i.ebayimg.com/images/g/vSEAAOSwwXpnmuBV/s-l140.jpg,"Sold  Feb 3, 2025"
2022 Panini National Treasures World Cup Soccer Mats Hummels GU Patch /99 SGC 9,"219,172.50 VND",https://www.ebay.com/itm/365407108226,https://i.ebayimg.com/images/g/~e4AAOSwnvxntJ7Z/s-l140.jpg,"Sold  Feb 25, 2025"
2022 Panini National Treasures World Cup Soccer Mats Hummels GU Patch /99 SGC 9,"167,602.50 VND",https://www.ebay.com/itm/387801705167,https://i.ebayimg.com/images/g/8nEAAOSwrKBnfWH5/s-l500.jpg,"Sold  Jan 14, 2025"
2012-13 Panini Adrenalyn Champions League Limited Mats Hummels Borussia Dortmund,"103,140.00 VND",https://www.ebay.com/itm/267150896282,https://i.ebayimg.com/images/g/E6sAAOSw8uJnmPHI/s-l140.jpg,"Sold  Feb 16, 2025"
2011-12 Panini Adrenalyn Champions League Limited Mats Hummels Borussia Dortmund,"83,801.25 VND",https://www.ebay.com/itm/256811242028,https://i.ebayimg.com/images/g/2T0AAOSw3~JnmO7T/s-l140.jpg,"Sold  Feb 16, 2025"
