Title,Price,Link,Image Link,Sold Date
2019-20 Matteo Guendouzi Panini Prizm Teal Arsenal Rookie Soccer Card /35 PSA 9,"438,087.15 VND",https://www.ebay.com/itm/135609889212,https://i.ebayimg.com/images/g/b8AAAOSwDmlidCg8/s-l140.jpg,"Sold  Mar 15, 2025"
2020-21 Topps Finest Bundesliga Refractor Auto Matteo Guendouzi #10 Auto,"273,063.15 VND",https://www.ebay.com/itm/235882930889,https://i.ebayimg.com/images/g/tewAAOSwvxhnai3i/s-l140.jpg,"Sold  Feb 22, 2025"
2023 Topps Merlin Chrome UEFA Matteo Guendouzi Olympic Marseille #77,"38,419.65 VND",https://www.ebay.com/itm/365076334277,https://i.ebayimg.com/images/g/k5UAAOSw0KplMqx3/s-l140.jpg,"Sold  Feb 6, 2025"
2022-23 Panini Select FIFA Matteo Guendouzi Tie Dye Prizm #23/49,"25,527.15 VND",https://www.ebay.com/itm/276855822028,https://i.ebayimg.com/images/g/LZ8AAOSw12pnqXs7/s-l140.jpg,"Sold  Feb 15, 2025"
2022 Merlin UEFA Club Competitions Vintage Refractor Matteo Guendouzi Mattéo #77,"35,841.15 VND to 43,576.65 VND",https://www.ebay.com/itm/335719241273,https://i.ebayimg.com/images/g/MioAAeSwilxnpvzs/s-l140.jpg,"Sold  Jan 22, 2025"
Matteo Guendouzi Patch 2023/2024 Serie A select  ,"33,262.65 VND",https://www.ebay.com/itm/405512649588,https://i.ebayimg.com/images/g/PnUAAOSw3NdnnOKh/s-l140.jpg,"Sold  Feb 7, 2025"
2019 Prizm Premier League Matteo Guendouzi Red Mosaic RC #18/109 #131,"128,925.00 VND",https://www.ebay.com/itm/375922960369,https://i.ebayimg.com/images/g/xswAAOSw4Q9nhX~6/s-l140.jpg,"Sold  Jan 18, 2025"
2020/21 Topps Tier One Bundesliga MATTEO GUENDOUZI Break Out Auto 7/25,"257,850.00 VND",https://www.ebay.com/itm/387244551607,https://i.ebayimg.com/images/g/IFsAAOSwViRmpoeL/s-l140.jpg,"Sold  Jan 16, 2025"
TOPPS UEFA CHAMPIONS LEAGUE 2022-23 MATTEO GUENDOUZI #341 OLYMPIQUE MARSEILLE OM,"36,725.06 VND",https://www.ebay.com/itm/286201674997,https://i.ebayimg.com/images/g/rQEAAOSwDZ1nUqsL/s-l140.jpg,"Sold  Mar 17, 2025"
Topps Bundesliga Finest Matteo Guendouzi /30 auto,"550,875.90 VND",https://www.ebay.com/itm/197098579853,https://i.ebayimg.com/images/g/mMYAAOSwoelngrA5/s-l140.jpg,"Sold  Mar 11, 2025"
Matteo Guendouzi 2022-23 Panini Immaculate Collection Soccer 02/79[dbH98,"32,231.25 VND",https://www.ebay.com/itm/376042524137,https://i.ebayimg.com/images/g/t5wAAOSwg8Nnx7Oc/s-l140.jpg,"Sold  Mar 9, 2025"
Card 155 Matteo Guendouzi (Olympique Marseille) Panini Donruss Elite FIFA 22-23,"28,250.05 VND",https://www.ebay.com/itm/305494636224,https://i.ebayimg.com/images/g/7Z8AAOSwKxBmEBZQ/s-l140.jpg,"Sold  Mar 7, 2025"
2022-23 Matteo Guendouzi 19/49 panini donruss optic fifa mojo teal,"206,022.15 VND",https://www.ebay.com/itm/155978609964,https://i.ebayimg.com/images/g/gIsAAOSwGAZljn2B/s-l140.jpg,"Sold  Feb 12, 2025"
2022-23 Panini Select FIFA Future Matteo Guendouzi France Silver Prizm,"141,250.23 VND",https://www.ebay.com/itm/404809621529,https://i.ebayimg.com/images/g/xbUAAOSw6Ddl1M4t/s-l140.jpg,"Sold  Jan 31, 2025"
MATTEO GUENDOUZI FIENST TOPPS 2021-22 BUNDESLIGA HERTHA BSC BERLIN /250,"28,250.05 VND",https://www.ebay.com/itm/135501578180,https://i.ebayimg.com/images/g/7CIAAOSwIHJniSkL/s-l140.jpg,"Sold  Jan 26, 2025"
