Title,Price,Link,Image Link,Sold Date
Mattia Perin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/235979982537,https://i.ebayimg.com/images/g/SjIAAeSwx3dnwVBd/s-l140.jpg,"Sold  Mar 1, 2025"
Mattia Perin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/226615348238,https://i.ebayimg.com/images/g/WEsAAeSwgB9nu--h/s-l140.jpg,"Sold  Feb 26, 2025"
Mattia Perin - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/226608307253,https://i.ebayimg.com/images/g/IBcAAeSw6y9ntqdo/s-l140.jpg,"Sold  Feb 22, 2025"
Mattia Perin - 2023-24 Immaculate Soccer Int'l - 3X Box Player BREAK #6,"64,789.80 VND",https://www.ebay.com/itm/235997367729,https://i.ebayimg.com/images/g/3YkAAeSwXwZnzmYa/s-l140.jpg,"Sold  Mar 12, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2104,"51,779.80 VND",https://www.ebay.com/itm/356725355688,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l500.jpg,"Sold  Apr 5, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2096,"51,779.80 VND",https://www.ebay.com/itm/356717960627,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l500.jpg,"Sold  Apr 2, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2086,"65,050.00 VND",https://www.ebay.com/itm/356705925833,https://i.ebayimg.com/images/g/CnoAAOSwODFn4cHe/s-l140.jpg,"Sold  Mar 29, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2072,"65,050.00 VND",https://www.ebay.com/itm/356679578894,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 22, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2053,"64,789.80 VND",https://www.ebay.com/itm/356651889483,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 15, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2034,"64,789.80 VND",https://www.ebay.com/itm/356620743092,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 5, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2032,"65,050.00 VND",https://www.ebay.com/itm/356605438800,https://i.ebayimg.com/images/g/~oIAAOSwaxpnvOOy/s-l140.jpg,"Sold  Mar 1, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2022,"65,050.00 VND",https://www.ebay.com/itm/356594410523,https://i.ebayimg.com/images/g/nREAAOSwl2Znt8VA/s-l140.jpg,"Sold  Feb 25, 2025"
MATTIA PERIN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2018,"64,789.80 VND",https://www.ebay.com/itm/356583749540,https://i.ebayimg.com/images/g/tMYAAOSwsvFns7yy/s-l140.jpg,"Sold  Feb 22, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #9,"64,789.80 VND",https://www.ebay.com/itm/236012649136,https://i.ebayimg.com/images/g/YX8AAOSwQ~xn23LD/s-l140.jpg,"Sold  Mar 26, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #8,"64,789.80 VND",https://www.ebay.com/itm/236011443903,https://i.ebayimg.com/images/g/ZCEAAOSw0Mln2jj6/s-l140.jpg,"Sold  Mar 23, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #7,"64,789.80 VND",https://www.ebay.com/itm/235998564731,https://i.ebayimg.com/images/g/ljUAAOSwxf5nz5UK/s-l140.jpg,"Sold  Mar 17, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"64,789.80 VND",https://www.ebay.com/itm/235979936841,https://i.ebayimg.com/images/g/psgAAOSw4chnv9Wk/s-l140.jpg,"Sold  Mar 5, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #5,"64,789.80 VND",https://www.ebay.com/itm/235975299210,https://i.ebayimg.com/images/g/FFsAAOSw3nBnvTLP/s-l140.jpg,"Sold  Mar 3, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972606891,https://i.ebayimg.com/images/g/05QAAOSwytdnupL9/s-l140.jpg,"Sold  Feb 27, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #3,"64,789.80 VND",https://www.ebay.com/itm/235967913071,https://i.ebayimg.com/images/g/w3AAAOSwgX1nt-ex/s-l140.jpg,"Sold  Feb 25, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"64,789.80 VND",https://www.ebay.com/itm/235961851730,https://i.ebayimg.com/images/g/9JkAAOSwsvFnsqJU/s-l140.jpg,"Sold  Feb 23, 2025"
Mattia Perin Juventus 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"97,575.00 VND",https://www.ebay.com/itm/235957613002,https://i.ebayimg.com/images/g/XdMAAOSwBGFnrqzj/s-l140.jpg,"Sold  Feb 20, 2025"
2022-23 Panini Immaculate Soccer Mattia Perin Glove 38/84 #GS-MP MATCH WORN RARE,"825,120.00 VND",https://www.ebay.com/itm/305142002147,https://i.ebayimg.com/images/g/pkwAAOSwDZNlBX-r/s-l140.jpg,"Sold  Apr 1, 2025"
2019 Panini Obsidian Lightning Strike Electric Etch Purple /75 Mattia Perin Auto,"298,449.40 VND",https://www.ebay.com/itm/335836390071,https://i.ebayimg.com/images/g/GK8AAeSwNphn6hE~/s-l140.jpg,"Sold  Mar 28, 2025"
Mattia Perin 2023-24 Immaculate Soccer Player Half Case Break #1,"25,759.80 VND",https://www.ebay.com/itm/376032747013,https://i.ebayimg.com/images/g/MIkAAOSwDJxnwp0E/s-l140.jpg,"Sold  Mar 5, 2025"
