Title,Price,Link,Image Link,Sold Date
Max Aarons 2023-24 Panini Prizm Premier League Soccer Tiger Stripe Choice SSP,"83,801.25 VND",https://www.ebay.com/itm/376064651093,https://i.ebayimg.com/images/g/xB0AAOSw5eNnwoyv/s-l140.jpg,"Sold  Mar 17, 2025"
Max Aarons 2023-24 Panini Prizm Premier League Soccer Tiger Stripe Choice SSP,"51,827.85 VND",https://www.ebay.com/itm/376032624617,https://i.ebayimg.com/images/g/xB0AAOSw5eNnwoyv/s-l140.jpg,"Sold  Mar 5, 2025"
2021-22 Panini Panini Max Aarons Breakaway Bronze 5/25 Norwich City Bournemouth,"71,555.00 VND",https://www.ebay.com/itm/365457451598,https://i.ebayimg.com/images/g/jdIAAOSwfkxn0jVu/s-l140.jpg,"Sold  Mar 17, 2025"
2021-22 Panini Panini Max Aarons Breakaway Bronze 5/25 Norwich City Bournemouth,"78,060.00 VND",https://www.ebay.com/itm/365409847913,https://i.ebayimg.com/images/g/o-0AAOSwiqJnto7m/s-l140.jpg,"Sold  Feb 24, 2025"
2021-22 Panini Panini Max Aarons Breakaway Bronze 5/25 Norwich City Bournemouth,"45,535.00 VND",https://www.ebay.com/itm/365389107965,https://i.ebayimg.com/images/g/UmwAAOSwaLhnqW9B/s-l140.jpg,"Sold  Feb 14, 2025"
2021-22 Panini Panini Max Aarons Breakaway Bronze 5/25 Norwich City Bournemouth,"50,739.00 VND",https://www.ebay.com/itm/365338184269,https://i.ebayimg.com/images/g/gpQAAOSwSAlngyWd/s-l140.jpg,"Sold  Jan 16, 2025"
2021-22 Panini Obsidian Eruption Max Aarons /149 Norwich City,"170,650.90 VND",https://www.ebay.com/itm/405290978539,https://i.ebayimg.com/images/g/6aUAAOSwpLpnEEIJ/s-l140.jpg,"Sold  Mar 1, 2025"
2021-22 Panini Obsidian Max Aarons Eruption Material /149 #Norwich City,"104,080.00 VND",https://www.ebay.com/itm/386109428129,https://i.ebayimg.com/images/g/gksAAOSwZTpk~XN1/s-l140.jpg,"Sold  Jan 12, 2025"
2021-22 Panini Revolution Max Aarons 02/40 Cosmic Norwich,"39,030.00 VND",https://www.ebay.com/itm/365379388232,https://i.ebayimg.com/images/g/C0IAAOSwmutnotDW/s-l140.jpg,"Sold  Feb 9, 2025"
2021-22 Panini Revolution Max Aarons 02/40 Cosmic Norwich,"39,030.00 VND",https://www.ebay.com/itm/365361659749,https://i.ebayimg.com/images/g/hqMAAOSwBXpnk5mX/s-l140.jpg,"Sold  Jan 29, 2025"
2021-22 Panini Prizm Premier League #167 Max Aarons Prizms Blue Mojo,"51,312.15 VND",https://www.ebay.com/itm/286290842344,https://i.ebayimg.com/images/g/9PsAAeSwa81nmq1c/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Prizm Premier League Max Aarons Choice Tiger Stripe Prizm #233 Sp,"234,385.65 VND",https://www.ebay.com/itm/256522393677,https://i.ebayimg.com/images/g/G~0AAOSwlOFmUOrG/s-l140.jpg,"Sold  Mar 22, 2025"
