Title,Price,Link,Image Link,Sold Date
2024 Topps Lineage Argentina Soccer Auto #Maximo Perrone #2,"141,817.50 VND",https://www.ebay.com/itm/365482423638,https://i.ebayimg.com/images/g/W5EAAeSw1fFn4o4P/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Lineage Argentina Soccer Auto #Maximo Perrone #1,"83,801.25 VND",https://www.ebay.com/itm/365482423594,https://i.ebayimg.com/images/g/QVoAAeSwISpn4o4N/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Lineage Argentina Soccer Auto #Maximo Perrone #4,"58,545.00 VND",https://www.ebay.com/itm/365503263340,https://i.ebayimg.com/images/g/cbwAAeSwIpNn7k-T/s-l500.jpg,"Sold  Apr 9, 2025"
2024 Topps Lineage Argentina Soccer Auto #Maximo Perrone #3,"58,545.00 VND",https://www.ebay.com/itm/365503262975,https://i.ebayimg.com/images/g/3z4AAeSw3x1n7k8z/s-l500.jpg,"Sold  Apr 9, 2025"
Maximo Perrone RC 2023-24 Panini Select La Liga Soccer Terrace Winter Camo 08/99,"25,785.00 VND",https://www.ebay.com/itm/376070401943,https://i.ebayimg.com/images/g/mhUAAOSwEKhnxTeh/s-l140.jpg,"Sold  Mar 19, 2025"
Maximo Perrone RC 2023-24 Panini Select La Liga Soccer Terrace Winter Camo 08/99,"25,785.00 VND",https://www.ebay.com/itm/376037482810,https://i.ebayimg.com/images/g/mhUAAOSwEKhnxTeh/s-l140.jpg,"Sold  Mar 7, 2025"
2024 Topps Lineage Argentina Maximo Perrone Bowman 1st Prospect Auto LK132,"26,020.00 VND",https://www.ebay.com/itm/316599020428,https://i.ebayimg.com/images/g/Vg4AAOSwsQ1n72ux/s-l140.jpg,"Sold  Apr 8, 2025"
2024 Topps Lineage Argentina Maximo Perrone Bowman Prospect Auto Green /75 LK132,"78,060.00 VND",https://www.ebay.com/itm/316598891535,https://i.ebayimg.com/images/g/I4YAAOSw3mpn72B3/s-l140.jpg,"Sold  Apr 8, 2025"
2024 Topps Lineage Argentina Maximo Perrone Bowman Prospect Auto /80 LK132,"84,565.00 VND",https://www.ebay.com/itm/316598752835,https://i.ebayimg.com/images/g/JjsAAOSwwpJn71Wn/s-l140.jpg,"Sold  Apr 8, 2025"
2024 Topps Lineage Argentina Maximo Perrone #6 1st Bowman Prospect Auto,"390,300.00 VND",https://www.ebay.com/itm/335739240991,https://i.ebayimg.com/images/g/~q4AAOSwfnBnZSS~/s-l140.jpg,"Sold  Jan 26, 2025"
Topps Lineage Argentina 2024 - Maximo Perrone - Autograph ,"160,964.53 VND",https://www.ebay.com/itm/116511534011,https://i.ebayimg.com/images/g/VGgAAeSwhO9nr29Z/s-l140.jpg,"Sold  Mar 16, 2025"
2024 Topps Lineage Argentina - Maximo Perrone Auto Autograph AB-MP,"242,159.03 VND",https://www.ebay.com/itm/356484232009,https://i.ebayimg.com/images/g/6Y8AAOSwHrBnZau4/s-l140.jpg,"Sold  Jan 26, 2025"
2024 Topps Lineage Argentina Maximo Perrone Red Autograph 2/5 #AB-MP SSP,"600,021.20 VND",https://www.ebay.com/itm/176886332271,https://i.ebayimg.com/images/g/amgAAOSwB3NntoZx/s-l140.jpg,"Sold  Mar 6, 2025"
2024 Topps Lineage Argentina Maximo Perrone Red Autograph 2/5 #AB-MP SSP,"806,620.00 VND",https://www.ebay.com/itm/176864638608,https://i.ebayimg.com/images/g/amgAAOSwB3NntoZx/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Panini Select La Liga -Terrace Winter Camo Prizm Maximo Perrone /99 (RC),"51,570.00 VND",https://www.ebay.com/itm/396243598496,https://i.ebayimg.com/images/g/if8AAOSwv6Bmt92x/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Panini Select La Liga Maximo Perrone Terrace Camo Rookie RC /99 #89,"128,667.15 VND",https://www.ebay.com/itm/176742847205,https://i.ebayimg.com/images/g/PkcAAOSwlgxnY5Ju/s-l140.jpg,"Sold  Feb 8, 2025"
"Maximo Perrone Autograph Signed 10x15cm Postcard ""UD Las Palmas 23/24""","569,501.07 VND",https://www.ebay.com/itm/285790570952,https://i.ebayimg.com/images/g/7X4AAOSwu6FmCBow/s-l140.jpg,"Sold  Mar 31, 2025"
2024 Topps Lineage Argentina Maximo Perrone Green Tango Auto /75 Bowman Prospect,"779,299.00 VND",https://www.ebay.com/itm/116480827321,https://i.ebayimg.com/images/g/i3UAAOSwfmpnsKAN/s-l140.jpg,"Sold  Mar 26, 2025"
MAXIMO PERRONE TOPPS LINEAGE ARGENTINA 2024ENGLISH AUTOGRAPH,"185,180.44 VND",https://www.ebay.com/itm/135620499267,https://i.ebayimg.com/images/g/aDMAAOSwnENnz-i0/s-l140.jpg,"Sold  Mar 23, 2025"
