Title,Price,Link,Image Link,Sold Date
Panini Women's Bundesliga 2024/25 VfL Wolfsburg Merle Frohms /50,"282,217.96 VND",https://www.ebay.com/itm/116536005800,https://i.ebayimg.com/images/g/CTwAAeSwiJJn5E42/s-l140.jpg,"Sold  Mar 26, 2025"
Panini Women's Bundesliga 2024/25 VfL Wolfsburg Merle Frohms /25,"675,176.10 VND",https://www.ebay.com/itm/116536012785,https://i.ebayimg.com/images/g/DWAAAeSwtI5n5FBN/s-l140.jpg,"Sold  Mar 26, 2025"
Merle Frohms 2023 Panini Donruss FIFA Womens World Cup Germany 213 Auto RC,"282,345.75 VND",https://www.ebay.com/itm/226042979108,https://i.ebayimg.com/images/g/lvIAAOSwNltl8PaR/s-l140.jpg,"Sold  Mar 16, 2025"
Merle Frohms 2023 Panini Donruss FIFA Womens World Cup RC Auto Autograph,"533,925.87 VND",https://www.ebay.com/itm/176427413422,https://i.ebayimg.com/images/g/t8EAAOSwO4JmbtNR/s-l140.jpg,"Sold  Jan 5, 2025"
2023 Panini Donruss Women's World Cup MERLE FROHMS #213 RC Rookie Auto JA701,"79,675.65 VND",https://www.ebay.com/itm/176937579921,https://i.ebayimg.com/images/g/OVUAAeSw1fFn22iq/s-l140.jpg,"Sold  Mar 24, 2025"
Merle Frohms 2023 Women's World Cup #213 Panini Donruss Autograph,"38,419.65 VND",https://www.ebay.com/itm/187046920165,https://i.ebayimg.com/images/g/G68AAOSwFTZnadwk/s-l140.jpg,"Sold  Mar 23, 2025"
Merle Frohms 2023 Women's World Cup #10 Panini Field Vision Germany,"39,193.20 VND",https://www.ebay.com/itm/166827049853,https://i.ebayimg.com/images/g/7dgAAOSwYJhmZ5l9/s-l140.jpg,"Sold  Mar 1, 2025"
2023 Donruss Fifa Women’s World Cup Base Set SP Auto#213 Merle Frohms ,"25,527.15 VND",https://www.ebay.com/itm/176859118387,https://i.ebayimg.com/images/g/ZKwAAOSw-D1ntjOp/s-l140.jpg,"Sold  Feb 24, 2025"
2023 Donruss FIFA Women's World Cup Merle Frohms Silver Foil Auto RC  #213,"56,984.85 VND",https://www.ebay.com/itm/256818730716,https://i.ebayimg.com/images/g/~7YAAeSwIPVnsPHM/s-l140.jpg,"Sold  Feb 22, 2025"
2023 Panini Donruss FIFA Women's World Cup Silver Auto Merle Frohms PSA 10,"1,412,219.80 VND",https://www.ebay.com/itm/405211312338,https://i.ebayimg.com/images/g/LCYAAOSwP3Vm2ayW/s-l140.jpg,"Sold  Feb 17, 2025"
Topps Champions League 2023 2024 Sticker 16 Merle Frohms - VfL Wolfsburg,"279,392.95 VND",https://www.ebay.com/itm/305341335617,https://i.ebayimg.com/images/g/qFcAAOSwgm5lmA7m/s-l140.jpg,"Sold  Jan 26, 2025"
