Title,Price,Link,Image Link,Sold Date
2023 Bowman Chrome Michael Arroyo 1st TRUE Gold Refractor Auto PSA 10 GEM 💎,"20,816,000.00 VND",https://www.ebay.com/itm/205405259569,https://i.ebayimg.com/images/g/Xi0AAeSwGZBn9duG/s-l500.jpg,"Sold  Apr 10, 2025"
2023 Bowman Chrome Michael Arroyo Blue Refractor Auto /150 PSA 9/10 MINT,"4,553,239.80 VND",https://www.ebay.com/itm/364648474987,https://i.ebayimg.com/images/g/jBIAAOSwXD1lliyI/s-l140.jpg,"Sold  Mar 6, 2025"
2023 Bowman Chrome Michael Arroyo 1st Gold Refractor Auto #33/50 Mariners,"5,659,350.00 VND",https://www.ebay.com/itm/376029239464,https://i.ebayimg.com/images/g/bZoAAeSwfxNnwNWy/s-l140.jpg,"Sold  Mar 4, 2025"
2023 Bowman Chrome Michael Arroyo 1st  Gold Refractor Auto Autograph # M’s,"9,263,120.00 VND",https://www.ebay.com/itm/205287091495,https://i.ebayimg.com/images/g/BiAAAOSw-z5nrVVd/s-l140.jpg,"Sold  Feb 22, 2025"
2024 Bowman Chrome Michael Arroyo 1st Prospect Gold Refractor Auto #10/50,"7,667,833.80 VND",https://www.ebay.com/itm/376003519809,https://i.ebayimg.com/images/g/oZ4AAeSwpglns5L8/s-l140.jpg,"Sold  Feb 22, 2025"
2023 Bowman Draft Michael Arroyo Prospect Sky Blue #23/499,"27,060.80 VND",https://www.ebay.com/itm/376133578207,https://i.ebayimg.com/images/g/bFcAAeSwehpn8DrO/s-l140.jpg,"Sold  Apr 9, 2025"
2023 Bowman Draft Michael Arroyo Prospect Sky Blue #7/499 Mariners,"27,060.80 VND",https://www.ebay.com/itm/376133578195,https://i.ebayimg.com/images/g/ogkAAeSwX3Bn8Doe/s-l140.jpg,"Sold  Apr 9, 2025"
2023 Bowman #BCP-63 Michael Arroyo Prospects Light Blue #/499,"6,505.00 VND",https://www.ebay.com/itm/127022649919,https://i.ebayimg.com/images/g/bMQAAeSwG-1n6PVT/s-l140.jpg,"Sold  Apr 7, 2025"
2023 Bowman #BP-63 Michael Arroyo Prospects Sky Blue #/499,"129,839.80 VND",https://www.ebay.com/itm/226587188685,https://i.ebayimg.com/images/g/A7cAAeSwQMBnpomC/s-l140.jpg,"Sold  Feb 27, 2025"
2023 Bowman Draft Michael Arroyo Chrome Prospect Purple Refractor #/250,"32,525.00 VND",https://www.ebay.com/itm/127033491926,https://i.ebayimg.com/images/g/dV0AAeSwghVn8Dol/s-l140.jpg,"Sold  Apr 9, 2025"
2023 Bowman #BCP-63 Michael Arroyo Chrome Prospects Aqua Shimmer Refractor #/125,"519,099.00 VND",https://www.ebay.com/itm/396406939392,https://i.ebayimg.com/images/g/nuoAAeSwegVn8XBn/s-l140.jpg,"Sold  Apr 5, 2025"
2023 Bowman Draft Michael Arroyo Chrome Aqua Lunar Crater Refractor #/125,"52,040.00 VND",https://www.ebay.com/itm/127019756118,https://i.ebayimg.com/images/g/-24AAeSw6ZFn5xRl/s-l140.jpg,"Sold  Apr 2, 2025"
2023 Bowman #BCP-63 Michael Arroyo Chrome Prospects Aqua Shimmer Refractor #/125,"519,099.00 VND",https://www.ebay.com/itm/116533927341,https://i.ebayimg.com/images/g/PpcAAeSw2Rln4lp2/s-l140.jpg,"Sold  Mar 25, 2025"
2024 Bowman #BCP-97 Michael Arroyo Chrome Prospects Speckle Refractors #/299,"38,769.80 VND",https://www.ebay.com/itm/388115283214,https://i.ebayimg.com/images/g/eFwAAeSweMtn2v2V/s-l140.jpg,"Sold  Mar 21, 2025"
2024 Bowman Michael Arroyo Chrome Prospects Purple RayWave Refractor #36/250,"33,565.80 VND",https://www.ebay.com/itm/126993650868,https://i.ebayimg.com/images/g/qgEAAeSwwH9n1H85/s-l140.jpg,"Sold  Mar 19, 2025"
