Title,Price,Link,Image Link,Sold Date
PANINI SELECT SOCCER 2016-17 MICHAEL BRADLEY USA,"32,896.84 VND",https://www.ebay.com/itm/156680381285,https://i.ebayimg.com/images/g/pr0AAOSwDh9ncFD7/s-l140.jpg,"Sold  Mar 10, 2025"
PANINI SELECT SOCCER 2016/17 MICHAEL BRADLEY USA GREEN/YELLOW/WHITE,"32,896.84 VND",https://www.ebay.com/itm/156621833544,https://i.ebayimg.com/images/g/9-gAAOSwICRnUuwC/s-l140.jpg,"Sold  Feb 21, 2025"
RARE Michael Bradley: Lonely Soldier Boy II: acoustic Robotech soundtrack CD OOP,"520,139.80 VND",https://www.ebay.com/itm/187079664608,https://i.ebayimg.com/images/g/hP0AAOSwzO5n5Nux/s-l140.jpg,"Sold  Mar 28, 2025"
RARE Michael Bradley: Lonely Soldier Boy: Robotech soundtrack demo+covers CD OOP,"650,239.80 VND",https://www.ebay.com/itm/187079447060,https://i.ebayimg.com/images/g/2lwAAOSwB7Zn40--/s-l140.jpg,"Sold  Mar 28, 2025"
2015-16 Panini Select Michael Bradley Terrace Camo 135/249 USA USMNT Toronto FC,"26,020.00 VND",https://www.ebay.com/itm/365468990907,https://i.ebayimg.com/images/g/lCsAAOSwYSFn2iaN/s-l140.jpg,"Sold  Mar 23, 2025"
2015-16 Panini Select Michael Bradley Terrace Camo 135/249 USA USMNT Toronto FC,"52,040.00 VND",https://www.ebay.com/itm/365437727016,https://i.ebayimg.com/images/g/pB4AAOSwEcNnxkrL/s-l140.jpg,"Sold  Mar 8, 2025"
2015-16 Panini Select Michael Bradley Terrace Camo 135/249 USA USMNT Toronto FC,"26,020.00 VND",https://www.ebay.com/itm/365406021751,https://i.ebayimg.com/images/g/8F8AAOSwETVns-e8/s-l140.jpg,"Sold  Feb 22, 2025"
2015-16 Panini Select Michael Bradley Terrace Camo 135/249 USA USMNT Toronto FC,"32,525.00 VND",https://www.ebay.com/itm/365384682822,https://i.ebayimg.com/images/g/NY8AAOSwhMpnpqcx/s-l140.jpg,"Sold  Feb 12, 2025"
2002 NBA Hoops Hot Prospects Certified Cuts Michael Bradley #CCMB Auto,"25,759.80 VND",https://www.ebay.com/itm/146453424726,https://i.ebayimg.com/images/g/XqIAAOSwpthn1DWu/s-l140.jpg,"Sold  Mar 22, 2025"
2001 NBA Hoops Hot Prospects Certified Cuts Michael Bradley #CCMB Rookie Auto RC,"125,936.80 VND to 193,588.80 VND",https://www.ebay.com/itm/235876143733,https://i.ebayimg.com/images/g/8VoAAOSwQypnYxLY/s-l140.jpg,"Sold  Feb 12, 2025"
2016 Select Michael Bradley National Pride #40,"25,759.80 VND",https://www.ebay.com/itm/375979725628,https://i.ebayimg.com/images/g/XZUAAeSwqWVnpnNj/s-l140.jpg,"Sold  Feb 12, 2025"
2016 Select Michael Bradley National Pride #40,"47,876.80 VND",https://www.ebay.com/itm/375973611900,https://i.ebayimg.com/images/g/atQAAeSw43hno7O2/s-l140.jpg,"Sold  Feb 10, 2025"
2016 Select Michael Bradley Red Terrace #162/199 USA,"91,330.20 VND",https://www.ebay.com/itm/375976377035,https://i.ebayimg.com/images/g/mcQAAeSwVxNnpSfQ/s-l140.jpg,"Sold  Feb 11, 2025"
2016 Select Michael Bradley Blue Terrace #81/299,"58,545.00 VND",https://www.ebay.com/itm/375976274931,https://i.ebayimg.com/images/g/V3AAAeSwgWRnpR7p/s-l140.jpg,"Sold  Feb 11, 2025"
2016 Select Michael Bradley Red Terrace Rated Rookie #132/199 USA,"84,565.00 VND",https://www.ebay.com/itm/375969537559,https://i.ebayimg.com/images/g/940AAeSw6vxnoTHQ/s-l140.jpg,"Sold  Feb 8, 2025"
2001-02 SP Authentic #RA-MB Michael Bradley Rookie Authentics #/1275,"50,739.00 VND",https://www.ebay.com/itm/396015686245,https://i.ebayimg.com/images/g/X30AAOSwoZZnX3~G/s-l140.jpg,"Sold  Feb 7, 2025"
