Title,Price,Link,Image Link,Sold Date
Cardfight Vanguard Lyrical Monasterio Michu Core,"2,601,739.80 VND",https://www.ebay.com/itm/146389108366,https://i.ebayimg.com/images/g/WPwAAOSwg0tnZMKt/s-l140.jpg,"Sold  Feb 13, 2025"
Cardfight Vanguard Lyrical Monasterio Michu Core,"2,601,739.80 VND",https://www.ebay.com/itm/146282580477,https://i.ebayimg.com/images/g/WPwAAOSwg0tnZMKt/s-l140.jpg,"Sold  Feb 1, 2025"
CARDFIGHT VANGUARD FIRST TO HEAD TOWARDS A DREAM! MICHU D-LBT03/LSR06EN LSR,"7,806,000.00 VND",https://www.ebay.com/itm/125989273476,https://i.ebayimg.com/images/g/ed4AAOSwdnZkly0m/s-l140.jpg,"Sold  Sep 23, 2024"
CARDFIGHT VANGUARD FIRST TO HEAD TOWARDS A DREAM! MICHU LSR VER SLEEVES (70 PCS),"910,700.00 VND",https://www.ebay.com/itm/126768896369,https://i.ebayimg.com/images/g/3oUAAOSwETxnL5qP/s-l140.jpg,"Sold  Mar 8, 2025"
2015 Michu Panini Select Orange Spain Autographed Soccer Card 63/125 Swansea PSA,"773,292.15 VND",https://www.ebay.com/itm/175135313351,https://i.ebayimg.com/images/g/NagAAOSw7dlgdbrw/s-l140.jpg,"Sold  Mar 28, 2025"
2015-16 PANINI SELECT SOCCER MICHU AUTOGRAPH PATCH RELIC BLUE PRIZM #/75 SPAIN🔥,"270,742.50 VND",https://www.ebay.com/itm/286274297365,https://i.ebayimg.com/images/g/IBwAAOSwHmZnjimX/s-l140.jpg,"Sold  Jan 30, 2025"
"2015-16 SELECT SOCCER #SS-MI MICHU AUTOGRAPH PATCH RELIC #18/185, SPAIN","927,228.60 VND",https://www.ebay.com/itm/351635000234,https://i.ebayimg.com/images/g/hTMAAOSwUV9WoEZU/s-l140.jpg,"Sold  Jan 14, 2025"
Cardfight Vanguard Pika Pika na Mood Michu 70-Pack Mini Sleeves Vol.733,"520,400.00 VND",https://www.ebay.com/itm/156391748095,https://i.ebayimg.com/images/g/S1QAAOSwkUBmx7Ud/s-l500.jpg,"Sold  Oct 22, 2024"
Michu Cat Litter Tofu Cat Litter Best Cat Litter Natural Clumping Tofu Cat Li,"390,300.00 VND",https://www.ebay.com/itm/335840892180,https://i.ebayimg.com/images/g/CSQAAeSwMUNnxML3/s-l500.jpg,"Sold  Apr 6, 2025"
Michu Vol.733 | Bushiroad Mini Sleeve Collection,"457,691.80 VND",https://www.ebay.com/itm/126977702548,https://i.ebayimg.com/images/g/nz0AAeSwE2pnyUX-/s-l140.jpg,"Sold  Apr 4, 2025"
Michu Poster 1998 Ringling Bros Barnum Bailey Program Poster Insert,"390,039.80 VND",https://www.ebay.com/itm/144889854874,https://i.ebayimg.com/images/g/KcAAAOSwIsNjuOUi/s-l140.jpg,"Sold  Mar 15, 2025"
"Messager: Veronique/Les P'tites Michu/Monsieur Beaucaire (CD, 2-Discs)","519,099.00 VND",https://www.ebay.com/itm/304650352917,https://i.ebayimg.com/images/g/jngAAOSwd6NjPD3A/s-l140.jpg,"Sold  Mar 8, 2025"
Rubber Mat Cardfight Vanguard Pika Pika na Mood Michu & Inori no Seika Noqno,"1,430,839.80 VND",https://www.ebay.com/itm/156333230464,https://i.ebayimg.com/images/g/WCAAAOSw45Bmq93a/s-l140.jpg,"Sold  Mar 7, 2025"
Messager / Compagnie Les Brigands - P'tites Michu [New CD] 2 Pack,"1,049,386.60 VND",https://www.ebay.com/itm/134959928188,https://i.ebayimg.com/images/g/AGQAAOSwY1Zl4vT-/s-l140.jpg,"Sold  Feb 23, 2025"
2015-16 Panini Select Spain Ander Herrera Michu 2/3 CS-HM Combo Signatures AUTO,"2,340,499.00 VND",https://www.ebay.com/itm/196807340768,https://i.ebayimg.com/images/g/k7QAAOSwHHxnI6H7/s-l140.jpg,"Sold  Feb 18, 2025"
1977  Ringling Bros. And Barnum Bailey Circus Program Michu Wedding Poster,"377,290.00 VND",https://www.ebay.com/itm/196391752460,https://i.ebayimg.com/images/g/JBoAAOSwbSJkXR7T/s-l140.jpg,"Sold  Feb 8, 2025"
Michu Meszaros - Signed Autographed 8x10 Photo W/ A1COA,"650,239.80 VND",https://www.ebay.com/itm/205260746022,https://i.ebayimg.com/images/g/ouwAAOSwrJxlWoPq/s-l140.jpg,"Sold  Feb 8, 2025"
Vintage 1974 RINGLING BROS BARNUM & BAILEY Circus Wall Poster MICHU Smallest Man,"1,040,539.80 VND",https://www.ebay.com/itm/176270157907,https://i.ebayimg.com/images/g/vEQAAOSwW9xl5cuH/s-l140.jpg,"Sold  Jan 15, 2025"
Katzenglück Hautnah mit Michu & Nela,"156,406.25 VND",https://www.ebay.com/itm/335884577576,https://i.ebayimg.com/images/g/FHkAAOSwb6tnkrDW/s-l140.jpg,"Sold  Mar 28, 2025"
CARDFIGHT VANGUARD GLISTENING MOOD MICHU (LYRICAL MONASTERIO) DZ-LBT01/SR04EN SR,"520,400.00 VND",https://www.ebay.com/itm/126696342945,https://i.ebayimg.com/images/g/5b4AAOSwu6xm-DB2/s-l140.jpg,"Sold  Sep 29, 2024"
Michu #9 2008-2013 EPL Player Size Premier League gold Nameset UK STOCK Swansea,"399,958.10 VND",https://www.ebay.com/itm/297101182157,https://i.ebayimg.com/images/g/ewIAAOSw7hBnzx2O/s-l140.jpg,"Sold  Mar 13, 2025"
"Glistening Mood, Michu DZ-LBT01 RRR Vanguard Lyrical Monasterio Sparkling Stars!","368,232.44 VND",https://www.ebay.com/itm/176591619423,https://i.ebayimg.com/images/g/Fe8AAOSwrsFm8UwB/s-l140.jpg,"Sold  Mar 11, 2025"
Michu Mixed Tofu Cat Litter Heavy Duty Flushable Kitty Litter 2.5KG x 8 Bags,"2,080,513.27 VND",https://www.ebay.com/itm/334203712258,https://i.ebayimg.com/images/g/368AAOSwBQtkZZSB/s-l140.jpg,"Sold  Mar 11, 2025"
CARDFIGHT VANGUARD - LYRICAL MONASTERIO MICHU CORE,"3,282,071.73 VND",https://www.ebay.com/itm/387995577698,https://i.ebayimg.com/images/g/pqYAAOSwXDpnvU4U/s-l140.jpg,"Sold  Mar 10, 2025"
Swansea City Afc Away Adidas Football Shirt  2012/13  Michu #9  (M),"2,501,823.00 VND",https://www.ebay.com/itm/387958918307,https://i.ebayimg.com/images/g/RQsAAeSwO-dns1qb/s-l140.jpg,"Sold  Mar 5, 2025"
Swansea City Home Football Shirt Sponsor Less 2013-2014 MICHU 9 Medium,"1,167,183.82 VND",https://www.ebay.com/itm/146021546276,https://i.ebayimg.com/images/g/yJsAAOSwZjNm4uMt/s-l140.jpg,"Sold  Jan 25, 2025"
Michu Cordless & Rechargeable Battery Operated Automatic Pet Water Fountain,"1,439,308.53 VND to 1,709,879.32 VND",https://www.ebay.com/itm/334774948252,https://i.ebayimg.com/images/g/WxMAAOSwJ8FkAwE2/s-l140.jpg,"Sold  Jan 23, 2025"
