Title,Price,Link,Image Link,Sold Date
Panini Prizm 2024 Conmebol Copa America No 18 Miguel Terceros Rookie Red 156/199,"142,161.60 VND",https://www.ebay.com/itm/335559551740,https://i.ebayimg.com/images/g/xW0AAOSweFBm1rQc/s-l140.jpg,"Sold  Feb 2, 2025"
Panini Prizm 2024 Conmebol Copa America No. 18 Miguel Terceros Rookie Silver,"56,693.70 VND",https://www.ebay.com/itm/235726640136,https://i.ebayimg.com/images/g/2okAAOSwzIpm1rPd/s-l140.jpg,"Sold  Feb 2, 2025"
Panini Prizm 2024 Conmebol Copa America No. 18 Miguel Terceros Rookie Ice Prizm,"56,693.70 VND",https://www.ebay.com/itm/315721746736,https://i.ebayimg.com/images/g/rHkAAOSwI-pm1rQD/s-l140.jpg,"Sold  Feb 2, 2025"
2024 Panini Conmebol COPA America Soccer Tiger Stripe SPP Miguel Terceros #18,"33,262.65 VND",https://www.ebay.com/itm/146445792305,https://i.ebayimg.com/images/g/fRUAAeSwLjVnyOiv/s-l140.jpg,"Sold  Mar 19, 2025"
2024 PRIZM MIGUEL TERCEROS #18 ROOKIE COPA AMERICA ORANGE RC /25,"390,300.00 VND",https://www.ebay.com/itm/176769223087,https://i.ebayimg.com/images/g/hTYAAOSwwdlndhnP/s-l140.jpg,"Sold  Mar 25, 2025"
MIGUEL TERCEROS 2024 PRIZM COPA AMERICA #2 NEW ERA ROOKIE ORANGE #21/25 T3749,"337,999.80 VND",https://www.ebay.com/itm/235856098104,https://i.ebayimg.com/images/g/hHMAAOSwnX1nNr5H/s-l140.jpg,"Sold  Feb 20, 2025"
2024 Panini Prizm Copa America Miguel Terceros Gold #/10 Pulsar Rookie RC,"1,040,539.80 VND",https://www.ebay.com/itm/276858089920,https://i.ebayimg.com/images/g/qwUAAOSwf6ZnfDbs/s-l140.jpg,"Sold  Feb 19, 2025"
2024 Panini Prizm CONMEBOL Copa America Pink Prizm Miguel Terceros #18,"55,943.00 VND",https://www.ebay.com/itm/335817835400,https://i.ebayimg.com/images/g/cx8AAeSwab5n23Hb/s-l140.jpg,"Sold  Feb 19, 2025"
2024 Panini Prizm Copa America Prizms Silver #18 Miguel Terceros,"51,779.80 VND",https://www.ebay.com/itm/365137003474,https://i.ebayimg.com/images/g/C3AAAOSwRnRniDPX/s-l140.jpg,"Sold  Jan 24, 2025"
2024 MIGUEL TERCEROS 20/25 PANINI PRIZM CONMEBOL COPA AMERICA 2024 GOLD RC,"520,139.80 VND",https://www.ebay.com/itm/156487895354,https://i.ebayimg.com/images/g/cFYAAOSwQ5NnIuY1/s-l140.jpg,"Sold  Apr 5, 2025"
Topps Conmebol Copa America 2024 No. 2 Miguel Terceros Gold 2/10 New Era,"569,501.07 VND",https://www.ebay.com/itm/335747659541,https://i.ebayimg.com/images/g/Z58AAOSw5ZZnbq6I/s-l140.jpg,"Sold  Mar 23, 2025"
Miguel Terceros RC 2024 Prizm Conmebol Copa America Cracked Ice 28 Cards Lots,"71,555.00 VND",https://www.ebay.com/itm/376048102185,https://i.ebayimg.com/images/g/XaAAAOSwbHhnynK9/s-l140.jpg,"Sold  Mar 11, 2025"
