Title,Price,Link,Image Link,Sold Date
Moussa Diaby 2023-24 Panini Donruss Fifa Soccer Kit Kings Relic [dbK72,"64,462.50 VND",https://www.ebay.com/itm/376108262168,https://i.ebayimg.com/images/g/DuEAAOSwxGFn52F-/s-l140.jpg,"Sold  Apr 2, 2025"
Moussa Diaby 2023-24 Panini Donruss Soccer FIFA Kit Kings Patch [dbI71,"109,586.25 VND",https://www.ebay.com/itm/376104974156,https://i.ebayimg.com/images/g/6fQAAOSwg8dn1iqx/s-l140.jpg,"Sold  Apr 1, 2025"
Moussa Diaby 2023-24 Panini Donruss Soccer FIFA Kit Kings Patch [dbI71,"60,594.75 VND",https://www.ebay.com/itm/376072840433,https://i.ebayimg.com/images/g/6fQAAOSwg8dn1iqx/s-l140.jpg,"Sold  Mar 20, 2025"
2022-23 Panini Select FIFA MOUSSA DIABY 46/75 Purple Prizm Mezzanine #130,"25,527.15 VND",https://www.ebay.com/itm/306198278968,https://i.ebayimg.com/images/g/VaoAAOSwQD9n4PkL/s-l140.jpg,"Sold  Apr 1, 2025"
2022-23 Panini Select FIFA MOUSSA DIABY 36/49 Tie-Dye Prizm Mezzanine #130,"25,527.15 VND",https://www.ebay.com/itm/306113482354,https://i.ebayimg.com/images/g/VZkAAOSwT1xnruvk/s-l140.jpg,"Sold  Feb 22, 2025"
/30 Moussa Diaby 2023/24 Panini Immaculate Soccer Sick Patch Auto Ruby SSP,"270,742.50 VND",https://www.ebay.com/itm/297143666562,https://i.ebayimg.com/images/g/mx8AAOSwkZ9n2nFw/s-l140.jpg,"Sold  Mar 28, 2025"
/30 Moussa Diaby 2023/24 Panini Immaculate Soccer Sick Patch Ruby SP,"130,214.25 VND",https://www.ebay.com/itm/297143648774,https://i.ebayimg.com/images/g/WMwAAOSwWuNn2nqu/s-l140.jpg,"Sold  Mar 28, 2025"
2022-23 Panini Select FIFA Moussa Diaby Tie Dye 40/49 France Aston Villa,"51,570.00 VND",https://www.ebay.com/itm/365463188850,https://i.ebayimg.com/images/g/rpIAAOSwQMFn1jFm/s-l140.jpg,"Sold  Mar 22, 2025"
2022-23 Panini Select FIFA Moussa Diaby Tie Dye 40/49 France Aston Villa,"51,570.00 VND",https://www.ebay.com/itm/365409775858,https://i.ebayimg.com/images/g/9z4AAOSwCzdntoBc/s-l140.jpg,"Sold  Feb 26, 2025"
2022-23 Panini Select FIFA Moussa Diaby Tie Dye 40/49 France Aston Villa,"32,231.25 VND",https://www.ebay.com/itm/365388960735,https://i.ebayimg.com/images/g/TW0AAOSwd2lnqVnL/s-l140.jpg,"Sold  Feb 16, 2025"
