Title,Price,Link,Image Link,Sold Date
Nabil Fekir 2023-24 Panini Donruss Soccer FIFA Signature Series Auto [dbL30,"109,586.25 VND",https://www.ebay.com/itm/376107484995,https://i.ebayimg.com/images/g/4ywAAOSwAjln32uC/s-l140.jpg,"Sold  Apr 2, 2025"
Nabil Fekir 2023-24 Panini Donruss Soccer FIFA Signature Series Auto [dbL30,"128,925.00 VND",https://www.ebay.com/itm/376091029259,https://i.ebayimg.com/images/g/4ywAAOSwAjln32uC/s-l140.jpg,"Sold  Mar 27, 2025"
Nabil Fekir 2024-25 Panini Donruss FIFA Signature Series Auto /49 France,"399,667.50 VND",https://www.ebay.com/itm/256819966820,https://i.ebayimg.com/images/g/FdQAAOSw0gJnsNBh/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Panini Select FIFA Gold Prizm Auto NABIL FEKIR /10 France #PS-NF SSP,"1,288,992.15 VND",https://www.ebay.com/itm/395795121250,https://i.ebayimg.com/images/g/QaQAAOSw-wdnDDys/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Select FIFA Tie-Dye Prizm Auto NABIL FEKIR 3/25 France #PS-NF SSP,"1,288,992.15 VND",https://www.ebay.com/itm/315739585522,https://i.ebayimg.com/images/g/aLAAAOSwefdm3mkv/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Select FIFA Nabil Fekir Peacock Pitchside Auto France SSP,"386,775.00 VND",https://www.ebay.com/itm/146201433703,https://i.ebayimg.com/images/g/404AAOSwIStnKRMq/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Panini Select FIFA Nabil Fekir Silver Prizm Auto France,"58,016.25 VND",https://www.ebay.com/itm/306032649425,https://i.ebayimg.com/images/g/K98AAOSwBqlngXEn/s-l140.jpg,"Sold  Jan 17, 2025"
2024-25 Panini Donruss FIFA Nabil Fekir Signature Series Auto #1,"54,922.05 VND",https://www.ebay.com/itm/256849923247,https://i.ebayimg.com/images/g/Pp0AAOSwH99npjCl/s-l140.jpg,"Sold  Mar 14, 2025"
2024-25 Panini Donruss FIFA Nabil Fekir Signature Series Auto FRANCE,"193,387.50 VND",https://www.ebay.com/itm/396221039947,https://i.ebayimg.com/images/g/QNEAAeSwIh5ns~dN/s-l140.jpg,"Sold  Feb 19, 2025"
2024-25 Panini Donruss Soccer Nabil Fekir Signature Series Blue Prizm Auto /99,"128,925.00 VND",https://www.ebay.com/itm/267149244067,https://i.ebayimg.com/images/g/YlMAAOSwypFnmmrY/s-l140.jpg,"Sold  Feb 10, 2025"
