Title,Price,Link,Image Link,Sold Date
2022-23 Panini Select Nathan Patterson Rookie RC Terrace White 15/20 Everton,"26,020.00 VND",https://www.ebay.com/itm/365347944478,https://i.ebayimg.com/images/g/y3sAAOSwAahnich6/s-l140.jpg,"Sold  Jan 21, 2025"
2022-23 Panini Select Nathan Patterson Rookie RC Terrace White 15/20 Everton,"45,535.00 VND",https://www.ebay.com/itm/365327454301,https://i.ebayimg.com/images/g/xO8AAOSwpsFnfIW0/s-l140.jpg,"Sold  Jan 11, 2025"
PANINI  SELECT PREMIER LEAGUE 2022/23 NATHAN PATTERSON ROOKIE RC EVERTON RED,"32,896.84 VND",https://www.ebay.com/itm/156671219911,https://i.ebayimg.com/images/g/shoAAOSwRzdmWHQk/s-l140.jpg,"Sold  Mar 22, 2025"
PANINI ADRENALYN XL PREMIER LEAGUE 2025 NATHAN PATTERSON EVERTON 138,"32,896.84 VND",https://www.ebay.com/itm/376073836789,https://i.ebayimg.com/images/g/NbYAAOSw275ndTW7/s-l140.jpg,"Sold  Mar 20, 2025"
Nathan Patterson 2022-23 Panini Impeccable Premier League RC Silver 13/18 [dbI66,"128,925.00 VND",https://www.ebay.com/itm/376061690885,https://i.ebayimg.com/images/g/T~AAAOSwUftn0Oj9/s-l140.jpg,"Sold  Mar 16, 2025"
2021-22 Topps Chrome SPFL Scottish Premier League RC Nathan Patterson Red /5,"1,129,719.34 VND",https://www.ebay.com/itm/405553241144,https://i.ebayimg.com/images/g/iY4AAOSwQG9nsh7D/s-l140.jpg,"Sold  Mar 12, 2025"
Nathan Patterson 2023-24 Panini Prizm EPL Soccer Everton Gold Breakaway 2/10,"463,872.15 VND",https://www.ebay.com/itm/176831680763,https://i.ebayimg.com/images/g/qioAAOSwm4Jnp9a4/s-l140.jpg,"Sold  Feb 12, 2025"
2023 Prizm Premier League Nathan Patterson Numbered To 299,"25,785.00 VND",https://www.ebay.com/itm/315686296312,https://i.ebayimg.com/images/g/WMsAAOSwRUhmxRWU/s-l140.jpg,"Sold  Feb 11, 2025"
Nathan Patterson 2022-23 Panini Immaculate Collection Soccer RC 18/49[dbF79,"25,785.00 VND",https://www.ebay.com/itm/375958703568,https://i.ebayimg.com/images/g/h4oAAOSwXBtnmuCV/s-l140.jpg,"Sold  Feb 3, 2025"
Donruss Elite Premier League 22/23 Disco Parallel Everton Nathan Patterson #79,"66,125.97 VND",https://www.ebay.com/itm/267118848077,https://i.ebayimg.com/images/g/~ZUAAOSwf-JlRPue/s-l140.jpg,"Sold  Jan 15, 2025"
