Title,Price,Link,Image Link,Sold Date
Nick Rimando - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/226608345068,https://i.ebayimg.com/images/g/-EYAAeSwwoxntqrr/s-l140.jpg,"Sold  Feb 22, 2025"
Nick Rimando - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226600379207,https://i.ebayimg.com/images/g/WW0AAeSws19nsWS7/s-l140.jpg,"Sold  Feb 18, 2025"
Nick Rimando 2015 Panini USA Soccer National Team Signatures AUTO #15 Nd /49,"489,915.00 VND",https://www.ebay.com/itm/156717264218,https://i.ebayimg.com/images/g/9JMAAeSwNC9nti~b/s-l140.jpg,"Sold  Feb 21, 2025"
Nick Rimando 2015 Panini USA Soccer National Team Signatures AUTO #27 #'d /199,"257,850.00 VND",https://www.ebay.com/itm/167216776215,https://i.ebayimg.com/images/g/5tkAAOSwmjZncLpE/s-l140.jpg,"Sold  Feb 9, 2025"
2013 Topps MLS Maestro Auto Nick Rimando #MA-NR Auto,"305,474.80 VND",https://www.ebay.com/itm/335810357126,https://i.ebayimg.com/images/g/5VwAAeSwzORnrUyH/s-l140.jpg,"Sold  Apr 4, 2025"
2013 Topps MLS Maestro Auto Nick Rimando #MA-NR Auto Real Salt Lake,"143,110.00 VND",https://www.ebay.com/itm/306098065305,https://i.ebayimg.com/images/g/ms8AAOSwpLhnpqeR/s-l140.jpg,"Sold  Feb 14, 2025"
Nick Rimando United States 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972619482,https://i.ebayimg.com/images/g/gr0AAOSwMRBnupZF/s-l140.jpg,"Sold  Feb 27, 2025"
Nick Rimando United States 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957627030,https://i.ebayimg.com/images/g/8u4AAOSw8opnrrA1/s-l140.jpg,"Sold  Feb 20, 2025"
2012 Upper Deck MLS Materials Nick Rimando M-NR Real Salt Lake,"77,799.80 VND",https://www.ebay.com/itm/297013878333,https://i.ebayimg.com/images/g/7GgAAOSwMWFikkRJ/s-l140.jpg,"Sold  Feb 23, 2025"
2012 Upper Deck MLS Materials Nick Rimando M-NR Real Salt Lake,"77,799.80 VND",https://www.ebay.com/itm/296981376686,https://i.ebayimg.com/images/g/7GgAAOSwMWFikkRJ/s-l140.jpg,"Sold  Feb 12, 2025"
2015 Panini USA Soccer Silhouette Signatures #15 Nick Rimando 49,"644,625.00 VND",https://www.ebay.com/itm/286349678289,https://i.ebayimg.com/images/g/TU4AAeSwSbRnuJQo/s-l140.jpg,"Sold  Feb 22, 2025"
2015 Panini USA Soccer #26 Nick Rimando 8/25 Prime Match worn memorabilia,"32,231.25 VND",https://www.ebay.com/itm/316165030308,https://i.ebayimg.com/images/g/Ah4AAOSw6iRndzD2/s-l140.jpg,"Sold  Feb 8, 2025"
Real Salt Lake Nick Rimando Kyle Beckerman Bobblehead Soccer Bobble Head Jersey,"650,239.80 VND",https://www.ebay.com/itm/187095046348,https://i.ebayimg.com/images/g/CGIAAeSwjDVn6Xrr/s-l500.jpg,"Sold  Apr 6, 2025"
2018-19 Donruss #BG-NRI Nick Rimando The Beautiful Game Autographs,"207,899.80 VND",https://www.ebay.com/itm/126819572412,https://i.ebayimg.com/images/g/iVoAAOSw0JlnVR7I/s-l140.jpg,"Sold  Mar 30, 2025"
Nick Rimando 2023 Panini Immaculate Tag Patch Auto Platinum 1/1 #TA-NR SSP,"4,553,500.00 VND",https://www.ebay.com/itm/167401594273,https://i.ebayimg.com/images/g/Hi8AAeSwYohn4pqf/s-l140.jpg,"Sold  Mar 25, 2025"
2016 Topps Apex MLS Blue #94 Nick Rimando /99,"43,973.80 VND",https://www.ebay.com/itm/365096479981,https://i.ebayimg.com/images/g/NwUAAeSwAE9nz0gj/s-l140.jpg,"Sold  Jan 11, 2025"
2013 Topps MLS Auto Nick Rimando #MA-NR Autograph Card Real Salt Lake,"129,839.80 VND",https://www.ebay.com/itm/316484735921,https://i.ebayimg.com/images/g/uw0AAOSw3M5n0dqd/s-l140.jpg,"Sold  Mar 17, 2025"
2011 SP GAME USED SOCCER NICK RIMANDO GOLD GU JERSEY PATCH FROM XANGO LOGO #2/35,"676,259.80 VND",https://www.ebay.com/itm/286397383253,https://i.ebayimg.com/images/g/OMwAAOSwun5nwlHQ/s-l140.jpg,"Sold  Mar 10, 2025"
Nick Rimando 2023-24 Immaculate Soccer Player Half Case Break #1,"25,759.80 VND",https://www.ebay.com/itm/316411998193,https://i.ebayimg.com/images/g/0rUAAOSwcHpnwqAD/s-l140.jpg,"Sold  Mar 5, 2025"
2013 Topps MLS Nick Rimando Relics Jersey #KIT-NR,"40,331.00 VND",https://www.ebay.com/itm/376023740727,https://i.ebayimg.com/images/g/zQAAAeSw3cVnviPq/s-l140.jpg,"Sold  Mar 2, 2025"
NICK RIMANDO 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box PLAYER BREAK 2032,"65,050.00 VND",https://www.ebay.com/itm/356605354034,https://i.ebayimg.com/images/g/2qYAAOSwURBnvN3m/s-l140.jpg,"Sold  Mar 1, 2025"
2012 Upper Deck MLS Dual Materials #RSL Kyle Beckerman Nick Rimando B Jersey,"386,397.00 VND",https://www.ebay.com/itm/173902526373,https://i.ebayimg.com/images/g/gPkAAOSwwlRlcDDP/s-l140.jpg,"Sold  Jan 27, 2025"
2015 Topps Apex MLS Orange /25 Gold /50 LOT 5 Nick Rimando and More,"25,759.80 VND",https://www.ebay.com/itm/146406745203,https://i.ebayimg.com/images/g/hkIAAOSwGlZnuU-W/s-l140.jpg,"Sold  Feb 26, 2025"
