Title,Price,Link,Image Link,Sold Date
NICO GAITAN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2086,"39,030.00 VND",https://www.ebay.com/itm/356721974066,https://i.ebayimg.com/images/g/CnoAAOSwODFn4cHe/s-l140.jpg,"Sold  Mar 30, 2025"
NICO GAITAN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2072,"39,030.00 VND",https://www.ebay.com/itm/356700784346,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 23, 2025"
NICO GAITAN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2053,"52,040.00 VND",https://www.ebay.com/itm/356675909183,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
NICO GAITAN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2053,"64,789.80 VND",https://www.ebay.com/itm/356651889239,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 15, 2025"
NICO GAITAN 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2018,"64,789.80 VND",https://www.ebay.com/itm/356583749533,https://i.ebayimg.com/images/g/tMYAAOSwsvFns7yy/s-l140.jpg,"Sold  Feb 22, 2025"
Nico Gaitan SL Benfica 2023-24 Panini Immaculate 1X Case 6X Box Break #6,"64,789.80 VND",https://www.ebay.com/itm/235979951612,https://i.ebayimg.com/images/g/yi0AAOSw65Rnv9j7/s-l140.jpg,"Sold  Mar 5, 2025"
Nico Gaitan SL Benfica 2023-24 Panini Immaculate 1X Case 6X Box Break #4,"64,789.80 VND",https://www.ebay.com/itm/235972620664,https://i.ebayimg.com/images/g/6F0AAOSwMHJnupZt/s-l140.jpg,"Sold  Feb 27, 2025"
Nico Gaitan SL Benfica 2023-24 Panini Immaculate 1X Case 6X Box Break #2,"84,565.00 VND",https://www.ebay.com/itm/235961863272,https://i.ebayimg.com/images/g/Zl8AAOSw5QBnsqWo/s-l140.jpg,"Sold  Feb 23, 2025"
Nico Gaitan SL Benfica 2023-24 Panini Immaculate 1X Case 6X Box Break #1,"64,789.80 VND",https://www.ebay.com/itm/235957627769,https://i.ebayimg.com/images/g/npAAAOSwNlJnrrBd/s-l140.jpg,"Sold  Feb 20, 2025"
2017 Panini Select Soccer Nico Gaitan Field Level Silver Prizm Argentina 🇦🇷 ,"25,527.15 VND",https://www.ebay.com/itm/356621498484,https://i.ebayimg.com/images/g/qFEAAOSwv~xivyLC/s-l140.jpg,"Sold  Mar 7, 2025"
Nico Gaitan Volcanic Material Auto 17/20 2021-22 Panini Obsidian Soccer,"644,625.00 VND",https://www.ebay.com/itm/296187556743,https://i.ebayimg.com/images/g/sEIAAOSwtmtlsfR6/s-l140.jpg,"Sold  Jan 12, 2025"
2020 Immaculate Nico Gaitan Auto Jersey Sapphire #8/25,"325,250.00 VND",https://www.ebay.com/itm/127014193827,https://i.ebayimg.com/images/g/YHYAAeSws69n4xSB/s-l500.jpg,"Sold  Mar 30, 2025"
2018 National Treasures Nico Gaitan Treasured Threads Relics Bronze #3/35,"273,210.00 VND",https://www.ebay.com/itm/376029232281,https://i.ebayimg.com/images/g/ewMAAeSwaoJnwNUF/s-l140.jpg,"Sold  Mar 4, 2025"
2015 Panini Donruss Press Proof Bronze /299 Nicolas Gaitan Nico Gaitan #61,"47,096.20 VND",https://www.ebay.com/itm/335808528622,https://i.ebayimg.com/images/g/3ncAAeSwc6dnq6lG/s-l140.jpg,"Sold  Feb 26, 2025"
2020 Panini Immaculate Collection Nico Gaitan Auto Sapphire Jersey #/25,"338,260.00 VND",https://www.ebay.com/itm/126926606316,https://i.ebayimg.com/images/g/20QAAeSwY-BnpnAl/s-l140.jpg,"Sold  Feb 12, 2025"
2018 Donruss Nico Gaitan The Beautiful Game Auto #BG-NG,"156,120.00 VND",https://www.ebay.com/itm/126924966054,https://i.ebayimg.com/images/g/crQAAeSwzntnpR58/s-l140.jpg,"Sold  Feb 11, 2025"
NICO GAITAN madrid 2019-20 Chronicles Throwback Threads JERSEY (SC2),"91,070.00 VND",https://www.ebay.com/itm/315397735008,https://i.ebayimg.com/images/g/ntoAAOSwwuVmVS-p/s-l140.jpg,"Sold  Jan 28, 2025"
2020-21 Panini Obsidian Matrix Material Auto Nico Gaitan /49 Argentina,"284,608.09 VND",https://www.ebay.com/itm/405494485841,https://i.ebayimg.com/images/g/ZtwAAOSwvWBnECpf/s-l140.jpg,"Sold  Mar 15, 2025"
Signed NICO GAITAN Shirt - Atletico Madrid -PROOF/COA- Argentina Benfica,"834,274.58 VND",https://www.ebay.com/itm/396155740759,https://i.ebayimg.com/images/g/~awAAOSwXBtnl8GN/s-l140.jpg,"Sold  Feb 4, 2025"
