Title,Price,Link,Image Link,Sold Date
2022 Topps Bowman Chrome 1st Nico Williams UEFA U21,"25,785.00 VND",https://www.ebay.com/itm/326402267085,https://i.ebayimg.com/images/g/t44AAOSwq7hngt9Y/s-l500.jpg,"Sold  Jan 18, 2025"
2022 Topps Bowman Chrome 1st Nico Williams ATOMIC REFRACTOR UEFA U21,"206,280.00 VND",https://www.ebay.com/itm/146375185058,https://i.ebayimg.com/images/g/3dcAAOSwcK5npqJD/s-l140.jpg,"Sold  Feb 14, 2025"
2022 Topps Bowman Chrome 1st Nico Williams ATOMIC REFRACTOR UEFA U21 RC,"232,065.00 VND",https://www.ebay.com/itm/286445819688,https://i.ebayimg.com/images/g/~qMAAOSwcNBn54l5/s-l140.jpg,"Sold  Mar 31, 2025"
2023-24 Panini Select FIFA Nico Williams Winter Camo Prizm 83/99 #20 Spain,"386,517.15 VND",https://www.ebay.com/itm/226436833804,https://i.ebayimg.com/images/g/QUwAAOSw-GBnLEeH/s-l140.jpg,"Sold  Jan 16, 2025"
2023-24 Panini Select FIFA #20 Nico Williams Terrace Winter Camo Prizm /99 Spain,"309,420.00 VND",https://www.ebay.com/itm/226441023319,https://i.ebayimg.com/images/g/ZysAAOSwnqBnL6Z-/s-l140.jpg,"Sold  Jan 9, 2025"
2023-24 Panini Select FIFA Nico Williams /199 Pink Mojo Prizm #20 SP Spain,"128,667.15 VND",https://www.ebay.com/itm/316160862188,https://i.ebayimg.com/images/g/a~wAAOSwHNxnlbhn/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Panini Select FIFA Nico Williams /199 Pink Mojo Prizm #20 SP Spain,"231,807.15 VND",https://www.ebay.com/itm/156558179219,https://i.ebayimg.com/images/g/Tu4AAOSw0JlnTk6c/s-l140.jpg,"Sold  Jan 22, 2025"
NICO WILLIAMS 2022 SELECT LA LIGA FIELD LEVEL ZEBRA PRIZM SSP /25 Q0902,"888,293.25 VND",https://www.ebay.com/itm/276809842447,https://i.ebayimg.com/images/g/tFsAAOSwd2dnfwsY/s-l140.jpg,"Sold  Jan 15, 2025"
NICO WILLIAMS 2023 SELECT LA LIGA FIELD LEVEL WINTER CAMO /99 Q0902,"141,817.50 VND",https://www.ebay.com/itm/276807247232,https://i.ebayimg.com/images/g/XSMAAOSwaJJnfHY-/s-l140.jpg,"Sold  Jan 13, 2025"
NICO WILLIAMS 2023 SELECT LA LIGA FIELD LEVEL WINTER CAMO /99 Q0902,"169,130.00 VND",https://www.ebay.com/itm/276819158668,https://i.ebayimg.com/images/g/XSMAAOSwaJJnfHY-/s-l140.jpg,"Sold  Jan 23, 2025"
