Title,Price,Link,Image Link,Sold Date
Topps 2024 Chrome UEFA Euro No. NN-10 Nicolae Stanciu,"33,229.13 VND",https://www.ebay.com/itm/235976510006,https://i.ebayimg.com/images/g/flYAAOSwTJJng~BZ/s-l140.jpg,"Sold  Mar 7, 2025"
Topps 2024 Chrome Euro UEFA No. 150 Nicolae Stanciu,"28,250.05 VND",https://www.ebay.com/itm/335768491375,https://i.ebayimg.com/images/g/qLYAAOSwN-lnXEKQ/s-l140.jpg,"Sold  Feb 3, 2025"
2024 Topps Chrome UEFA Euro Nicolae Stanciu Purple /175 Romania,"169,217.78 VND",https://www.ebay.com/itm/405539104214,https://i.ebayimg.com/images/g/df0AAOSwOl5nq5rS/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Topps Chrome UEFA Euro Nicolae Stanciu Neon Green /150 Romania,"197,467.82 VND",https://www.ebay.com/itm/405539126206,https://i.ebayimg.com/images/g/TXgAAOSw965nq53P/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Topps Chrome UEFA Euro Neon Nations Nicolae Stanciu Gold /50 Romania,"423,468.19 VND",https://www.ebay.com/itm/405539135880,https://i.ebayimg.com/images/g/RfUAAOSwYU1nq5~s/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Topps Chrome UEFA Euro Nicolae Stanciu Color Match /99 Romania,"197,467.82 VND",https://www.ebay.com/itm/405539124729,https://i.ebayimg.com/images/g/nmwAAOSwEq1nq51G/s-l140.jpg,"Sold  Feb 14, 2025"
2024 Topps Chrome UEFA Euro Nicolae Stanciu Blue Raywave Refractor /75 Romania,"180,237.15 VND",https://www.ebay.com/itm/306196789491,https://i.ebayimg.com/images/g/f3AAAeSw8bpn39or/s-l500.jpg,"Sold  Mar 27, 2025"
2024 Topps Chrome Euro Nicolae Stanciu Purple Lava 13/175 Romania Damac,"110,585.00 VND",https://www.ebay.com/itm/365347924039,https://i.ebayimg.com/images/g/fvUAAOSwTd9nicXa/s-l140.jpg,"Sold  Jan 21, 2025"
2024 Topps Chrome UEFA EURO Romania Nicolae Stanciu Neon Nations Blue /150,"25,785.00 VND",https://www.ebay.com/itm/365458940520,https://i.ebayimg.com/images/g/zW0AAeSwXIRnycCh/s-l140.jpg,"Sold  Mar 13, 2025"
2024 Topps Chrome UEFA EURO Romania Nicolae Stanciu Red Refractor /5,"3,867,750.00 VND",https://www.ebay.com/itm/186823174538,https://i.ebayimg.com/images/g/kr0AAOSw-mNnTo9f/s-l140.jpg,"Sold  Jan 29, 2025"
2024 Topps Chrome UEFA EURO Romania Nicolae Stanciu Gold Refractor 💎/99,"25,527.15 VND",https://www.ebay.com/itm/356446063257,https://i.ebayimg.com/images/g/itoAAOSwQmBnfeVR/s-l140.jpg,"Sold  Jan 17, 2025"
2024 Topps Chrome UEFA EURO Nicolae Stanciu Color Match Refractor /99 #150 KT01,"7,735.50 VND",https://www.ebay.com/itm/396377133799,https://i.ebayimg.com/images/g/OSsAAOSw6Jln6AZR/s-l140.jpg,"Sold  Apr 6, 2025"
Nicolae Stanciu 2024 Topps Chrome UEFA Euro Soccer 028/199 Aqua Wave [dbG74,"25,785.00 VND",https://www.ebay.com/itm/376006992652,https://i.ebayimg.com/images/g/YrMAAOSwDxpnpZ0E/s-l140.jpg,"Sold  Feb 23, 2025"
Nicolae Stanciu 2024 Topps Chrome UEFA Euro Soccer 028/199 Aqua Wave [dbG74,"38,935.35 VND",https://www.ebay.com/itm/375977709477,https://i.ebayimg.com/images/g/YrMAAOSwDxpnpZ0E/s-l140.jpg,"Sold  Feb 11, 2025"
Topps Euro 2024 Sticker - Parallel Gold Edition - Nicolae Stanciu - ROME 2!,"142,161.60 VND",https://www.ebay.com/itm/167350166687,https://i.ebayimg.com/images/g/JGIAAeSw15Fnu1VY/s-l140.jpg,"Sold  Mar 9, 2025"
Topps Euro 2024 Stickers - Parallel Gold Edition - Nicolae Stanciu - ROME 2...,"113,672.30 VND",https://www.ebay.com/itm/167303808812,https://i.ebayimg.com/images/g/uAwAAOSwZlFnP0gI/s-l140.jpg,"Sold  Feb 16, 2025"
Topps Euro 2024 Stickers - Parallel Gold Edition - Nicolae Stanciu - ROME 2...,"113,672.30 VND",https://www.ebay.com/itm/167261797471,https://i.ebayimg.com/images/g/uAwAAOSwZlFnP0gI/s-l140.jpg,"Sold  Jan 29, 2025"
Nicolae Stanciu Topps Euro 2024 Sticker - Parallel Edition Green - ROME 2 EXCELLENT,"170,650.90 VND",https://www.ebay.com/itm/167350062786,https://i.ebayimg.com/images/g/Wo4AAeSwB-lntKVt/s-l140.jpg,"Sold  Mar 9, 2025"
Nicolae Stanciu Topps Euro 2024 Sticker - Parallel Edition Green - ROME 2!!!,"135,324.17 VND",https://www.ebay.com/itm/167328649814,https://i.ebayimg.com/images/g/Wo4AAeSwB-lntKVt/s-l140.jpg,"Sold  Mar 2, 2025"
Topps Euro 2024 - Nicolae Stanciu ROME 2!!! Top,"28,489.30 VND",https://www.ebay.com/itm/167328411519,https://i.ebayimg.com/images/g/d7UAAOSwcVpnnN6F/s-l140.jpg,"Sold  Mar 1, 2025"
Topps Euro 2024 - Nicolae Stanciu ROME 2!!!,"56,693.70 VND",https://www.ebay.com/itm/167319229803,https://i.ebayimg.com/images/g/d7UAAOSwcVpnnN6F/s-l140.jpg,"Sold  Feb 19, 2025"
Topps Euros 2024 Germany Sticker. Rare Blue Parallel. Nicolae Stanciu. Rom 2.,"333,576.40 VND",https://www.ebay.com/itm/296929086241,https://i.ebayimg.com/images/g/Sg8AAOSwjLJnfUDN/s-l140.jpg,"Sold  Jan 24, 2025"
Topps Euros 2024 Germany Sticker. Rare Blue Parallel. Nicolae Stanciu. Rom 2.,"435,317.20 VND",https://www.ebay.com/itm/296927166239,https://i.ebayimg.com/images/g/maUAAOSwmRlnfAjx/s-l140.jpg,"Sold  Jan 19, 2025"
Topps UEFA Euro 2024 Sticker Swiss Edition ROM 2 Nicolae Stanciu Captain,"42,092.57 VND",https://www.ebay.com/itm/315362393725,https://i.ebayimg.com/images/g/hysAAOSwG29mQZ1f/s-l140.jpg,"Sold  Mar 2, 2025"
