Title,Price,Link,Image Link,Sold Date
Nicolo Barella 2024-25 Panini Donruss FIFA Kit Series Relic Patch Italy #KS-NB,"100,045.80 VND",https://www.ebay.com/itm/365494815783,https://i.ebayimg.com/images/g/fkgAAOSwSxpn6eS7/s-l500.jpg,"Sold  Apr 4, 2025"
Nicolo Barella 2024-25 Panini Donruss FIFA Kit Series Relic Italy,"32,231.25 VND",https://www.ebay.com/itm/396369014440,https://i.ebayimg.com/images/g/9K8AAOSwf89n5W8Z/s-l140.jpg,"Sold  Apr 3, 2025"
Nicolo Barella 2024-25 Panini Donruss FIFA Kit Series Relic Italy,"97,983.00 VND",https://www.ebay.com/itm/256819516408,https://i.ebayimg.com/images/g/jk0AAOSwQEtnri5y/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 Donruss Optic Soccer Nicolo Barella Gold Vinyl 1/1 !!!,"6,446,250.00 VND",https://www.ebay.com/itm/316593877005,https://i.ebayimg.com/images/g/OrEAAeSwxxNn7hq3/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Donruss Optic Soccer - Nicolo Barella - Gold (8/10),"515,442.15 VND",https://www.ebay.com/itm/135500552762,https://i.ebayimg.com/images/g/3noAAOSwbZZniD6D/s-l140.jpg,"Sold  Jan 17, 2025"
Nicolo Barella 2023-24 Topps Inception UEFA Star Quality Aqua 103/125 [dbK71,"109,586.25 VND",https://www.ebay.com/itm/376108457289,https://i.ebayimg.com/images/g/LaIAAOSwleBn53Kh/s-l140.jpg,"Sold  Apr 2, 2025"
Nicolo Barella 2023-24 Topps Inception UEFA Star Quality Pink 31/75 [dbI80,"155,999.25 VND",https://www.ebay.com/itm/376056515862,https://i.ebayimg.com/images/g/EbMAAOSwj9Rnzl7A/s-l140.jpg,"Sold  Mar 14, 2025"
Nicolo Barella 2023-24 Topps Inception UEFA Soccer Star Quality 003/150 [dbF99,"51,570.00 VND",https://www.ebay.com/itm/375974221997,https://i.ebayimg.com/images/g/gAkAAOSwiJhnpCX6/s-l140.jpg,"Sold  Feb 10, 2025"
2023-24 Topps Chrome UEFA Club #LC-7 Nicolo Barella London Calling Teal /199,"51,570.00 VND",https://www.ebay.com/itm/156644160555,https://i.ebayimg.com/images/g/myAAAOSw-0ZnjIPi/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Topps Chrome UEFA Nicolo Barella London Calling Yellow 125/125,"58,016.25 VND",https://www.ebay.com/itm/387886168429,https://i.ebayimg.com/images/g/KFkAAOSwsepm8ER4/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Topps Chrome UEFA Club #LC-7 Nicolo Barella London Calling,"25,785.00 VND",https://www.ebay.com/itm/196941091309,https://i.ebayimg.com/images/g/M7wAAOSwA9hmuPMN/s-l140.jpg,"Sold  Jan 14, 2025"
