Title,Price,Link,Image Link,Sold Date
♣ Panini World Cup WC Mexico 86 1986 ♣ #274 Northern Ireland coat of arms badge escudo ♣,"226,000.37 VND",https://www.ebay.com/itm/286288944418,https://i.ebayimg.com/images/g/3z0AAOSwByVnmP7Y/s-l140.jpg,"Sold  Feb 16, 2025"
♣ Panini World Cup WC Mexico 86 1986 ♣ #275 Northern Ireland ♣,"70,625.12 VND",https://www.ebay.com/itm/286364148617,https://i.ebayimg.com/images/g/BkgAAOSwuZNnvyiX/s-l140.jpg,"Sold  Mar 23, 2025"
♣ Panini World Cup WC Mexico 86 1986 ♣ 15* Northern Ireland Northern Ireland ♣,"536,750.87 VND",https://www.ebay.com/itm/286282827656,https://i.ebayimg.com/images/g/5tgAAOSwXetnlByP/s-l140.jpg,"Sold  Feb 9, 2025"
♣ Panini World Cup WC Mexico 86 1986 ♣ #275 Northern Ireland Northern Ireland ♣,"42,375.07 VND",https://www.ebay.com/itm/286282820621,https://i.ebayimg.com/images/g/o4kAAOSwR85nlBpA/s-l140.jpg,"Sold  Feb 9, 2025"
2024-25 Topps UEFA Club Competitions Ethan Nwaneri RC #158 Northern Lights,"77,355.00 VND",https://www.ebay.com/itm/267207917921,https://i.ebayimg.com/images/g/-dQAAOSwmr5n7T2j/s-l140.jpg,"Sold  Apr 7, 2025"
2024-25 Topps UEFA Club Competitions #174 Pedri Northern Lights,"129,839.80 VND",https://www.ebay.com/itm/326413099622,https://i.ebayimg.com/images/g/~RgAAOSwNSNnju8p/s-l140.jpg,"Sold  Mar 21, 2025"
"Ashley Drew & Northern hopper # 2655 @ Crossett, AR 8/14/1979","130,100.00 VND",https://www.ebay.com/itm/277004197757,https://i.ebayimg.com/images/g/xqAAAOSwl71n7ylR/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 151  @ Crossett, AR 8/13/1979","75,458.00 VND",https://www.ebay.com/itm/277004199647,https://i.ebayimg.com/images/g/fn0AAOSwWUVn7yn7/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 128  @ Crossett, AR 8/13/1979","101,478.00 VND",https://www.ebay.com/itm/277004200709,https://i.ebayimg.com/images/g/R2YAAOSwF0xn7yo3/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 118 @ Crossett, AR 8/13/1979","75,458.00 VND",https://www.ebay.com/itm/277004203071,https://i.ebayimg.com/images/g/6ZAAAOSwHB1n7yre/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 111  @ Crossett, AR 8/12/1979","117,610.40 VND",https://www.ebay.com/itm/277004204154,https://i.ebayimg.com/images/g/O7cAAOSw55xn7ytc/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 167 @ Crossett, AR 8/12/1979","75,458.00 VND",https://www.ebay.com/itm/286459925603,https://i.ebayimg.com/images/g/-IgAAOSwbHJn7ymt/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 144  @ Crossett, AR 8/12/1979","75,458.00 VND",https://www.ebay.com/itm/286459928684,https://i.ebayimg.com/images/g/NNgAAOSwbiln7yp~/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern wood chip car # 104 @ Crossett, AR 8/13/1979","208,160.00 VND",https://www.ebay.com/itm/286459931623,https://i.ebayimg.com/images/g/nS8AAOSwT3dn7ysd/s-l140.jpg,"Sold  Apr 10, 2025"
"Ashley Drew & Northern box car # 9280  @ Crossett, AR 8/13/1979","176,675.80 VND",https://www.ebay.com/itm/286459935991,https://i.ebayimg.com/images/g/Jx8AAOSwFwJn7yuR/s-l140.jpg,"Sold  Apr 10, 2025"
Cabela’s Puffer VestPremier Northern Goose Down Vest Mens Large Tall Snap Button,"962,479.80 VND",https://www.ebay.com/itm/167426853120,https://i.ebayimg.com/images/g/1xIAAeSwbF5n7yx9/s-l140.jpg,"Sold  Apr 10, 2025"
Cabelas Premier Northern Goose Down Vest Mens L Large Snap Button Puffer,"874,272.00 VND",https://www.ebay.com/itm/156778548070,https://i.ebayimg.com/images/g/OG4AAOSwfXdnWx2y/s-l500.jpg,"Sold  Mar 15, 2025"
"The Verve A Northern Soul (Vinyl) 12"" Remastered Album","1,590,842.40 VND",https://www.ebay.com/itm/305860565228,https://i.ebayimg.com/images/g/l1sAAOSwL3BnG5Ri/s-l140.jpg,"Sold  Dec 20, 2024"
"The Verve A Northern Soul (Vinyl) 12"" Remastered Album","1,471,168.64 VND",https://www.ebay.com/itm/305858711717,https://i.ebayimg.com/images/g/r94AAOSwMWBnGlJh/s-l140.jpg,"Sold  Dec 12, 2024"
"The Verve A Northern Soul (Vinyl) 12"" Remastered Album","1,645,198.80 VND",https://www.ebay.com/itm/305845555086,https://i.ebayimg.com/images/g/-DwAAOSww~VnEdSp/s-l140.jpg,"Sold  Dec 15, 2024"
Northern Exposure - Season 3 [DVD],"161,450.98 VND",https://www.ebay.com/itm/146447142163,https://i.ebayimg.com/images/g/Ks0AAeSwKkNn0v~A/s-l140.jpg,"Sold  Apr 10, 2025"
Northern Exposure: Season 3 [DVD],"168,869.80 VND",https://www.ebay.com/itm/356733152480,https://i.ebayimg.com/images/g/690AAeSwlaVn7cRh/s-l140.jpg,"Sold  Apr 8, 2025"
Northern Exposure: Season 3 [DVD],"142,849.80 VND",https://www.ebay.com/itm/187049526712,https://i.ebayimg.com/images/g/JaQAAeSwTG9n1gwU/s-l140.jpg,"Sold  Apr 1, 2025"
Northern Exposure: Season 1 [DVD],"362,979.00 VND",https://www.ebay.com/itm/267066816968,https://i.ebayimg.com/images/g/~S4AAOSwq0JnORFp/s-l140.jpg,"Sold  Mar 27, 2025"
Northern Exposure: Season 6 [DVD],"197,752.00 VND",https://www.ebay.com/itm/226641783988,https://i.ebayimg.com/images/g/DooAAeSwf0pn0L-z/s-l140.jpg,"Sold  Mar 25, 2025"
Northern Exposure: Season 3 (DVD) New,"233,919.80 VND",https://www.ebay.com/itm/116260371950,https://i.ebayimg.com/images/g/HjkAAOSw2lVmm~d5/s-l140.jpg,"Sold  Mar 17, 2025"
Northern Exposure: Season 1 (DVD),"52,040.00 VND",https://www.ebay.com/itm/387373983014,https://i.ebayimg.com/images/g/ROQAAOSw3uJmjB6q/s-l140.jpg,"Sold  Mar 13, 2025"
Northern Exposure - Season 4 [DVD],"186,469.21 VND",https://www.ebay.com/itm/146452493782,https://i.ebayimg.com/images/g/~9MAAeSwkMtn1Zvn/s-l140.jpg,"Sold  Mar 30, 2025"
Northern Exposure: Season 2 [DVD] [1991],"126,091.88 VND",https://www.ebay.com/itm/146435343425,https://i.ebayimg.com/images/g/kwgAAeSwMCRnyyJA/s-l140.jpg,"Sold  Mar 30, 2025"
Northern Exposure: Season 2 [DVD] [1991],"113,749.55 VND",https://www.ebay.com/itm/146451839522,https://i.ebayimg.com/images/g/IBYAAeSw4-Vn1Vvc/s-l140.jpg,"Sold  Mar 28, 2025"
Northern Exposure - Season 5 [DVD]-Good,"224,496.92 VND",https://www.ebay.com/itm/365426162261,https://i.ebayimg.com/images/g/BF0AAeSwkb1nv1m5/s-l140.jpg,"Sold  Mar 27, 2025"
"4 Black Leech 1/16 th oz.  jigs for Walleye, Bass & Northern Pike","207,899.80 VND",https://www.ebay.com/itm/374489344445,https://i.ebayimg.com/images/g/gPcAAOSwAMFicXg7/s-l140.jpg,"Sold  Apr 10, 2025"
"4 Hand Crafted 1/4 th oz. Leech jigs for Walleye, Bass & Northern Pike","220,909.80 VND",https://www.ebay.com/itm/374349942075,https://i.ebayimg.com/images/g/EEEAAOSwnIxifray/s-l140.jpg,"Sold  Apr 2, 2025"
"4 Hand Crafted 1/8 th oz. Leech jigs for Walleye, Bass & Northern Pike","207,899.80 VND",https://www.ebay.com/itm/374556752143,https://i.ebayimg.com/images/g/t38AAOSwm5ZkC6lb/s-l140.jpg,"Sold  Apr 2, 2025"
"4 Black Leech 1/4 th oz.  jigs for Walleye, Bass & Northern Pike","233,919.80 VND",https://www.ebay.com/itm/374822089748,https://i.ebayimg.com/images/g/gPcAAOSwAMFicXg7/s-l140.jpg,"Sold  Mar 26, 2025"
"The Northern Lights Lodge: A cosy feel good romcom to... - Caplin, Julie","123,423.27 VND",https://www.ebay.com/itm/365506857334,https://i.ebayimg.com/images/g/eZwAAeSwSBxn7947/s-l140.jpg,"Sold  Apr 10, 2025"
"The Northern Lights Lodge: A cosy feel good romcom to... - Caplin, Julie","129,761.22 VND",https://www.ebay.com/itm/156786534511,https://i.ebayimg.com/images/g/Hj4AAeSwR-Fn0MSP/s-l140.jpg,"Sold  Apr 1, 2025"
Great Northern Railway's Streamlined Empire Builder Train Montana c1940 Postcard,"116,049.20 VND",https://www.ebay.com/itm/176539566716,https://i.ebayimg.com/images/g/HpcAAOSwWgVmyJjo/s-l140.jpg,"Sold  Apr 10, 2025"
Great Northern Railway Streamlined Empire Builder Train Vintage Unused Postcard,"99,136.20 VND",https://www.ebay.com/itm/146481023079,https://i.ebayimg.com/images/g/oH0AAOSwNDFngeLA/s-l140.jpg,"Sold  Apr 10, 2025"
Northern Pacific NP double sheathed boxcar 35mm slide,"169,130.00 VND",https://www.ebay.com/itm/376137245990,https://i.ebayimg.com/images/g/dt8AAOSwupxn8YQ3/s-l140.jpg,"Sold  Apr 10, 2025"
Northern Pacific NP 50' single sheathed auto boxcar 35mm slide,"78,060.00 VND",https://www.ebay.com/itm/376137218526,https://i.ebayimg.com/images/g/~wwAAOSw6wBn8YFb/s-l140.jpg,"Sold  Apr 10, 2025"
LM198 HO 1/87 1:87 Great Northern GN 88003 Brown Hopper Car,"278,340.44 VND",https://www.ebay.com/itm/276570750046,https://i.ebayimg.com/images/g/u8MAAOSw6QNmiAkn/s-l140.jpg,"Sold  Apr 10, 2025"
LM197 HO 1/87 1:87 Great Northern GN 92189 Brown Hopper Car,"278,340.44 VND",https://www.ebay.com/itm/276570750049,https://i.ebayimg.com/images/g/KF4AAOSwkaxmiAjA/s-l140.jpg,"Sold  Apr 10, 2025"
Northern Soul Essential Floorfillers - Various Artists,"422,307.72 VND",https://www.ebay.com/itm/146435464200,https://i.ebayimg.com/images/g/4PMAAeSwsB9nyzer/s-l140.jpg,"Sold  Apr 10, 2025"
Northern Soul: The Essential Collection - Various Artists,"158,115.21 VND",https://www.ebay.com/itm/135679895963,https://i.ebayimg.com/images/g/VkIAAeSwJW9n85w9/s-l140.jpg,"Sold  Apr 7, 2025"
Cabela's Men's XL Premier Northern Goose Down Vintage Green Full Zip Hooded Coat,"1,457,120.00 VND",https://www.ebay.com/itm/276797172341,https://i.ebayimg.com/images/g/5RMAAOSwguxncco0/s-l140.jpg,"Sold  Apr 10, 2025"
Cabela's Men's 2XLT Premier Northern Goose Down Vintage Green Full Zip Hood Coat,"1,821,400.00 VND",https://www.ebay.com/itm/267193132947,https://i.ebayimg.com/images/g/4tgAAOSwyP9n2bLJ/s-l140.jpg,"Sold  Mar 29, 2025"
