Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select La Liga #227 Oihan Sancet White Sparkle,"440,665.65 VND",https://www.ebay.com/itm/226390636710,https://i.ebayimg.com/images/g/WbEAAOSwzOlnBZpA/s-l500.jpg,"Sold  Apr 4, 2025"
2023-24 Panini Select La Liga #105 Oihan Sancet Checkerboard,"1,289,250.00 VND",https://www.ebay.com/itm/167364440356,https://i.ebayimg.com/images/g/aAAAAeSwkMtnzOOr/s-l140.jpg,"Sold  Mar 8, 2025"
2022-23 Select La Liga Unstoppable #2 Oihan Sancet,"45,123.75 VND",https://www.ebay.com/itm/166983856157,https://i.ebayimg.com/images/g/MxMAAeSw9Vhn5nLD/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Select La Liga Unstoppable #16 Oihan Sancet,"51,570.00 VND",https://www.ebay.com/itm/315777568520,https://i.ebayimg.com/images/g/nMoAAeSwkZ1n0KMc/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Select La Liga Blue #227 Oihan Sancet,"64,462.50 VND",https://www.ebay.com/itm/315777568291,https://i.ebayimg.com/images/g/d9AAAeSwuyNntVD3/s-l140.jpg,"Sold  Feb 21, 2025"
2021-22 Panini Mosaic La Liga Mosaic #6 Oihan Sancet,"51,312.15 VND",https://www.ebay.com/itm/365084449776,https://i.ebayimg.com/images/g/2VcAAeSwFtZnzM-x/s-l140.jpg,"Sold  Mar 15, 2025"
2021-22 Panini Mosaic La Liga Silver Prizm Oihan Sancet #6,"102,882.15 VND",https://www.ebay.com/itm/235910313690,https://i.ebayimg.com/images/g/L7IAAOSwZupngy5d/s-l140.jpg,"Sold  Jan 12, 2025"
2021-22 Panini Mosaic La Liga Mosaic Red Prizm Oihan Sancet #6,"102,882.15 VND",https://www.ebay.com/itm/235908657351,https://i.ebayimg.com/images/g/sp4AAOSwgkBngaAe/s-l140.jpg,"Sold  Jan 12, 2025"
2022 Panini Select La Liga #8 Oihan Sancet Purple Mojo,"25,527.15 VND",https://www.ebay.com/itm/115937601839,https://i.ebayimg.com/images/g/6y4AAOSwpcxlI4Ye/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Panini Select La Liga #105 Oihan Sancet Pink Mojo /115,"102,882.15 VND",https://www.ebay.com/itm/126792836907,https://i.ebayimg.com/images/g/UMcAAOSwi65nQlyy/s-l140.jpg,"Sold  Jan 29, 2025"
2022 Bowman Chrome UEFA U21 Oihan Sancet Neon Green Refractor #165/199,"32,231.25 VND",https://www.ebay.com/itm/127017907825,https://i.ebayimg.com/images/g/BoYAAeSwcP9n5bDX/s-l140.jpg,"Sold  Apr 1, 2025"
2023-24 Panini Select La Liga Mezzanine Orange Prizm /49 Oihan Sancet ATH CLUB,"58,016.25 VND",https://www.ebay.com/itm/376093037454,https://i.ebayimg.com/images/g/VqcAAeSwMCRn4H49/s-l140.jpg,"Sold  Mar 30, 2025"
2021-22 Mosaic La Liga Oihan Sancet Black Gold Choice Prizm #1/8 PSA 9 Athletic,"1,981,835.10 VND",https://www.ebay.com/itm/376085560131,https://i.ebayimg.com/images/g/hTgAAeSwNmpn3Hgx/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 SELECT LA LIGA UNSTOPPABLE BLUE PULSAR OIHAN SANCET ATHLETIC CLUB,"193,387.50 VND",https://www.ebay.com/itm/126815029491,https://i.ebayimg.com/images/g/8RsAAOSwz8xnUe7B/s-l140.jpg,"Sold  Mar 25, 2025"
"Oihan Sancet Zebra SSP /25! 2023-24 Panini Select La Liga, Athletic Bilbao","335,205.00 VND",https://www.ebay.com/itm/396317176056,https://i.ebayimg.com/images/g/jisAAOSwL9ln038U/s-l140.jpg,"Sold  Mar 23, 2025"
2022 Select La Liga Oihan Sancet Unstoppable Pink #/25,"109,586.25 VND",https://www.ebay.com/itm/376042131084,https://i.ebayimg.com/images/g/o1EAAeSwgX9nx32i/s-l140.jpg,"Sold  Mar 9, 2025"
Oihan Sancet 2020-21 Panini Mosaic LaLiga #1 Soccer Card,"48,733.65 VND",https://www.ebay.com/itm/405558200087,https://i.ebayimg.com/images/g/OYUAAOSw5Jxki-UO/s-l140.jpg,"Sold  Mar 4, 2025"
Oihan Sancet 2021-22 Panini Mosaic La Liga Pink Prizm #6 /25,"592,797.15 VND",https://www.ebay.com/itm/335837069325,https://i.ebayimg.com/images/g/iuMAAeSw7vJnwc1W/s-l140.jpg,"Sold  Feb 28, 2025"
2023-24 SELECT LA LIGA OIHAN SANCET 46/99 FIELD LEVEL BLUE CAMO PRIZM SP,"102,882.15 VND",https://www.ebay.com/itm/135215374502,https://i.ebayimg.com/images/g/vg4AAOSwas5mzkjS/s-l140.jpg,"Sold  Feb 27, 2025"
2020-21 Donruss Rated Rookies La Liga Holo #1 Oihan Sancet,"48,733.65 VND",https://www.ebay.com/itm/296936526497,https://i.ebayimg.com/images/g/3ZEAAOSwTqVngTu2/s-l140.jpg,"Sold  Feb 26, 2025"
2023 Select La Liga Oihan Sancet Multi-Color #105 Athletic Bilbao,"92,826.00 VND",https://www.ebay.com/itm/196546411101,https://i.ebayimg.com/images/g/Fd0AAOSw6YhmstYK/s-l140.jpg,"Sold  Feb 25, 2025"
