Title,Price,Link,Image Link,Sold Date
Panini Prizm Premier League 2022 23 Autograph Auto Oliver Skipp Tottenham Spurs,"183,625.30 VND",https://www.ebay.com/itm/388043135904,https://i.ebayimg.com/images/g/WFEAAeSwWWNnu4ja/s-l140.jpg,"Sold  Mar 13, 2025"
Panini Prizm Premier League 2022 23 Autograph Auto Oliver Skipp Tottenham Spurs,"141,250.23 VND",https://www.ebay.com/itm/387988935750,https://i.ebayimg.com/images/g/WFEAAeSwWWNnu4ja/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Prizm Premier League Signatures Silver Prizm 53/99 Oliver Skipp #S-OS Auto,"154,710.00 VND",https://www.ebay.com/itm/256873124135,https://i.ebayimg.com/images/g/Po4AAeSw7UJn5b0H/s-l140.jpg,"Sold  Apr 4, 2025"
2023-24 Panini Prizm Premier League Signatures Choice Oliver Skipp #S-OS Auto,"362,279.25 VND",https://www.ebay.com/itm/235948978959,https://i.ebayimg.com/images/g/3QUAAeSwwvxnpvD9/s-l140.jpg,"Sold  Mar 26, 2025"
2023 Panini Prizm Premier League Oliver Skipp Signatures Silver Auto #46/99,"154,710.00 VND",https://www.ebay.com/itm/126895246709,https://i.ebayimg.com/images/g/Ob8AAOSwrM9nj~o9/s-l140.jpg,"Sold  Jan 26, 2025"
2023 Prizm Premier League Oliver Skipp Signatures Auto #S-OS,"134,082.00 VND",https://www.ebay.com/itm/126863414181,https://i.ebayimg.com/images/g/J9YAAOSwoXZndvne/s-l140.jpg,"Sold  Jan 7, 2025"
2022-23 Panini Revolution Premier League Autographs Oliver Skipp Tottenham,"395,218.14 VND",https://www.ebay.com/itm/405476908498,https://i.ebayimg.com/images/g/jTkAAOSwSyNnhjq3/s-l140.jpg,"Sold  Jan 14, 2025"
2023 Panini Prizm Premier League #121 Oliver Skipp Gold Prizms 05/10,"167,602.50 VND",https://www.ebay.com/itm/176956006007,https://i.ebayimg.com/images/g/hq8AAOSwWIZn5GAF/s-l140.jpg,"Sold  Mar 31, 2025"
Oliver Skipp 2021-22 Topps Merlin Chrome UEFA Soccer Aqua Speckle /199 Spurs,"51,312.15 VND",https://www.ebay.com/itm/134605132870,https://i.ebayimg.com/images/g/z~4AAOSwobJkgptA/s-l140.jpg,"Sold  Mar 4, 2025"
2021 Merlin Chrome UEFA Champions League #29 Oliver Skipp Green Refractor #/99,"77,097.15 VND",https://www.ebay.com/itm/226254569562,https://i.ebayimg.com/images/g/SksAAOSwZM5mnZzc/s-l140.jpg,"Sold  Mar 4, 2025"
2021-22 OLIVER SKIPP GOLD /10  PANINI IMPECCABLE PREMIER LEAGUE ROOKIE RC #122,"773,550.00 VND",https://www.ebay.com/itm/235794396646,https://i.ebayimg.com/images/g/S-EAAOSwKNVnFC9X/s-l140.jpg,"Sold  Feb 22, 2025"
2021 Panini Prizm Premier League 153 Oliver Skipp Silver Prizm PSA 9 Rookie,"25,527.15 VND",https://www.ebay.com/itm/226590447745,https://i.ebayimg.com/images/g/9LwAAOSwwxNnqSRB/s-l140.jpg,"Sold  Feb 16, 2025"
2022 Oliver Skipp Auto /99 Panini Silver Prizm Premier League Signatures #S-OS,"437,829.30 VND",https://www.ebay.com/itm/186939573709,https://i.ebayimg.com/images/g/uPwAAOSwaQdnlE~6/s-l140.jpg,"Sold  Feb 15, 2025"
2021-22 PANINI PRIZM PREMIER LEAGUE OLIVER SKIPP RC RED CRACKED ICE #153,"51,570.00 VND",https://www.ebay.com/itm/204109357087,https://i.ebayimg.com/images/g/ZNQAAOSwfypjOuu~/s-l140.jpg,"Sold  Jan 30, 2025"
2022 Panini Revolution Premier League Oliver Skipp Auto #A-OS,"232,065.00 VND",https://www.ebay.com/itm/235897108085,https://i.ebayimg.com/images/g/XXwAAOSwXt9ndyK3/s-l140.jpg,"Sold  Jan 13, 2025"
