Title,Price,Link,Image Link,Sold Date
2014 Panini Prizm World Cup Yellow & Red Pulsar Prizm Oribe Peralta #149,"43,576.65 VND",https://www.ebay.com/itm/335753763558,https://i.ebayimg.com/images/g/MjYAAeSwNxVnxpVH/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Panini Prizm World Cup Blue & Red Wave Prizm Oribe Peralta #149,"95,404.50 VND",https://www.ebay.com/itm/335748830575,https://i.ebayimg.com/images/g/aekAAOSwO~dncAid/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Panini Prizm World Cup Red Prizm /149 Oribe Peralta #149,"688,201.65 VND",https://www.ebay.com/itm/235937372112,https://i.ebayimg.com/images/g/wC8AAOSwHYhnnMe~/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Panini Prizm World Cup Silver Prizm Oribe Peralta #149,"43,318.80 VND",https://www.ebay.com/itm/235939805555,https://i.ebayimg.com/images/g/bmcAAeSwYv5nyx~V/s-l140.jpg,"Sold  Feb 11, 2025"
2016-17 Donruss Soccer Production Line #11 Oribe Peralta - Club America,"64,204.65 VND",https://www.ebay.com/itm/275530380607,https://i.ebayimg.com/images/g/TUQAAOSwV4hk2yQr/s-l140.jpg,"Sold  Jan 9, 2025"
2016-17 Donruss Production Line Gold #11 Oribe Peralta Club America,"51,779.80 VND",https://www.ebay.com/itm/267120361193,https://i.ebayimg.com/images/g/PtkAAOSwCHpngEXJ/s-l140.jpg,"Sold  Feb 24, 2025"
2016 Donruss Soccer Dominator #34 Oribe Peralta Club America,"38,419.65 VND",https://www.ebay.com/itm/391628276460,https://i.ebayimg.com/images/g/5e8AAOSwImRYMU-L/s-l140.jpg,"Sold  Jan 9, 2025"
2016-17 Donruss Holographic Dominators Oribe Peralta #34 Club America,"38,769.80 VND",https://www.ebay.com/itm/266929776272,https://i.ebayimg.com/images/g/N8EAAOSwAhllHtPb/s-l140.jpg,"Sold  Feb 24, 2025"
2014 Topps Chrome MLS Mexican National Team Purple Refractor Oribe Peralta,"36,428.00 VND to 43,713.60 VND",https://www.ebay.com/itm/235939522203,https://i.ebayimg.com/images/g/R-kAAOSwAV5nnsy9/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Topps Chrome MLS Mexican National Team Refractors #MEXNOP Oribe Peralta,"43,973.80 VND",https://www.ebay.com/itm/365103025595,https://i.ebayimg.com/images/g/GpAAAeSw58Jn8Trb/s-l140.jpg,"Sold  Mar 27, 2025"
2014 Topps Chrome MLS Mexican National Team X-Fractor Oribe Peralta #MEXN-OP,"33,045.40 VND to 43,713.60 VND",https://www.ebay.com/itm/256777946358,https://i.ebayimg.com/images/g/U-oAAOSwji1ngCbW/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Topps Chrome MLS Mexican National Team Refractor Oribe Peralta #MEXN-OP,"26,020.00 VND to 36,428.00 VND",https://www.ebay.com/itm/256769226631,https://i.ebayimg.com/images/g/ZSsAAOSwFJ1ndUca/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Topps Chrome MLS Mexican National Team Oribe Peralta #MEXN-OP,"28,361.80 VND",https://www.ebay.com/itm/335753459564,https://i.ebayimg.com/images/g/MEAAAOSwAaJndWxE/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Topps Chrome MLS Mexican National Team Blue Refractor /99 Oribe Peralta,"223,251.60 VND to 223,511.80 VND",https://www.ebay.com/itm/256765669449,https://i.ebayimg.com/images/g/bGsAAOSwAwZncOQN/s-l140.jpg,"Sold  Feb 11, 2025"
Oribe Peralta Hand Signed Jersey (Beckett) Mexico National Team,"1,951,500.00 VND",https://www.ebay.com/itm/205364406901,https://i.ebayimg.com/images/g/I0AAAOSw3qFnCvum/s-l140.jpg,"Sold  Mar 26, 2025"
Oribe Peralta Signed Jersey (Beckett) Mexico National Team,"3,824,940.00 VND",https://www.ebay.com/itm/286313654569,https://i.ebayimg.com/images/g/3L8AAOSwHZhmoVkI/s-l140.jpg,"Sold  Feb 15, 2025"
2021 Panini Immaculate In the Game Patch /49 Oribe Peralta #IG-OP Patch,"130,100.00 VND",https://www.ebay.com/itm/405606637027,https://i.ebayimg.com/images/g/LdAAAOSwyolnx4VX/s-l140.jpg,"Sold  Mar 9, 2025"
2021 Panini Immaculate In the Game Patch /49 Oribe Peralta #IG-OP Patch,"313,280.80 VND",https://www.ebay.com/itm/256815057037,https://i.ebayimg.com/images/g/ZAQAAeSwpCxnrR2s/s-l140.jpg,"Sold  Feb 25, 2025"
2021 Immaculate Oribe Peralta Remarkable Memorabilia Jersey Patch Sapphire 2/25,"400,092.55 VND",https://www.ebay.com/itm/126852165669,https://i.ebayimg.com/images/g/PFIAAOSwtthkoIvJ/s-l140.jpg,"Sold  Mar 5, 2025"
2021 Immaculate Oribe Peralta Remarkable Memorabilia Jersey Patch Sapphire 7/25,"560,193.61 VND",https://www.ebay.com/itm/126852313239,https://i.ebayimg.com/images/g/b7oAAOSwEE5nbYuh/s-l140.jpg,"Sold  Mar 5, 2025"
Oribe Peralta GOAL MACHINE Panini FIFA World Cup Brazil 2014 Adrenalyn xl NORDIC,"353,125.58 VND",https://www.ebay.com/itm/396338789447,https://i.ebayimg.com/images/g/gvEAAOSwJ-Fn29cb/s-l500.jpg,"Sold  Mar 31, 2025"
2014 Panini Adrenalyn XL FIFA World Cup Goal Machine Oribe Peralta Mexico,"322,312.50 VND",https://www.ebay.com/itm/256868260084,https://i.ebayimg.com/images/g/4y4AAOSwovVn0aiL/s-l500.jpg,"Sold  Mar 30, 2025"
Oribe Peralta 2018 Panini Adrenalyn WORLD CUP RUSSIA LIMITED EDITION Mexico,"127,635.75 VND",https://www.ebay.com/itm/392084954571,https://i.ebayimg.com/images/g/nH8AAOSw7IpbTpFQ/s-l140.jpg,"Sold  Mar 19, 2025"
