Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA Ousmane Dembele Equalizers Blue Pulsar Prizm France,"25,527.15 VND",https://www.ebay.com/itm/135529308168,https://i.ebayimg.com/images/g/UEMAAOSwDPxncezP/s-l500.jpg,"Sold  Feb 8, 2025"
2023-24 Panini Select FIFA Ousmane Dembele Equalizers Blue Pulsar Prizm France,"25,527.15 VND",https://www.ebay.com/itm/135529308168,https://i.ebayimg.com/images/g/UEMAAOSwDPxncezP/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 TOPPS CHROME SAPPHIRE UEFA CLUB COMPETITION GOLD OUSMANE DEMBELE /50,"257,850.00 VND",https://www.ebay.com/itm/235943511791,https://i.ebayimg.com/images/g/SUUAAOSw-4FnomIW/s-l140.jpg,"Sold  Feb 8, 2025"
2023-24 TOPPS CHROME SAPPHIRE UEFA CLUB COMPETITION BASE OUSMANE DEMBELE #14,"25,785.00 VND",https://www.ebay.com/itm/176822992979,https://i.ebayimg.com/images/g/cJgAAOSwXdJnonQh/s-l140.jpg,"Sold  Mar 15, 2025"
"2024-25 Donruss Soccer Optic Holo 107 Ousmane Dembele, France","25,785.00 VND",https://www.ebay.com/itm/296979004383,https://i.ebayimg.com/images/g/4NoAAOSwqP9nmsYe/s-l140.jpg,"Sold  Feb 6, 2025"
"2024-25 Donruss Soccer Silver Foil #107 Ousmane Dembele, France","25,527.15 VND",https://www.ebay.com/itm/235929976965,https://i.ebayimg.com/images/g/4JsAAOSwfjhnlTVC/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Panini Donruss FIFA Ousmane Dembele Red Foil /99 France,"51,570.00 VND",https://www.ebay.com/itm/226410439181,https://i.ebayimg.com/images/g/Mw4AAOSw3iFnDFwV/s-l140.jpg,"Sold  Jan 26, 2025"
2024-25 Panini Donruss FIFA Ousmane Dembele Red /99 #107 France,"77,097.15 VND",https://www.ebay.com/itm/387954579134,https://i.ebayimg.com/images/g/e3MAAOSwbLNnsjHf/s-l140.jpg,"Sold  Feb 20, 2025"
2022 Leaf Continuum Soccer Auto Ousmane Dembele numbered to /24 price per card,"141,817.50 VND",https://www.ebay.com/itm/176777022635,https://i.ebayimg.com/images/g/wr4AAOSwRb9nev9g/s-l140.jpg,"Sold  Jan 14, 2025"
2022 Leaf Continuum Soccer Auto Ousmane Dembele numbered to /24 price per card,"515,442.15 VND",https://www.ebay.com/itm/405459190244,https://i.ebayimg.com/images/g/J9kAAOSwUxlnrAsD/s-l140.jpg,"Sold  Mar 11, 2025"
2018 Panini Prizm World Cup Red and Blue Wave Prizm Ousmane Dembele #85,"257,850.00 VND",https://www.ebay.com/itm/195943215775,https://i.ebayimg.com/images/g/NzIAAOSwnHlk4W-Z/s-l140.jpg,"Sold  Apr 4, 2025"
2018 Panini Prizm World Cup Lazer Prizm Ousmane Dembele #85 France,"231,807.15 VND",https://www.ebay.com/itm/116531073821,https://i.ebayimg.com/images/g/XBAAAeSwAE9n33q1/s-l140.jpg,"Sold  Apr 2, 2025"
2018 Panini Prizm World Cup Black & Gold Wave Prizm Ousmane Dembele #85,"458,715.15 VND",https://www.ebay.com/itm/256815543418,https://i.ebayimg.com/images/g/xhUAAeSwqq1nrZk6/s-l140.jpg,"Sold  Mar 13, 2025"
2024-25 Panini Donruss Fifa - Optic Ousmane Dembele #107,"25,785.00 VND",https://www.ebay.com/itm/167398263961,https://i.ebayimg.com/images/g/lywAAeSwpstn16UN/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Panini Donruss Fifa - Optic Ousmane Dembele #107,"25,785.00 VND",https://www.ebay.com/itm/167397970462,https://i.ebayimg.com/images/g/CKcAAeSw~~dn14cm/s-l140.jpg,"Sold  Mar 30, 2025"
56732638 2018-19 Panini Prizm World Cup #85 Ousmane Dembele Base France PSA 9,"141,817.50 VND",https://www.ebay.com/itm/236015343531,https://i.ebayimg.com/images/g/3fUAAOSwguNn3ep9/s-l140.jpg,"Sold  Mar 30, 2025"
