Title,Price,Link,Image Link,Sold Date
2021-22 Panini Chronicles -- La Liga -- YOU PICK CARD - Complete Your Set,"25,527.15 VND to 101,850.75 VND",https://www.ebay.com/itm/134206382137,https://i.ebayimg.com/images/g/JeAAAOSwcQljAnEq/s-l500.jpg,"Sold  Mar 3, 2025"
2021-22 Panini Chronicles -- La Liga -- YOU PICK CARD - Complete Your Set,"25,527.15 VND to 101,850.75 VND",https://www.ebay.com/itm/134206382137,https://i.ebayimg.com/images/g/JeAAAOSwcQljAnEq/s-l500.jpg,"Sold  Mar 3, 2025"
Fifa 365 Adrenalyn XL 2025 Limited Edition Card • Willian Pacho Frankfurt Card ,"183,625.30 VND",https://www.ebay.com/itm/316525386990,https://i.ebayimg.com/images/g/gdYAAeSwl2Rn3Eyq/s-l500.jpg,"Sold  Mar 23, 2025"
Panini Cards Fifa 365 Adrenalyn 2025 • 4 Limited Edition Cards • Willian Pacho ,"381,375.62 VND",https://www.ebay.com/itm/396173605971,https://i.ebayimg.com/images/g/BB4AAOSwMUdnoiy6/s-l500.jpg,"Sold  Feb 9, 2025"
Topps Bundesliga Chrome 2023 24 Auto Autograph Auto Willian Pacho Frankfurt,"170,912.78 VND",https://www.ebay.com/itm/387790313156,https://i.ebayimg.com/images/g/kbsAAOSwcc5nctPC/s-l140.jpg,"Sold  Jan 10, 2025"
Fifa 365 Adrenalyn XL 2025 Limited Edition Card • Willian Pacho Frankfurt Card ,"155,375.25 VND",https://www.ebay.com/itm/316544449924,https://i.ebayimg.com/images/g/gdYAAeSwl2Rn3Eyq/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Topps Chrome Bundesliga WILLIAN PACHO Aqua Bubble Wave RC /275,"28,250.05 VND",https://www.ebay.com/itm/146477966280,https://i.ebayimg.com/images/g/CZIAAOSw28pn2vkj/s-l140.jpg,"Sold  Apr 1, 2025"
Fifa 365 Adrenalyn XL 2025 Limited Edition Card • Willian Pacho Frankfurt Card ,"211,875.35 VND",https://www.ebay.com/itm/316578677605,https://i.ebayimg.com/images/g/gdYAAeSwl2Rn3Eyq/s-l140.jpg,"Sold  Apr 5, 2025"
WILLIAN PACHO MIDNIGHT TOPPS 2023-24 BUNDESLIGA EINTRACHT FRANKFURT ROOKIE #97,"28,250.05 VND",https://www.ebay.com/itm/135478745476,https://i.ebayimg.com/images/g/584AAOSwhUlndpSh/s-l140.jpg,"Sold  Jan 12, 2025"
WILLIAN PACHO SUMMER SIGNINGS BUNDESLIGA TOPPS 2022-23 FRANKFURT ROOKIE /10,"183,625.30 VND",https://www.ebay.com/itm/135568491992,https://i.ebayimg.com/images/g/5mgAAOSw5ShntutY/s-l140.jpg,"Sold  Mar 2, 2025"
Panini Adrenalyn XL Fifa 365 2025 Limited Edition Card • Pacho Frankfurt Card ,"226,000.37 VND",https://www.ebay.com/itm/316268939300,https://i.ebayimg.com/images/g/Q6gAAeSw-yZnrlKI/s-l140.jpg,"Sold  Feb 16, 2025"
"2023-24 Panini Score FIFA Soccer, All Insert Cards","56,217.59 VND to 282,217.96 VND",https://www.ebay.com/itm/375477864401,https://i.ebayimg.com/images/g/KH0AAOSwGTRmZsj9/s-l140.jpg,"Sold  Apr 1, 2025"
WILLIAN PACHO CELESTIAL SYMPHONY AUTO TOPPS MIDNIGHT BUNDESLIGA 2023-24 WP PSA 9,"438,158.21 VND",https://www.ebay.com/itm/135490645623,https://i.ebayimg.com/images/g/AWEAAOSwOW1nf~is/s-l140.jpg,"Sold  Jan 19, 2025"
Fifa 365 Adrenalyn XL 2025 Limited Edition Card • Pacho Frankfurt Card ,"226,000.37 VND",https://www.ebay.com/itm/316318503056,https://i.ebayimg.com/images/g/Q6gAAeSw-yZnrlKI/s-l140.jpg,"Sold  Feb 23, 2025"
WILLIAN PACHO MIDNIGHT TOPPS 2023-24 BUNDESLIGA EINTRACH FRANKFURT CAR,"183,625.30 VND",https://www.ebay.com/itm/135486882023,https://i.ebayimg.com/images/g/ZWMAAOSwKNBnfCUK/s-l140.jpg,"Sold  Jan 19, 2025"
Panini FIFA 365 Adrenalyn XL 2025 - Limited Edition,"28,250.05 VND to 9,859,266.05 VND",https://www.ebay.com/itm/375728566290,https://i.ebayimg.com/images/g/C2sAAOSwUlpnFTim/s-l140.jpg,"Sold  Apr 5, 2025"
WILLIAN PACHO MIDNIGHT BUNDESLIGA TOPPS 2023-24 ONE NIGHT FRANKFURT RC AUTO /25,"374,313.11 VND",https://www.ebay.com/itm/135568490033,https://i.ebayimg.com/images/g/3pwAAOSwECZntgBo/s-l140.jpg,"Sold  Mar 2, 2025"
Topps Match Attax EXTRA Bundesliga 2023/2024 LIMITED EDITION Pick LE 23-32,"84,467.64 VND to 140,967.73 VND",https://www.ebay.com/itm/375295821682,https://i.ebayimg.com/images/g/JM8AAOSw111l6HM3/s-l140.jpg,"Sold  Feb 1, 2025"
THORN #380 ENERGY 2023-24 CHROME ADRENALYN XL SANDWICHES LA LIGA 23/24,"40,962.57 VND",https://www.ebay.com/itm/176332723257,https://i.ebayimg.com/images/g/WtUAAOSwS7dmGu9C/s-l140.jpg,"Sold  Mar 19, 2025"
Panini FIFA Score Soccer 2023/24 inserts Choose cards Hot rookies breakthrough,"25,785.00 VND to 77,355.00 VND",https://www.ebay.com/itm/156477027553,https://i.ebayimg.com/images/g/nosAAOSwCjBnG~Zf/s-l140.jpg,"Sold  Mar 5, 2025"
Topps Match Attax Champions League 2024/2025 Card 244 - 441 You Pick 24/25,"28,250.05 VND to 282,217.96 VND",https://www.ebay.com/itm/315730851651,https://i.ebayimg.com/images/g/zLMAAOSwnQBm1VlJ/s-l140.jpg,"Sold  Apr 6, 2025"
Topps Match Attax Champions League 24/25 Card Selection #200-396,"28,250.05 VND to 42,375.07 VND",https://www.ebay.com/itm/387688746595,https://i.ebayimg.com/images/g/22AAAOSw9O5nSOgh/s-l140.jpg,"Sold  Mar 31, 2025"
FIFA 365 2025 Panini Adrenalyn XL Limited Edition Cards,"77,355.00 VND to 386,775.00 VND",https://www.ebay.com/itm/116339606804,https://i.ebayimg.com/images/g/eR8AAOSwJ7hm9H-x/s-l140.jpg,"Sold  Apr 3, 2025"
2024 Topps UCC Summer Signings Champions League Willian Pacho,"28,250.05 VND",https://www.ebay.com/itm/316176845954,https://i.ebayimg.com/images/g/ZI8AAOSw4-Vnno2Q/s-l140.jpg,"Sold  Feb 18, 2025"
Panini Select FIFA 2023/24 Soccer Soccer Base Single Rookie Insert RC,"28,250.05 VND",https://www.ebay.com/itm/395872718271,https://i.ebayimg.com/images/g/QXsAAOSwwpxnKs9j/s-l140.jpg,"Sold  Feb 14, 2025"
Topps Match Attax Champions League 2024/2025 - Part 1: #1 - #250 Pick 24/25,"28,250.05 VND to 56,217.59 VND",https://www.ebay.com/itm/375617218684,https://i.ebayimg.com/images/g/k~kAAOSw8NxmztFh/s-l140.jpg,"Sold  Mar 17, 2025"
