Title,Price,Link,Image Link,Sold Date
2002 Panini World Cup Opening Series #60 Patrick Vieira France,"51,312.15 VND",https://www.ebay.com/itm/256850357776,https://i.ebayimg.com/images/g/Ty0AAOSwGN1nvD4z/s-l140.jpg,"Sold  Mar 16, 2025"
2002 Panini FIFA World Cup #60 Patrick Vieira France,"51,312.15 VND",https://www.ebay.com/itm/256850340310,https://i.ebayimg.com/images/g/XgQAAOSwzS5nvaO3/s-l140.jpg,"Sold  Mar 16, 2025"
Topps Bundesliga Chrome 2023 24 Auto Autograph Auto Patrick Wimmer Vfl Wob,"169,500.28 VND",https://www.ebay.com/itm/388043134739,https://i.ebayimg.com/images/g/U14AAeSw7aJnuhV~/s-l140.jpg,"Sold  Mar 13, 2025"
Topps Bundesliga Chrome 2023 24 Auto Autograph Auto Patrick Wimmer Vfl Wob,"226,282.87 VND",https://www.ebay.com/itm/387988123433,https://i.ebayimg.com/images/g/U14AAeSw7aJnuhV~/s-l140.jpg,"Sold  Mar 2, 2025"
Topps Match Attax Bundesliga 24/25 Heritage Card No. 332 Patrick Mainka,"42,092.57 VND",https://www.ebay.com/itm/335676137772,https://i.ebayimg.com/images/g/8EUAAOSwHwpnN23m/s-l140.jpg,"Sold  Mar 11, 2025"
Topps Match Attax Bundesliga 24/25 Infinity Card No. 370 Patrick Erras,"169,217.78 VND",https://www.ebay.com/itm/315962262246,https://i.ebayimg.com/images/g/bZQAAOSwdIRnN3bE/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Match Attax Bundesliga 38 - Patrick Drewes - 2024/2025,"28,250.05 VND",https://www.ebay.com/itm/305955378453,https://i.ebayimg.com/images/g/tjwAAOSwn5ZnUdFg/s-l140.jpg,"Sold  Mar 2, 2025"
Topps Match Attax Bundesliga 120 - Patrick Osterhage - 2024/2025,"28,250.05 VND",https://www.ebay.com/itm/305956086476,https://i.ebayimg.com/images/g/vNUAAOSwtYJnUkeA/s-l140.jpg,"Sold  Mar 2, 2025"
Let The Shenanigans Begin Funny Trump St Patrick's Day Unisex T-Shirt,"441,819.60 VND to 623,959.60 VND",https://www.ebay.com/itm/326447794149,https://i.ebayimg.com/images/g/xLEAAOSwARtnsraC/s-l140.jpg,"Sold  Feb 21, 2025"
Let The Shenanigans Begin Trump St Patrick's Day T-Shirt Size S-5XL,"416,059.80 VND to 624,219.80 VND",https://www.ebay.com/itm/145100377229,https://i.ebayimg.com/images/g/Aw8AAOSwytdnsDZ4/s-l140.jpg,"Sold  Feb 13, 2025"
2002-03 Topps Chrome Patrick Roy Reprints Refractors #25,"553,400.80 VND",https://www.ebay.com/itm/326305365179,https://i.ebayimg.com/images/g/rPQAAOSws29nDmu4/s-l140.jpg,"Sold  Apr 10, 2025"
2002-03 Topps Chrome #19 Patrick Roy Reprints,"155,859.80 VND",https://www.ebay.com/itm/356587425411,https://i.ebayimg.com/images/g/v30AAeSwPk1ntQ5q/s-l140.jpg,"Sold  Apr 5, 2025"
2024 Panini Donruss Threads Patrick Mahomes II #DTH-PMA Jersey Patch🔥🔥,"390,039.80 VND",https://www.ebay.com/itm/197169766589,https://i.ebayimg.com/images/g/GqMAAeSwJW9n7LEP/s-l140.jpg,"Sold  Apr 10, 2025"
2024 Panini Donruss Threads Patrick Mahomes II No. DTH-PMA  Jersey Relic Card,"390,300.00 VND",https://www.ebay.com/itm/205369504260,https://i.ebayimg.com/images/g/c2kAAeSw3Oln3fVo/s-l140.jpg,"Sold  Apr 9, 2025"
2024 Panini - Donruss Threads Patrick Mahomes II #DTH-PMA (MEM),"390,300.00 VND",https://www.ebay.com/itm/356740090628,https://i.ebayimg.com/images/g/L58AAeSwIEBn8L5W/s-l140.jpg,"Sold  Apr 9, 2025"
2024 Panini Donruss Threads Patrick Mahomes II #DTH-PMA Clothing Patch Football,"390,039.80 VND",https://www.ebay.com/itm/405704613946,https://i.ebayimg.com/images/g/IMEAAeSwWatn5wpd/s-l140.jpg,"Sold  Apr 4, 2025"
New ListingPatrick Mahomes II 2021 Panini Prizm Orange Disco #190 Kansas City Chiefs🔥🔥📈,"234,180.00 VND",https://www.ebay.com/itm/256887269685,https://i.ebayimg.com/images/g/T3sAAeSwRI5n9ddB/s-l140.jpg,"Sold  Apr 10, 2025"
Patrick Mahomes II 2021 Panini Prizm Orange Disco #190 Kansas City Chiefs,"224,552.60 VND",https://www.ebay.com/itm/297156915090,https://i.ebayimg.com/images/g/mRgAAeSwep9n0jFv/s-l140.jpg,"Sold  Apr 3, 2025"
Scotty Cameron Clover Leaf Cameron Coin Ball Marker 2025 St Patrick's Day,"4,813,700.00 VND",https://www.ebay.com/itm/297148746052,https://i.ebayimg.com/images/g/bqIAAeSw3xhn4xS1/s-l140.jpg,"Sold  Apr 10, 2025"
RARE Scotty Cameron Clover Leaf Cameron Coin 2025 St Patrick's Day BRAND NEW!,"5,854,239.80 VND",https://www.ebay.com/itm/286462231534,https://i.ebayimg.com/images/g/USoAAeSwhqBn3wfz/s-l140.jpg,"Sold  Apr 4, 2025"
RARE Scotty Cameron Clover Leaf Cameron Coin 2025 St Patrick's Day BRAND NEW!,"5,854,239.80 VND",https://www.ebay.com/itm/286429850390,https://i.ebayimg.com/images/g/USoAAeSwhqBn3wfz/s-l140.jpg,"Sold  Apr 2, 2025"
