Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select FIFA - Paulinho /30 Tie Dye - Sporting CP,"296,527.50 VND",https://www.ebay.com/itm/267188249556,https://i.ebayimg.com/images/g/U6MAAOSw~nJn05V7/s-l140.jpg,"Sold  Mar 23, 2025"
2023-24 Panini Select FIFA Paulinho #50 Silver Prizm Sporting CP ,"25,527.15 VND",https://www.ebay.com/itm/316101049718,https://i.ebayimg.com/images/g/ocwAAOSwbuFndsYQ/s-l140.jpg,"Sold  Jan 7, 2025"
2014 Panini Prizm World Cup Paulinho #110,"25,527.15 VND",https://www.ebay.com/itm/335673080009,https://i.ebayimg.com/images/g/058AAOSwHspnNTy4/s-l140.jpg,"Sold  Jan 31, 2025"
2014 Panini Prizm World Cup Red Prizm 95/149 Paulinho #110,"150,326.55 VND",https://www.ebay.com/itm/335779666096,https://i.ebayimg.com/images/g/6joAAOSwCEdnkEdZ/s-l140.jpg,"Sold  Jan 31, 2025"
Paulinho+++++Bayer 04 Leverkusen++++World Cup++++rare card++++autographed,"28,250.05 VND",https://www.ebay.com/itm/356714570384,https://i.ebayimg.com/images/g/ieMAAOSwwTVn5Z4L/s-l140.jpg,"Sold  Apr 6, 2025"
Paulinho++++Bayer 04 Leverkusen++++World Cup++++autographed++++rare card,"70,625.12 VND",https://www.ebay.com/itm/356482205834,https://i.ebayimg.com/images/g/O78AAOSwq2lnjBCM/s-l140.jpg,"Sold  Jan 25, 2025"
PAULINHO - 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2086,"65,050.00 VND",https://www.ebay.com/itm/356705925732,https://i.ebayimg.com/images/g/CnoAAOSwODFn4cHe/s-l140.jpg,"Sold  Mar 29, 2025"
PAULINHO - 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2053,"64,789.80 VND",https://www.ebay.com/itm/356651889457,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 15, 2025"
PAULINHO - 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PLAYER BREAK 2034,"64,789.80 VND",https://www.ebay.com/itm/356620741909,https://i.ebayimg.com/images/g/yzQAAOSwWsVnwkKI/s-l140.jpg,"Sold  Mar 5, 2025"
"XL Jersey Toluca FC Home,  Season 24/25 New Balance  PAULINHO # 26   Red","2,081,600.00 VND",https://www.ebay.com/itm/176703889959,https://i.ebayimg.com/images/g/tHMAAOSwqABnRhQB/s-l140.jpg,"Sold  Mar 27, 2025"
XL Jersey Toluca FC Third - Season 24/25 New Balance  PAULINHO # 26 - Blue,"2,081,600.00 VND",https://www.ebay.com/itm/176705106577,https://i.ebayimg.com/images/g/qvwAAOSw2VVnRhu2/s-l140.jpg,"Sold  Dec 15, 2024"
"XXL Jersey Toluca FC Home,  Season 24/25 New Balance  PAULINHO # 26   Red","2,081,600.00 VND",https://www.ebay.com/itm/176703890675,https://i.ebayimg.com/images/g/vmMAAOSwNQtnRhO8/s-l140.jpg,"Sold  Mar 17, 2025"
"Medium Jersey Toluca FC Home,  Season 24/25 New Balance  PAULINHO # 26   Red","2,081,600.00 VND",https://www.ebay.com/itm/176746958440,https://i.ebayimg.com/images/g/C2cAAOSwKDhnRhN0/s-l140.jpg,"Sold  Feb 22, 2025"
Paulinho Sporting CP 2023-24 Panini Immaculate 1X Case 6X Box Break #8,"64,789.80 VND",https://www.ebay.com/itm/236011473284,https://i.ebayimg.com/images/g/74wAAOSwp6dn2kMG/s-l140.jpg,"Sold  Mar 23, 2025"
