Title,Price,Link,Image Link,Sold Date
Pavel Nedved 2023 Topps Pristine Road To UEFA Euro Gold Pristine 46/50 [dbJ28,"109,586.25 VND",https://www.ebay.com/itm/376088646377,https://i.ebayimg.com/images/g/oooAAOSwx-Jn3hhp/s-l140.jpg,"Sold  Mar 26, 2025"
Pavel Nedved 2023 Topps Pristine Road To UEFA Euro Purple 65/99 [dbJ89,"154,710.00 VND",https://www.ebay.com/itm/376083601900,https://i.ebayimg.com/images/g/wfAAAOSw8ktn236y/s-l140.jpg,"Sold  Mar 24, 2025"
TOPPS CHROME UEFA EURO 2024 PAVEL NEDVED /150 BLUE REFRACTOR CHEAT CODE CZECHIA,"57,758.40 VND",https://www.ebay.com/itm/146400131841,https://i.ebayimg.com/images/g/GZgAAOSwAcFntRwK/s-l140.jpg,"Sold  Feb 23, 2025"
TOPPS CHROME UEFA EURO 2024 PAVEL NEDVED /125 YELLOW REFRACTOR CHEAT CODE,"219,172.50 VND",https://www.ebay.com/itm/146363810271,https://i.ebayimg.com/images/g/HvUAAOSw-RJnnpox/s-l140.jpg,"Sold  Feb 6, 2025"
TOPPS CHROME UEFA EURO 2024 PAVEL NEDVED /150 BLUE REFRACTOR CHEAT CODE CZECHIA,"51,312.15 VND",https://www.ebay.com/itm/146320430950,https://i.ebayimg.com/images/g/ZUYAAOSw~ldnfa~k/s-l140.jpg,"Sold  Jan 12, 2025"
2024 Topps Chrome UEFA Euro #CEA-PN Pavel Nedved Cheat Code Auto /25,"2,578,500.00 VND",https://www.ebay.com/itm/306074717273,https://i.ebayimg.com/images/g/Oi0AAOSwR3Nnm4Ji/s-l140.jpg,"Sold  Feb 1, 2025"
2023-24 Topps Chrome UEFA Euro Pavel Nedved Cheat Code Gold Refractor #/50,"25,527.15 VND",https://www.ebay.com/itm/375939996965,https://i.ebayimg.com/images/g/w4UAAOSwduJnkAJe/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 Topps Chrome UEFA Euro Pavel Nedved Cheat Code Yellow Refractor #/125,"25,527.15 VND",https://www.ebay.com/itm/126895304443,https://i.ebayimg.com/images/g/np8AAOSw43hnkALW/s-l140.jpg,"Sold  Jan 26, 2025"
2023 Topps Pristine Road To Uefa Pavel Nedved Auto,"941,410.35 VND",https://www.ebay.com/itm/387817896719,https://i.ebayimg.com/images/g/y1YAAOSwGEJnhDQP/s-l140.jpg,"Sold  Jan 19, 2025"
2023 Topps Pristine Road To Uefa Pavel Nedved Auto,"873,595.80 VND",https://www.ebay.com/itm/387817891132,https://i.ebayimg.com/images/g/sccAAOSwfepnhDLh/s-l140.jpg,"Sold  Jan 19, 2025"
2022-23 Topps Crystal Premium UEFA Pavel Nedved Purple 9/99 Czech Juventus,"51,570.00 VND",https://www.ebay.com/itm/365490425963,https://i.ebayimg.com/images/g/dzkAAOSwolln506o/s-l140.jpg,"Sold  Apr 2, 2025"
2024 Topps Chrome UEFA Euro PAVEL NEDVED 63/75 Blue Wave Refractor Cheat Code,"25,527.15 VND",https://www.ebay.com/itm/306195017018,https://i.ebayimg.com/images/g/01QAAOSwrIpn3rtb/s-l140.jpg,"Sold  Mar 30, 2025"
PAVEL NEDVED LEG 4 TOPPS UEFA EURO 2024 LEGEND RED SWISS FIGURE ED.,"27,967.55 VND",https://www.ebay.com/itm/226661657608,https://i.ebayimg.com/images/g/JEoAAOSwNIRmnXhp/s-l140.jpg,"Sold  Mar 30, 2025"
Champions League 2023/24 Card AG 7 - Pavel Nedved - Artists of the Game Limited,"208,767.84 VND",https://www.ebay.com/itm/305240153626,https://i.ebayimg.com/images/g/BgUAAOSwqaJlQRwt/s-l140.jpg,"Sold  Mar 30, 2025"
307 Pavel Nedved Czech Republic # UEFA EURO 2000 (Panini),"84,750.14 VND",https://www.ebay.com/itm/226648044643,https://i.ebayimg.com/images/g/sboAAOSwX6Fn1ZnY/s-l140.jpg,"Sold  Mar 22, 2025"
2024 Topps Chrome UEFA Euro 2024 Pavel Nedved Cheat Code Blue Wave LOT*4 SW1NG,"83,801.25 VND",https://www.ebay.com/itm/396326882137,https://i.ebayimg.com/images/g/nZ8AAOSwNHZn14Hv/s-l140.jpg,"Sold  Mar 21, 2025"
Pavel Nedved 2022-23 Topps Museum Collection UEFA Archival Auto Ruby 20/25[dbI97,"3,390,727.50 VND",https://www.ebay.com/itm/376066936033,https://i.ebayimg.com/images/g/UUIAAOSwpeNn043G/s-l140.jpg,"Sold  Mar 18, 2025"
2021-22 Topps Deco UEFA Pavel Nedved Legends Green 67/99 Juventus Czech,"83,801.25 VND",https://www.ebay.com/itm/365459406092,https://i.ebayimg.com/images/g/nT8AAOSwXCdn04mj/s-l140.jpg,"Sold  Mar 18, 2025"
Pavel Nedved 2024 Topps Chrome UEFA Euro Auto Gold /50 #CA-PN,"1,933,875.00 VND",https://www.ebay.com/itm/356602170794,https://i.ebayimg.com/images/g/T3IAAeSwtpBnu49o/s-l140.jpg,"Sold  Mar 17, 2025"
2022-23 Topps Merlin UEFA Club Competitions Ageless Alchemy Pavel Nedved #AA-6,"79,159.95 VND",https://www.ebay.com/itm/335813846026,https://i.ebayimg.com/images/g/nV8AAeSwD3xnsGuo/s-l140.jpg,"Sold  Mar 8, 2025"
2022 Topps Merlin Chrome UEFA Ageless Alchemy Auto PAVEL NEDVED /100!!,"1,108,755.00 VND",https://www.ebay.com/itm/256849916220,https://i.ebayimg.com/images/g/MQgAAOSwaR5nzaEd/s-l140.jpg,"Sold  Mar 14, 2025"
PAVEL NEDVED UEFA EURO 2000 Panini Figure EXCELLENT Sticker Mint NEW! #307,"84,467.64 VND",https://www.ebay.com/itm/146322850914,https://i.ebayimg.com/images/g/j-sAAOSwF61nf5dZ/s-l140.jpg,"Sold  Mar 13, 2025"
2023-24 Topps Pristine UEFA EURO Pavel Nedved #24,"25,527.15 VND",https://www.ebay.com/itm/204788855568,https://i.ebayimg.com/images/g/rNIAAOSwuDtmQrTC/s-l140.jpg,"Sold  Mar 9, 2025"
2006 Panini FIFA World Cup Germany Pavel Nedved #67,"73,229.40 VND to 102,882.15 VND",https://www.ebay.com/itm/256817954390,https://i.ebayimg.com/images/g/rGYAAeSwLoFn119f/s-l140.jpg,"Sold  Mar 1, 2025"
2022-23 Topps Chrome UEFA Pavel Nedved Neon Green Refractor Auto /99,"3,094,200.00 VND",https://www.ebay.com/itm/266925720608,https://i.ebayimg.com/images/g/Ul8AAOSw6Rlmpoqf/s-l140.jpg,"Sold  Feb 19, 2025"
Panini 2001/2002 UEFA Champions League Stickers No.143 Pavel Nedved Juventus,"128,667.15 VND",https://www.ebay.com/itm/134450256615,https://i.ebayimg.com/images/g/LicAAOSwgtlj6xR8/s-l140.jpg,"Sold  Feb 10, 2025"
2023 Topps Pristine Road to UEFA Euro 2024 Pavel Nedved  #24 - Purple Refractor,"25,527.15 VND",https://www.ebay.com/itm/356513395512,https://i.ebayimg.com/images/g/kQMAAOSwg7ZnhHD-/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Topps Merlin Chrome UEFA Pavel Nedved Ageless Alchemy Auto /100 SSP,"1,405,282.50 VND",https://www.ebay.com/itm/167271352652,https://i.ebayimg.com/images/g/u~YAAOSw2HNnknMC/s-l140.jpg,"Sold  Jan 30, 2025"
Pavel Nedved 2022-23 Topps Merlin UEFA Ageless Alchemy Auto #/100 SP Juventus,"1,546,842.15 VND",https://www.ebay.com/itm/326418215060,https://i.ebayimg.com/images/g/KO4AAOSwkXdnlT60/s-l140.jpg,"Sold  Jan 28, 2025"
2024 Topps Pristine UEFA Euro Pavel Nedved Encased Auto Autograph #PA-PK Czechia,"928,260.00 VND",https://www.ebay.com/itm/126893154233,https://i.ebayimg.com/images/g/FXoAAOSw-0ZnjqPr/s-l140.jpg,"Sold  Jan 25, 2025"
