Title,Price,Link,Image Link,Sold Date
2021-22 Topps Finest UEFA CL - Pedro Goncalves Gold Speckle Refractor /50,"32,231.25 VND",https://www.ebay.com/itm/306202012500,https://i.ebayimg.com/images/g/jIMAAOSwtNhn0xwl/s-l140.jpg,"Sold  Apr 1, 2025"
2021-22 Topps Finest UEFA Pedro Goncalves Gold Mini Diamond Refractor 04/50 RC,"141,817.50 VND",https://www.ebay.com/itm/365474817970,https://i.ebayimg.com/images/g/QQoAAOSwIZZn3hAJ/s-l140.jpg,"Sold  Mar 28, 2025"
2021 Topps Finest UEFA UCL Pedro Goncalves Gold Speckle RC #35/50,"193,387.50 VND",https://www.ebay.com/itm/126911492691,https://i.ebayimg.com/images/g/T64AAOSwgphnm95T/s-l140.jpg,"Sold  Feb 4, 2025"
2024-25 Topps UEFA Competition Pedro Goncalves Gold 43/50 Sporting CP Portugal,"109,586.25 VND",https://www.ebay.com/itm/365483698346,https://i.ebayimg.com/images/g/MyMAAOSwBTJn41mP/s-l140.jpg,"Sold  Mar 30, 2025"
2025 Topps UEFA Competition Pedro Goncalves Patch Gold 19/50 Portugal SCP,"128,925.00 VND",https://www.ebay.com/itm/365360754789,https://i.ebayimg.com/images/g/3RQAAOSwhx5nkvL1/s-l140.jpg,"Sold  Jan 30, 2025"
2024-25 Topps UEFA Competition Pedro Goncalves Gold 39/50 SCP Portugal,"25,785.00 VND",https://www.ebay.com/itm/365325609077,https://i.ebayimg.com/images/g/LqQAAOSwY5RnezaQ/s-l140.jpg,"Sold  Jan 6, 2025"
Pedro Goncalves 2022-23 Topps Crystal Premium UEFA Champions Auto [dbM4,"103,140.00 VND",https://www.ebay.com/itm/376096450419,https://i.ebayimg.com/images/g/HLMAAOSwHIVn4iB4/s-l140.jpg,"Sold  Mar 29, 2025"
Pedro Goncalves 2022-23 Topps Crystal Premium UEFA Auto Orange 19/25 [dbM4,"219,172.50 VND",https://www.ebay.com/itm/376096341748,https://i.ebayimg.com/images/g/yLIAAOSwVEpn4hLy/s-l140.jpg,"Sold  Mar 29, 2025"
2022-23 Topps Stadium Club Chrome UEFA Gold Pedro Goncalves Auto /50 IC39,"567,270.00 VND",https://www.ebay.com/itm/187058904966,https://i.ebayimg.com/images/g/AdcAAOSwvLRn2gCE/s-l140.jpg,"Sold  Mar 23, 2025"
2022-23 Topps Stadium Club Chrome UEFA Pedro Goncalves Auto #CA-PG Sporting Club,"58,016.25 VND",https://www.ebay.com/itm/167366223967,https://i.ebayimg.com/images/g/d~QAAOSwqMlnziZp/s-l140.jpg,"Sold  Mar 16, 2025"
2022-23 Topps Stadium Club Chrome UEFA Pedro Goncalves Auto Refractor,"109,586.25 VND",https://www.ebay.com/itm/356613697000,https://i.ebayimg.com/images/g/8-oAAOSwJtJntVKM/s-l140.jpg,"Sold  Mar 3, 2025"
2022-23 Topps Stadium Club Chrome UEFA Pedro Goncalves Blue Auto 74/75 #CA-PG,"77,097.15 VND",https://www.ebay.com/itm/267147889719,https://i.ebayimg.com/images/g/pl0AAOSwuvRnpQpV/s-l140.jpg,"Sold  Feb 16, 2025"
2022-23 Topps Stadium Club Chrome UEFA Pedro Goncalves Auto Refractor,"257,850.00 VND",https://www.ebay.com/itm/364556028518,https://i.ebayimg.com/images/g/FVAAAOSwUQllQY1r/s-l140.jpg,"Sold  Jan 7, 2025"
2021-22 Topps UEFA Champions League Pedro Goncalves #BA-PG Auto RC,"180,237.15 VND",https://www.ebay.com/itm/387899709325,https://i.ebayimg.com/images/g/s4wAAOSwTDVnpUzM/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Topps Chrome UEFA Champions League #CA-PG Pedro Goncalves Auto Rookie,"141,817.50 VND",https://www.ebay.com/itm/326415869757,https://i.ebayimg.com/images/g/7MEAAOSw8q1nkoRE/s-l140.jpg,"Sold  Feb 21, 2025"
2021-22 Topps Chrome UEFA Champions League #CA-PG Pedro Goncalves Auto Rookie,"180,237.15 VND",https://www.ebay.com/itm/386916418196,https://i.ebayimg.com/images/g/WCYAAOSwT6NmFIvS/s-l140.jpg,"Sold  Jan 8, 2025"
2021 Topps Steve Aoki Soccer Pedro Goncalves Purple /25 PSA 9 PSA/DNA 10 AUTO,"687,428.10 VND",https://www.ebay.com/itm/365452004661,https://i.ebayimg.com/images/g/UQgAAOSwzPdnzzOA/s-l140.jpg,"Sold  Mar 17, 2025"
2021 Topps Steve Aoki Soccer Pedro Goncalves AUTO Red /10 PSA 10 PSA/DNA 10 AUTO,"2,668,747.50 VND",https://www.ebay.com/itm/365452007823,https://i.ebayimg.com/images/g/2AAAAOSw9TdnzzP8/s-l140.jpg,"Sold  Mar 17, 2025"
2024-25 Topps UEFA PEDRO GONCALVES 196/299 Patch Purple Foilboard #SR-PG,"32,231.25 VND",https://www.ebay.com/itm/306155795145,https://i.ebayimg.com/images/g/ix0AAOSwrypnxmql/s-l140.jpg,"Sold  Mar 13, 2025"
2024-25 Topps UEFA PEDRO GONCALVES 195/199 Patch Neon Green Foilboard #SR-PG,"58,016.25 VND",https://www.ebay.com/itm/306155789560,https://i.ebayimg.com/images/g/mukAAOSwwkBnxmnn/s-l140.jpg,"Sold  Mar 13, 2025"
2023 Merlin UEFA Club Competitions Black Refractor /10 Pedro Goncalves Gonçalves,"606,978.90 VND",https://www.ebay.com/itm/235955605048,https://i.ebayimg.com/images/g/4msAAeSwARZnrPPH/s-l140.jpg,"Sold  Feb 12, 2025"
2023-24 Merlin UEFA Club Competitions Gold Atomic Refractor /50 Pedro Goncalves,"257,850.00 VND",https://www.ebay.com/itm/235942146610,https://i.ebayimg.com/images/g/138AAOSwx01noTlD/s-l140.jpg,"Sold  Mar 7, 2025"
2022 Merlin UEFA Club Competitions Speckle Refractor Pedro Goncalves Gonçalves,"102,882.15 VND to 117,837.45 VND",https://www.ebay.com/itm/235817123832,https://i.ebayimg.com/images/g/t6gAAOSwibRngxTV/s-l140.jpg,"Sold  Jan 10, 2025"
