Title,Price,Link,Image Link,Sold Date
2022-23 Panini Prizm Premier League Soccer Pervis Estupinan 🐅,"25,527.15 VND",https://www.ebay.com/itm/297138088300,https://i.ebayimg.com/images/g/0N8AAOSwKJlnDFyD/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Panini Prizm Premier League - Nebula Prizm #96 Pervis Estupinan,"64,204.65 VND",https://www.ebay.com/itm/335787425067,https://i.ebayimg.com/images/g/dyYAAOSwEKxnmDhH/s-l140.jpg,"Sold  Jan 27, 2025"
Pervis Estupinan 2023-24 Panini Prizm Premier League Tiger Stripe Choice SSP,"109,586.25 VND",https://www.ebay.com/itm/376064688594,https://i.ebayimg.com/images/g/x5cAAOSwzUtnwpGZ/s-l140.jpg,"Sold  Mar 17, 2025"
Pervis Estupinan 2023-24 Panini Prizm Premier League Tiger Stripe Choice SSP,"58,016.25 VND",https://www.ebay.com/itm/376032661024,https://i.ebayimg.com/images/g/x5cAAOSwzUtnwpGZ/s-l140.jpg,"Sold  Mar 5, 2025"
Pervis Estupinan - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/297063282063,https://i.ebayimg.com/images/g/G9IAAeSwqexnwUyd/s-l140.jpg,"Sold  Mar 1, 2025"
Pervis Estupinan - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226600399051,https://i.ebayimg.com/images/g/U-UAAeSwdQVnsWnM/s-l140.jpg,"Sold  Feb 18, 2025"
2022 Panini Prizm FIFA World Cup Qatar Silver Prizm #82 Pervis Estupinan,"38,419.65 VND",https://www.ebay.com/itm/225406079247,https://i.ebayimg.com/images/g/gssAAOSwXZFj4tzM/s-l140.jpg,"Sold  Feb 16, 2025"
2021-22 Mosaic FIFA World Cup Qatar Silver #75 Pervis Estupinan,"43,576.65 VND",https://www.ebay.com/itm/365084993945,https://i.ebayimg.com/images/g/VM0AAOSwKpdnghrT/s-l140.jpg,"Sold  Jan 17, 2025"
2023-24 Panini Choice Prizm PL Soccer #SPE Pervis Estupinan AUTO PSA 10,"341,651.25 VND",https://www.ebay.com/itm/376077049710,https://i.ebayimg.com/images/g/EYUAAOSwVTRn2FRQ/s-l140.jpg,"Sold  Mar 24, 2025"
PERVIS ESTUPINAN #/49 AUTO 2023-24 Panini IMMACULATE Soccer BRIGHTON,"219,172.50 VND",https://www.ebay.com/itm/205357651559,https://i.ebayimg.com/images/g/bdEAAeSwWSJn0onn/s-l140.jpg,"Sold  Mar 23, 2025"
2023 Select La Liga Pervis Estupinan Auto Silver #PS-PE Osasuna,"218,914.65 VND",https://www.ebay.com/itm/196594811015,https://i.ebayimg.com/images/g/U-YAAOSw2Qtm0peY/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini Select La Liga Pervis Estupinan #PS-PE Pitchside Signatures Auto,"96,178.05 VND",https://www.ebay.com/itm/135623186362,https://i.ebayimg.com/images/g/NJQAAOSwq6VmhXtR/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Select Premier League Pervis Estupinan Auto Purple Prizm /49 Brighton,"257,592.15 VND",https://www.ebay.com/itm/126805169526,https://i.ebayimg.com/images/g/nAwAAOSwtVJnS2QH/s-l140.jpg,"Sold  Mar 15, 2025"
PANINI SELECT LA LIGA 2023-24 PERVIS ESTUPINAN CA OSASUNA AUTOGRAPH PS-PE,"112,979.04 VND",https://www.ebay.com/itm/156765049538,https://i.ebayimg.com/images/g/UmAAAOSwO4VnyJbe/s-l140.jpg,"Sold  Mar 14, 2025"
