Title,Price,Link,Image Link,Sold Date
PHIL JONES 2019 PANINI PRIZM PREMIER LEAGUE SOCCER RED 1 /149 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276833621465,https://i.ebayimg.com/images/g/AhoAAOSwXc5nhC5U/s-l140.jpg,"Sold  Feb 3, 2025"
PHIL JONES 2019 PANINI PRIZM PREMIER LEAGUE SOCCER RED 1 /149 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814597850,https://i.ebayimg.com/images/g/AhoAAOSwXc5nhC5U/s-l140.jpg,"Sold  Jan 19, 2025"
PHIL JONES 2019 PANINI PRIZM PREMIER LEAGUE SOCCER RED /149 Q0M-297,"25,785.00 VND",https://www.ebay.com/itm/276814597622,https://i.ebayimg.com/images/g/avkAAOSw8ZtnhC33/s-l140.jpg,"Sold  Jan 19, 2025"
Phil Jones Bass Bighead Headphone Amp Black Used Tested Main unit,"3,252,500.00 VND",https://www.ebay.com/itm/405702229433,https://i.ebayimg.com/images/g/gjgAAOSwIKNn5gee/s-l140.jpg,"Sold  Mar 31, 2025"
Phil Jones Bass Bighead HA-1 Headphone Amp Silver Used Tested,"4,342,217.60 VND",https://www.ebay.com/itm/404835943534,https://i.ebayimg.com/images/g/iZQAAOSw9BJn5gcu/s-l140.jpg,"Sold  Mar 30, 2025"
Phil Jones (Manchester United) Hand Signed 2013 Panini Card Rare !,"40,029.17 VND",https://www.ebay.com/itm/256804140020,https://i.ebayimg.com/images/g/vPEAAOSwBFNnoSKp/s-l140.jpg,"Sold  Feb 13, 2025"
Phil Jones (Manchester United) Hand Signed 2016-2017 Match Attax Card Rare !,"56,707.99 VND",https://www.ebay.com/itm/256780848535,https://i.ebayimg.com/images/g/9b4AAOSwlndnUgjp/s-l140.jpg,"Sold  Jan 22, 2025"
TOPPS MATCH ATTAX 2012-13- #134-MANCHESTER UNITED-PHIL JONES,"41,697.05 VND",https://www.ebay.com/itm/176623595194,https://i.ebayimg.com/images/g/sQQAAOSwx6pYtnvF/s-l140.jpg,"Sold  Feb 2, 2025"
TOPPS MATCH ATTAX 2013-14- #186-MANCHESTER UNITED & ENGLAND-BLACKBURN-PHIL JONES,"50,036.46 VND",https://www.ebay.com/itm/176621235657,https://i.ebayimg.com/images/g/qBAAAOxygj5SgkOv/s-l140.jpg,"Sold  Feb 2, 2025"
TOPPS MATCH ATTAX EXTRA 2014-15- #185-MANCHESTER UNITED-PHIL JONES,"33,024.06 VND",https://www.ebay.com/itm/186724628528,https://i.ebayimg.com/images/g/aIEAAOSwBqVmtOSl/s-l140.jpg,"Sold  Feb 2, 2025"
2012-13 Panini Adrenalyn XL UEFA Champions League Update Edition Phil Jones,"35,841.15 VND",https://www.ebay.com/itm/335801108373,https://i.ebayimg.com/images/g/8zgAAeSwgj9npUbm/s-l140.jpg,"Sold  Mar 29, 2025"
Topps Premier League 2011 - # 88 - PHIL JONES - Blackburn Rovers “ROOKIE”,"99,355.10 VND",https://www.ebay.com/itm/134785733109,https://i.ebayimg.com/images/g/z1YAAOSwA-NlN5z8/s-l140.jpg,"Sold  Mar 20, 2025"
AC Adapter For Phil Jones Bass Double Four BG-75 Bass Combo Amplifier Power PSU,"632,546.20 VND",https://www.ebay.com/itm/156755804883,https://i.ebayimg.com/images/g/xo4AAOSwS5JnEMUB/s-l500.jpg,"Sold  Apr 9, 2025"
"Phil Jones C4 - Compact 4 Bass Cabinet 4x5"" 400 Watts - Black","13,147,913.81 VND",https://www.ebay.com/itm/326077813053,https://i.ebayimg.com/images/g/8f4AAOSwEn5lu9RX/s-l140.jpg,"Sold  Apr 6, 2025"
Phil Jones Bass X-4 Nanobass 1x4 35W Bass Combo Amp White,"5,854,500.00 VND",https://www.ebay.com/itm/405702104668,https://i.ebayimg.com/images/g/rJQAAOSw74Jnku-8/s-l140.jpg,"Sold  Apr 3, 2025"
Phil Jones Bass BG-80 Double 4 Plus 90-watt Bass Combo Amp - Black,"14,570,939.80 VND",https://www.ebay.com/itm/405152468278,https://i.ebayimg.com/images/g/GnsAAOSw5FhnHLL1/s-l140.jpg,"Sold  Apr 2, 2025"
"Asylum of The Damned (VHS, 2004) Brand NEW Sealed With Watermark - Phil Jones","247,190.00 VND",https://www.ebay.com/itm/335832561239,https://i.ebayimg.com/images/g/0FAAAeSwRCZnvoe5/s-l140.jpg,"Sold  Apr 2, 2025"
"PJB Phil Jones Bass Bass CUB II (BG-110) Bass Guitar Amp Combo, 2x5, Red","18,213,739.80 VND",https://www.ebay.com/itm/233509850619,https://i.ebayimg.com/images/g/nYAAAOSwMtRhgCEk/s-l140.jpg,"Sold  Jun 2, 2020"
"Phil Jones BG75 Double Four 2x4"" 70-Watt Mini Bass Guitar Amplifier, Red","13,342,722.42 VND",https://www.ebay.com/itm/276838857110,https://i.ebayimg.com/images/g/-Y8AAOSwUNVnnfJ5/s-l140.jpg,"Sold  Mar 28, 2025"
