Title,Price,Link,Image Link,Sold Date
119 Phil Thompson ENG # Panini UEFA Euro Italy 1980 (Panini),"70,625.12 VND",https://www.ebay.com/itm/226661133639,https://i.ebayimg.com/images/g/AFsAAOSwijpn4Azu/s-l140.jpg,"Sold  Mar 30, 2025"
119 Phil Thompson ENG # Panini UEFA Euro Italy 1980 (Panini),"56,782.59 VND",https://www.ebay.com/itm/226639325796,https://i.ebayimg.com/images/g/F28AAOSwzrhnztaw/s-l140.jpg,"Sold  Mar 17, 2025"
119 Phil Thompson ENG # Panini UEFA Euro Italy 1980 (Panini),"42,375.07 VND",https://www.ebay.com/itm/226614695534,https://i.ebayimg.com/images/g/xsAAAOSwHhpnu171/s-l140.jpg,"Sold  Mar 2, 2025"
119 Phil Thompson ENG # Panini UEFA Euro Italy 1980 (Panini),"42,375.07 VND",https://www.ebay.com/itm/226588327376,https://i.ebayimg.com/images/g/v08AAOSwtTlnp2jQ/s-l140.jpg,"Sold  Feb 15, 2025"
2022 Select Premier League Phil Thompson Pitchside Signatures Peacock Auto #PTO,"244,957.50 VND",https://www.ebay.com/itm/126976986689,https://i.ebayimg.com/images/g/9MYAAeSw-JRnyLXi/s-l140.jpg,"Sold  Mar 10, 2025"
2023 Select Premier League Phil Thompson Signatures Red Auto #SS-PT,"425,452.50 VND",https://www.ebay.com/itm/126963897402,https://i.ebayimg.com/images/g/tAMAAeSwnX1nv29S/s-l140.jpg,"Sold  Mar 3, 2025"
PHIL THOMPSON 2022 SELECT PREMIER PITCHSIDE PURPLE PRIZM AUTO /49 Q0902,"208,160.00 VND",https://www.ebay.com/itm/276824444852,https://i.ebayimg.com/images/g/KeoAAOSwj~tnfwuo/s-l140.jpg,"Sold  Jan 27, 2025"
PHIL THOMPSON 2022 SELECT PREMIER PITCHSIDE PURPLE PRIZM AUTO /49 Q0902,"339,561.00 VND",https://www.ebay.com/itm/276809843453,https://i.ebayimg.com/images/g/KeoAAOSwj~tnfwuo/s-l140.jpg,"Sold  Jan 15, 2025"
119. Phil Thompsons - Panini Europe 80,"28,489.30 VND",https://www.ebay.com/itm/235918488045,https://i.ebayimg.com/images/g/xl0AAOSwtddnipS0/s-l140.jpg,"Sold  Jan 24, 2025"
119. Phil Thompsons - Panini Europe 80,"57,263.49 VND",https://www.ebay.com/itm/235900815330,https://i.ebayimg.com/images/g/dpoAAOSwc1tneszJ/s-l140.jpg,"Sold  Jan 12, 2025"
