Title,Price,Link,Image Link,Sold Date
2018 Panini Prizm World Cup #28 Philippe Coutinho Lazer Prizm PSA 10,"412,302.15 VND",https://www.ebay.com/itm/297076495425,https://i.ebayimg.com/images/g/opoAAeSwUdBnxOSu/s-l500.jpg,"Sold  Apr 6, 2025"
2018 Panini Prizm World Cup #28 Philippe Coutinho Silver Prizm Brazil,"33,262.65 VND",https://www.ebay.com/itm/356157324297,https://i.ebayimg.com/images/g/NzQAAOSwwUpnD-PE/s-l140.jpg,"Sold  Mar 25, 2025"
2018 Panini Prizm World Cup #28 Philippe Coutinho Red/Blue Wave PSA 10,"489,657.15 VND",https://www.ebay.com/itm/297076495426,https://i.ebayimg.com/images/g/XVkAAeSwfJdnxOUZ/s-l140.jpg,"Sold  Mar 24, 2025"
Philippe Coutinho 2022-23 Panini Prizm Premier League Choice Silver Scope Auto,"399,667.50 VND",https://www.ebay.com/itm/356719929649,https://i.ebayimg.com/images/g/UrEAAOSw9sBnySzX/s-l140.jpg,"Sold  Apr 3, 2025"
Philippe Coutinho 2022-23 Panini Prizm Premier League Choice Silver Scope Auto,"451,237.50 VND",https://www.ebay.com/itm/356645640480,https://i.ebayimg.com/images/g/UrEAAOSw9sBnySzX/s-l140.jpg,"Sold  Mar 13, 2025"
2018 Prizm World Cup Connections Neymar Jr Philippe Coutinho #C-3 PSA 10 GEM MT,"593,570.70 VND",https://www.ebay.com/itm/236015247999,https://i.ebayimg.com/images/g/-FIAAeSwh35n3c3v/s-l140.jpg,"Sold  Mar 29, 2025"
2018 Panini Prizm World Cup Connections Neymar Jr Philippe Coutinho #C-3,"58,531.95 VND to 80,707.05 VND",https://www.ebay.com/itm/235989819953,https://i.ebayimg.com/images/g/1xIAAeSwfJdnx2BQ/s-l140.jpg,"Sold  Mar 18, 2025"
2022-23 Panini Revolution Premier League Philippe Coutinho Auto,"706,251.15 VND",https://www.ebay.com/itm/316534186540,https://i.ebayimg.com/images/g/8gkAAOSwmPRn3s83/s-l140.jpg,"Sold  Mar 29, 2025"
2022-23 Panini Select Premier League #15 Philippe Coutinho Pink Ice,"51,312.15 VND",https://www.ebay.com/itm/197008706481,https://i.ebayimg.com/images/g/fRAAAeSwXFJnqmjW/s-l140.jpg,"Sold  Feb 15, 2025"
2017 Topps Chrome UEFA UCL Philippe Coutinho Refractor #11,"25,527.15 VND",https://www.ebay.com/itm/375976276998,https://i.ebayimg.com/images/g/1zoAAeSwwt5npR-m/s-l140.jpg,"Sold  Feb 11, 2025"
2017 Topps Chrome UEFA UCL Philippe Coutinho Future Stars #FS-PC,"83,801.25 VND",https://www.ebay.com/itm/126924963497,https://i.ebayimg.com/images/g/bpkAAeSwrU5npR3P/s-l140.jpg,"Sold  Feb 11, 2025"
2017 Topps Chrome UEFA UCL Philippe Coutinho Future Stars #FS-PC,"47,702.25 VND",https://www.ebay.com/itm/126922958936,https://i.ebayimg.com/images/g/mokAAeSw4OFno7aA/s-l140.jpg,"Sold  Feb 10, 2025"
2017 Topps Chrome UEFA UCL Philippe Coutinho Future Stars #FS-PC,"25,527.15 VND",https://www.ebay.com/itm/375973629651,https://i.ebayimg.com/images/g/FLsAAeSwWdhno7Z4/s-l140.jpg,"Sold  Feb 10, 2025"
Topps Premier League 2014 - # 143 - PHILIPPE COUTINHO - Liverpool ,"49,511.40 VND",https://www.ebay.com/itm/134705262954,https://i.ebayimg.com/images/g/JrAAAOSwQCVi5j4Y/s-l140.jpg,"Sold  Jan 11, 2025"
