Title,Price,Link,Image Link,Sold Date
RABBI MATONDO AUTOGRAPH CARD 2024/25 HANNOVER 96 NEW 2024/2025 NEW ARRIVAL 24/25,"56,693.70 VND",https://www.ebay.com/itm/127038506999,https://i.ebayimg.com/images/g/hBcAAOSwqK9n87V6/s-l140.jpg,"Sold  Apr 7, 2025"
RABBI MATONDO AUTOGRAPH CARD 2024/25 HANNOVER 96 NEW 2024/2025 NEW ARRIVAL 24/25,"56,693.70 VND",https://www.ebay.com/itm/127038305147,https://i.ebayimg.com/images/g/hBcAAOSwqK9n87V6/s-l140.jpg,"Sold  Apr 7, 2025"
2020 Topps Chrome Bundesliga Rabbi Matondo Auto Refractor RC #BCA-RMAT,"77,355.00 VND",https://www.ebay.com/itm/376101465598,https://i.ebayimg.com/images/g/NnAAAeSwK1ln5Fsc/s-l500.jpg,"Sold  Mar 31, 2025"
2021 Panini Mosaic UEFA Euro 2020 Rabbi Matondo #199 Pink Prizm /25 Wales,"64,204.65 VND",https://www.ebay.com/itm/335799572805,https://i.ebayimg.com/images/g/yl4AAeSwlARnpBzG/s-l140.jpg,"Sold  Feb 12, 2025"
2020-21 Topps Chrome Bundesliga #BCA-RMAT Rabbi Matondo Chrome Autographs,"128,667.15 VND",https://www.ebay.com/itm/186655146618,https://i.ebayimg.com/images/g/jaQAAOSw5ZRmzNbU/s-l140.jpg,"Sold  Feb 6, 2025"
Panini Mosaic Soccer Soccer 2020 UEFA No 199 Rabbi Matondo,"28,250.05 VND",https://www.ebay.com/itm/334444459038,https://i.ebayimg.com/images/g/C-kAAOSwkmBig-0R/s-l140.jpg,"Sold  Mar 30, 2025"
Rabbi Matondo 2020-21 Topps Chrome Bundesliga Green Auto 91/99 [dbJ89,"60,594.75 VND",https://www.ebay.com/itm/376083684320,https://i.ebayimg.com/images/g/VPgAAOSwvyBn24kE/s-l140.jpg,"Sold  Mar 24, 2025"
2021 Panini Adrenalyn XL FIFA 365 Wonder Kid #262 Rabbi Matondo,"28,250.05 VND",https://www.ebay.com/itm/233707334479,https://i.ebayimg.com/images/g/iBcAAOSwy7pfV8T4/s-l140.jpg,"Sold  Feb 4, 2025"
Panini Mosaic UEFA Euro 2020 Trading Card Wales Rabbi Matondo,"28,250.05 VND",https://www.ebay.com/itm/175024675394,https://i.ebayimg.com/images/g/0j8AAOSww6Vhk2Qv/s-l140.jpg,"Sold  Feb 2, 2025"
RABBI MATONDO 2022 TOPPS CHROME SPFL FUTURE STARS BLUE TARTAN /75 Q2258,"26,020.00 VND",https://www.ebay.com/itm/276839494356,https://i.ebayimg.com/images/g/oD8AAOSwkupnnqGg/s-l140.jpg,"Sold  Feb 12, 2025"
Champions League 2022/23 Stickers 639 Rabbi Matondo Glasgow Rangers,"28,489.30 VND",https://www.ebay.com/itm/295331799688,https://i.ebayimg.com/images/g/iK0AAOSwha9jbp8w/s-l140.jpg,"Sold  Mar 30, 2025"
2020 Match Attax Extra 19/20 662 - Rabbi Matondo,"28,489.30 VND",https://www.ebay.com/itm/293564524968,https://i.ebayimg.com/images/g/F-QAAOSwGD9equx-/s-l140.jpg,"Sold  Mar 30, 2025"
Autograph - Rabbi Matondo (FC Schalke 04) - 2019/2020,"84,043.43 VND",https://www.ebay.com/itm/364997816210,https://i.ebayimg.com/images/g/WCYAAOSwGWNmi~ML/s-l140.jpg,"Sold  Feb 2, 2025"
Panini Mosaic Euro 2020 199 Rabbi Matondo Wales,"28,489.30 VND",https://www.ebay.com/itm/186697183439,https://i.ebayimg.com/images/g/i9MAAOSwHx1m8Ak2/s-l140.jpg,"Sold  Jan 31, 2025"
Match Attax EXTRA 2020 2021 20 21 - 742 Rabbi Matondo International Stars,"28,489.30 VND",https://www.ebay.com/itm/303923901770,https://i.ebayimg.com/images/g/gFcAAOSw629gUeey/s-l140.jpg,"Sold  Jan 31, 2025"
Signed Photo Rabbi Matondo Wales FC Schalke 04 NEW MEGA RARE (3),"142,161.60 VND",https://www.ebay.com/itm/123958467025,https://i.ebayimg.com/images/g/PJYAAOSwOYZduqbb/s-l140.jpg,"Sold  Jan 30, 2025"
Panini EURO 2020 Mosaic 2021 #199 RABBI MATONDO ROOKIE RC LOT X 12 Cards,"683,831.62 VND",https://www.ebay.com/itm/266806239875,https://i.ebayimg.com/images/g/wbQAAOSwVhJkgk3i/s-l140.jpg,"Sold  Jan 22, 2025"
