Title,Price,Link,Image Link,Sold Date
2023-24 TOPPS CHROME SAPPHIRE UEFA CLUB COMPETITION BASE RAFA SILVA #161,"25,785.00 VND",https://www.ebay.com/itm/176823128023,https://i.ebayimg.com/images/g/FfgAAOSwNk9noo5i/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 TOPPS CHROME SAPPHIRE UEFA CLUB COMPETITION BASE RAFA SILVA #161,"25,785.00 VND",https://www.ebay.com/itm/176823128023,https://i.ebayimg.com/images/g/FfgAAOSwNk9noo5i/s-l500.jpg,"Sold  Apr 5, 2025"
2023-24 PANINI SELECT FIFA RAFA SILVA TERRACE ZEBRA PRIZM#46#D05/25,"272,012.80 VND",https://www.ebay.com/itm/297164149185,https://i.ebayimg.com/images/g/UIcAAOSwrxxn6VEV/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 PANINI SELECT FIFA RAFA SILVA TERRACE ZEBRA PRIZM#46#D05/25,"272,012.80 VND",https://www.ebay.com/itm/297164149185,https://i.ebayimg.com/images/g/UIcAAOSwrxxn6VEV/s-l500.jpg,"Sold  Apr 3, 2025"
2020-21 Panini Obsidian UEFA Soccer Tunnel Vision RAFA SILVA Orange Etch 23/30,"313,029.90 VND",https://www.ebay.com/itm/395053005487,https://i.ebayimg.com/images/g/0doAAOSw-ktldIi4/s-l140.jpg,"Sold  Mar 28, 2025"
2020-21 Panini Obsidian UEFA Soccer Tunnel Vision RAFA SILVA Orange Etch 13/30,"25,527.15 VND",https://www.ebay.com/itm/226555098034,https://i.ebayimg.com/images/g/mAgAAOSwu4ZnDape/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 Topps Chrome UEFA Club Competitions Soccer Gold Lava Rafa Silva,"42,375.07 VND",https://www.ebay.com/itm/335890319001,https://i.ebayimg.com/images/g/-EwAAOSwBTxnpynH/s-l500.jpg,"Sold  Apr 6, 2025"
2023 Panini Select FIFA Rafa Silva White Sparkle Prizm SSP #46,"64,462.50 VND",https://www.ebay.com/itm/127002958230,https://i.ebayimg.com/images/g/z1sAAeSwep9n2xAt/s-l140.jpg,"Sold  Mar 24, 2025"
Rafa Silva 2023-24 Panini Select FIFA Soccer Terrace Zebra 05/25 [dbJ73,"58,016.25 VND",https://www.ebay.com/itm/376064568216,https://i.ebayimg.com/images/g/PHYAAOSwdnBn0lGt/s-l140.jpg,"Sold  Mar 17, 2025"
Rafa Silva Select Stars Silver Prizm FIFA 2024 Benfica ,"63,135.35 VND",https://www.ebay.com/itm/316475379605,https://i.ebayimg.com/images/g/XU0AAOSwRoNnE56V/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Topps Chrome UEFA Club Color Match #161 Rafa Silva /99,"128,925.00 VND",https://www.ebay.com/itm/365164516515,https://i.ebayimg.com/images/g/prAAAeSwbGVn1Otv/s-l140.jpg,"Sold  Mar 15, 2025"
Rafa Silva 2023-24 Pnini Select Fifa Tie Dye 35/49 [PF1,"25,785.00 VND",https://www.ebay.com/itm/376056473709,https://i.ebayimg.com/images/g/dQEAAOSwpZFnzllG/s-l140.jpg,"Sold  Mar 14, 2025"
Rafa Silva 2023-24 Topps Chrome UEFA Violet Speckle Refractor 020/299,"25,785.00 VND",https://www.ebay.com/itm/376040232817,https://i.ebayimg.com/images/g/dsIAAOSwS6JnxogV/s-l140.jpg,"Sold  Mar 8, 2025"
Rafa Silva 2023-24 Topps Chrome UEFA Violet Speckle Refractor 066/299,"25,785.00 VND",https://www.ebay.com/itm/376040158012,https://i.ebayimg.com/images/g/yE0AAOSw3b5nxn62/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Select FIFA Rafa Silva SP Purple Mojo Benfica #46,"25,785.00 VND",https://www.ebay.com/itm/405554343837,https://i.ebayimg.com/images/g/qYUAAOSwmMNnmFob/s-l140.jpg,"Sold  Feb 21, 2025"
2023-24 Panini Select FIFA Soccer ZEBRA PRIZM Rafa Silva SL BENFICA,"42,375.07 VND",https://www.ebay.com/itm/365376263784,https://i.ebayimg.com/images/g/WyMAAOSwcilnoCBF/s-l140.jpg,"Sold  Feb 10, 2025"
PANINI FIFA SELECT SOCCER 2023-24 RAFA SILVA SL BENFICA ORANGE TERRACE 49/49,"139,562.34 VND",https://www.ebay.com/itm/156646599569,https://i.ebayimg.com/images/g/~0AAAOSwpuBnjoFq/s-l140.jpg,"Sold  Feb 2, 2025"
2019-20 Topps Chrome UEFA Teammate Sensations #TSPS Rafa Silva Pizzi,"51,570.00 VND",https://www.ebay.com/itm/315709208776,https://i.ebayimg.com/images/g/Co0AAeSw45Zn6qeB/s-l140.jpg,"Sold  Jan 26, 2025"
Rafa Silva 2023-24 Topps Chrome UEFA Orange Refractor 25/25 [dbF3,"96,693.75 VND",https://www.ebay.com/itm/375930263321,https://i.ebayimg.com/images/g/uaYAAOSweTFniyuQ/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Topps Jade UEFA Champions Rafa Silva Chinese New Year 049/150 [huaF66,"25,785.00 VND",https://www.ebay.com/itm/375921374520,https://i.ebayimg.com/images/g/P5EAAOSw9uRndKgi/s-l140.jpg,"Sold  Jan 17, 2025"
2023-24 Topps Chrome UEFA Club Competitions Soccer Gold Lava Rafa Silva,"42,375.07 VND",https://www.ebay.com/itm/335890319001,https://i.ebayimg.com/images/g/-EwAAOSwBTxnpynH/s-l140.jpg,"Sold  Apr 6, 2025"
2019 - 2020 Champions League RAFA SILVA BENFICA Match Attax Sandwich Card,"28,250.05 VND",https://www.ebay.com/itm/254523854892,https://i.ebayimg.com/images/g/sdkAAOSwkhxeVpmb/s-l140.jpg,"Sold  Jan 4, 2022"
