Title,Price,Link,Image Link,Sold Date
RAFAEL VAN DER VAART TOPPS 40/49 2024 LEGENDS BUNDESLIGA HAMBURGER SV,"268,375.44 VND",https://www.ebay.com/itm/135651672888,https://i.ebayimg.com/images/g/v7cAAeSwFjJn5BAs/s-l140.jpg,"Sold  Apr 6, 2025"
RAFAEL VAN DER VAART TOPPS 81/99 2024 LEGENDS BUNDESLIGA HAMBURGER SV,"98,875.16 VND",https://www.ebay.com/itm/135651665853,https://i.ebayimg.com/images/g/1jAAAeSwA1xn5A9y/s-l140.jpg,"Sold  Apr 6, 2025"
RAFAEL VAN DER VAART TOPPS 04/66 2024 60 YEARS BUNDESLIGA HAMBURGER SV ENGLISH,"268,375.44 VND",https://www.ebay.com/itm/135651654559,https://i.ebayimg.com/images/g/DeMAAeSwGN5n5A1g/s-l140.jpg,"Sold  Apr 6, 2025"
RAFAEL VAN DER VAART TOPPS 20/60 2024 60 YEARS BUNDESLIGA HAMBURGER SV ENGLISH,"240,407.89 VND",https://www.ebay.com/itm/135651654540,https://i.ebayimg.com/images/g/It8AAeSwN~Bn5A0o/s-l140.jpg,"Sold  Apr 6, 2025"
2014 Panini Prizm World Cup Purple Prizm /99#32 Rafael Van Der Vaart Netherlands,"335,205.00 VND",https://www.ebay.com/itm/267183667085,https://i.ebayimg.com/images/g/t-MAAOSwzS5nvEip/s-l140.jpg,"Sold  Mar 16, 2025"
2014 Panini Prizm World Cup Purple Prizm /99#32 Rafael Van Der Vaart Netherlands,"260,200.00 VND",https://www.ebay.com/itm/376141393622,https://i.ebayimg.com/images/g/1sMAAeSwBytn80BS/s-l140.jpg,"Sold  Apr 8, 2025"
HORST HRUBESCH RAFAEL VAN DER VAART 60 YEARS OF BUNDESLIGA TOPPS 2023-24 /60,"127,125.21 VND",https://www.ebay.com/itm/135568489883,https://i.ebayimg.com/images/g/8wkAAOSwMBhntgK0/s-l140.jpg,"Sold  Mar 2, 2025"
HORST HRUBESCH RAFAEL VAN DER VAART 60 YEARS OF BUNDESLIGA TOPPS 2023-24 HAMBURG,"70,625.12 VND",https://www.ebay.com/itm/135568489876,https://i.ebayimg.com/images/g/DxMAAOSw99lnttkN/s-l140.jpg,"Sold  Mar 2, 2025"
RAFAEL VAN DER VAART 60 YEARS OF BUNDESLIGA TOPPS 2023-24 HAMBURG SV /60,"409,625.67 VND",https://www.ebay.com/itm/135568478782,https://i.ebayimg.com/images/g/kqUAAOSw0Ahntfnv/s-l140.jpg,"Sold  Mar 2, 2025"
Topps 60 Years Bundesliga - Auto - Hamburger SV - Rafael Van der Vaart /60 - Leg,"1,723,252.81 VND",https://www.ebay.com/itm/286325676355,https://i.ebayimg.com/images/g/FHMAAOSwGYFnrft0/s-l140.jpg,"Sold  Feb 23, 2025"
