Title,Price,Link,Image Link,Sold Date
Ramona Bachmann 2023 Donruss FIFA Women's World Cup RED PARALLEL # /299,"83,543.40 VND",https://www.ebay.com/itm/315388182032,https://i.ebayimg.com/images/g/PAMAAOSw0CNmT3Gs/s-l140.jpg,"Sold  Jan 25, 2025"
2021-22 Topps Chrome UEFA Women's Neon Green Refractors #63 Ramona Bachmann /99,"128,925.00 VND",https://www.ebay.com/itm/166934594252,https://i.ebayimg.com/images/g/yz8AAOSw-nFnkgPd/s-l140.jpg,"Sold  Jan 25, 2025"
2021-22 Topps Chrome Women’s UEFA Ramona Bachmann #63 Refractor Rookie Card,"76,065.75 VND",https://www.ebay.com/itm/195912125316,https://i.ebayimg.com/images/g/70QAAOSw-jdkxu~p/s-l140.jpg,"Sold  Jan 25, 2025"
2024 PARKSIDE PACIFIC NWSL RAMONA BACHMANN #117 HOUSTON DASH,"109,284.00 VND",https://www.ebay.com/itm/388156142111,https://i.ebayimg.com/images/g/2zIAAOSw3uxn5WgH/s-l140.jpg,"Sold  Apr 3, 2025"
RAMONA BACHMANN PINK CHROME #9/25 - 2024 Parkside NWSL Pacific,"110,585.00 VND",https://www.ebay.com/itm/205366777782,https://i.ebayimg.com/images/g/JAoAAOSwISRn3E4k/s-l140.jpg,"Sold  Mar 25, 2025"
2024 NWSL Parkside Vol 2 Ramona Bachmann Purple /10 - Houston Dash,"337,999.80 VND",https://www.ebay.com/itm/176866231401,https://i.ebayimg.com/images/g/omgAAOSwNi5nugzl/s-l140.jpg,"Sold  Mar 7, 2025"
Ramona Bachmann 2024 Houston Dash #249 Parkside Vol. 2  NWSL Card Shimmer,"77,799.80 VND",https://www.ebay.com/itm/167294835585,https://i.ebayimg.com/images/g/XAQAAOSwXYFnopjG/s-l140.jpg,"Sold  Feb 9, 2025"
/100 Shimmer - 2024 NWSL Parkside Volume 2 Ramona Bachmann 249,"116,829.80 VND",https://www.ebay.com/itm/306004970360,https://i.ebayimg.com/images/g/o64AAOSwMGhncMI1/s-l140.jpg,"Sold  Feb 5, 2025"
Ramona Bachmann #249 SHIMMER SP #'D /100 - 2024 Parkside NWSL Vol 2 Houston Dash,"25,759.80 VND",https://www.ebay.com/itm/186886455149,https://i.ebayimg.com/images/g/sNcAAOSwzptngXP9/s-l140.jpg,"Sold  Jan 17, 2025"
CHELSEA & SWITZERLAND LADIES* RAMONA BACHMANN SIGNED 6x4 ACTION PHOTO+COA,"166,454.62 VND",https://www.ebay.com/itm/293259976837,https://i.ebayimg.com/images/g/7kkAAOSw-bBdldvP/s-l140.jpg,"Sold  Apr 8, 2025"
Fußball Frauen Europameisterschaft 2017-250 RAMONA BACHMANN orig.signiert ,"42,733.95 VND",https://www.ebay.com/itm/146469786871,https://i.ebayimg.com/images/g/c1QAAeSwzm5n4DZc/s-l140.jpg,"Sold  Mar 30, 2025"
Ramona Bachmann Handsignierte Autogrammkarte Schweiz Frauen 2024/25 Houston Dash,"28,489.30 VND",https://www.ebay.com/itm/205371166934,https://i.ebayimg.com/images/g/OHYAAeSw2vVn3vvB/s-l140.jpg,"Sold  Mar 29, 2025"
TOPPS CHROME WOMENS CL 21/22 RAMONA BACHMANN PSG ROOKIE PINK PRISM  150/150,"33,024.06 VND",https://www.ebay.com/itm/156765049725,https://i.ebayimg.com/images/g/GNQAAOSwnEdnyHzo/s-l140.jpg,"Sold  Mar 16, 2025"
Women's football - picture autographs - Ramona Bachmann + Lia Wälti - Switzerland,"28,489.30 VND",https://www.ebay.com/itm/297071193497,https://i.ebayimg.com/images/g/z1oAAOSwpxpnwvVQ/s-l140.jpg,"Sold  Mar 8, 2025"
Ramona Bachmann Hand Signed Autograph Card Switzerland Women 2024/25 Houston Dash,"28,489.30 VND",https://www.ebay.com/itm/205300879595,https://i.ebayimg.com/images/g/4yoAAeSwSbRntM4e/s-l140.jpg,"Sold  Feb 25, 2025"
RAMONA BACHMANN++++VFL Wolfsburg+++++autographed++++rare card,"28,489.30 VND",https://www.ebay.com/itm/356548234763,https://i.ebayimg.com/images/g/bYsAAOSw8bpnp7GN/s-l140.jpg,"Sold  Feb 15, 2025"
Ramona Bachmann+++Switzerland+++National Team+++Autographed+++Rare Card,"95,439.15 VND",https://www.ebay.com/itm/356548186237,https://i.ebayimg.com/images/g/57QAAOSwas9np6yV/s-l140.jpg,"Sold  Feb 15, 2025"
