Title,Price,Link,Image Link,Sold Date
Raphael Varane 2022-23 Topps Inception UEFA Star Quality Auto Green 90/99 [dbI83,"721,980.00 VND",https://www.ebay.com/itm/376099236310,https://i.ebayimg.com/images/g/aXwAAOSwhI9n045H/s-l140.jpg,"Sold  Mar 30, 2025"
Raphael Varane 2022-23 Topps Inception UEFA Star Quality Auto Green 90/99 [dbI83,"683,302.50 VND",https://www.ebay.com/itm/376066940181,https://i.ebayimg.com/images/g/aXwAAOSwhI9n045H/s-l140.jpg,"Sold  Mar 18, 2025"
Raphael Varane 2022-23 Topps Inception UEFA Star Quality Auto Blue 18/49 [dbI82,"1,186,110.00 VND",https://www.ebay.com/itm/376064420260,https://i.ebayimg.com/images/g/47UAAOSw4ENn0j1D/s-l140.jpg,"Sold  Mar 17, 2025"
2020-21 Panini Mosaic UEFA Euro Will to Win #29 Raphael Varane,"43,576.65 VND",https://www.ebay.com/itm/315700289236,https://i.ebayimg.com/images/g/A-sAAeSwYOln2GJD/s-l140.jpg,"Sold  Nov 25, 2024"
2021 Panini Mosaic UEFA Euro 2020 Will to Win Silver Prizm Raphael Varane #29,"25,527.15 VND to 27,074.25 VND",https://www.ebay.com/itm/335760545493,https://i.ebayimg.com/images/g/iKQAAOSw3p5nfOII/s-l140.jpg,"Sold  Feb 11, 2025"
Raphael Varane 2023-24 Topps Finest UEFA Green Lava Refractor 72/99 [dbJ88,"25,785.00 VND",https://www.ebay.com/itm/376064671298,https://i.ebayimg.com/images/g/6lcAAOSwmSpn0mEW/s-l140.jpg,"Sold  Mar 17, 2025"
Raphael Varane 2023-24 Topps Finest UEFA Blue Refractor 090/150 [dbJ88,"25,785.00 VND",https://www.ebay.com/itm/376064547411,https://i.ebayimg.com/images/g/5HEAAOSw0yBn0k7M/s-l140.jpg,"Sold  Mar 17, 2025"
Raphael Varane 2023-24 Topps Finest UEFA Soccer Purple Refractor 223/299 [dbI8,"25,785.00 VND",https://www.ebay.com/itm/376045435365,https://i.ebayimg.com/images/g/KtIAAOSwjjJnyRf~/s-l140.jpg,"Sold  Mar 10, 2025"
2021-22 Panini Obsidian Soccer Raphael Varane AUTO 1/25 MATRIX,"386,775.00 VND",https://www.ebay.com/itm/267184140100,https://i.ebayimg.com/images/g/FLkAAeSwYv5nzoTR/s-l140.jpg,"Sold  Mar 17, 2025"
2021-22 Panini Obsidian Soccer Raphael Varane AUTO 08/25 MATRIX,"116,806.05 VND",https://www.ebay.com/itm/235949278786,https://i.ebayimg.com/images/g/ThgAAOSwsSFnpyYG/s-l140.jpg,"Sold  Feb 15, 2025"
Paul Pogba & Raphael Varane 2022 Prizm World Cup Connections France Gold /10,"1,933,875.00 VND",https://www.ebay.com/itm/135030291814,https://i.ebayimg.com/images/g/piYAAOSwRcRmJzQZ/s-l140.jpg,"Sold  Feb 24, 2025"
Paul Pogba Raphael Varane 2022 Panni Prizm World Cup Connections Silver #8,"64,462.50 VND",https://www.ebay.com/itm/186858883425,https://i.ebayimg.com/images/g/x-cAAOSwoIRnXkq9/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Panini Prizm Premier League Red Disco /49 Raphael Varane #41,"36,268.37 VND",https://www.ebay.com/itm/297021570528,https://i.ebayimg.com/images/g/8BQAAOSw-xlnpogs/s-l140.jpg,"Sold  Feb 22, 2025"
2022-23 Panini Prizm Premier League Soccer Raphael Varane,"28,250.05 VND",https://www.ebay.com/itm/396193029237,https://i.ebayimg.com/images/g/3EgAAOSwz01neRzz/s-l140.jpg,"Sold  Feb 16, 2025"
Raphael Varane Dual Patch /149 - 2020-21 Panini Chronicles Absolute Soccer /149,"122,478.75 VND",https://www.ebay.com/itm/167253372923,https://i.ebayimg.com/images/g/hPgAAOSwRXpnhwj7/s-l140.jpg,"Sold  Jan 21, 2025"
Raphael Varane Dual Patch /149 - 2020-21 Panini Chronicles Absolute Soccer /149,"309,420.00 VND",https://www.ebay.com/itm/305966866929,https://i.ebayimg.com/images/g/C4gAAOSwRF9m~17A/s-l140.jpg,"Sold  Jan 17, 2025"
2016-17 Panini Select Soccer Field Level White Raphael Varane 05/99 Real Madrid,"477,022.50 VND",https://www.ebay.com/itm/365494402415,https://i.ebayimg.com/images/g/t3IAAOSwbnRn6POG/s-l500.jpg,"Sold  Apr 4, 2025"
2023-24 Topps Chrome UEFA Chrome Autographs Blue Wave #CARV Raphael Varane Auto,"515,700.00 VND",https://www.ebay.com/itm/316592898570,https://i.ebayimg.com/images/g/la4AAeSwmERn7dxX/s-l140.jpg,"Sold  Apr 4, 2025"
2022 Panini Prizm FIFA World Cup Qatar #105 Raphael Varane Green Wave,"51,312.15 VND",https://www.ebay.com/itm/297019655866,https://i.ebayimg.com/images/g/JbMAAeSwr7BnsAlU/s-l140.jpg,"Sold  Apr 2, 2025"
2018 Panini Prizm World Cup #84 Raphael Varane Blue Prizm /199 France,"128,667.15 VND",https://www.ebay.com/itm/116531067126,https://i.ebayimg.com/images/g/EygAAeSwc5Fn33h1/s-l140.jpg,"Sold  Apr 1, 2025"
2020 Panini Topps Match Attax Champions League Card RAPHAEL VARANE,"42,092.57 VND",https://www.ebay.com/itm/254566373077,https://i.ebayimg.com/images/g/H3UAAOSwGmtekaDt/s-l140.jpg,"Sold  Dec 23, 2021"
Panini Donruss Elite Premier League 21/22 - Raphael Varane Rookie Card,"32,896.84 VND",https://www.ebay.com/itm/315676542837,https://i.ebayimg.com/images/g/h-kAAOSwzndmwTON/s-l140.jpg,"Sold  Mar 31, 2025"
2023-24 Topps Finest UEFA RAPHAEL VARANE 51/99 Green Lava Refractor Man Utd #144,"109,586.25 VND",https://www.ebay.com/itm/306195070457,https://i.ebayimg.com/images/g/F3EAAOSw4M5n3sLd/s-l140.jpg,"Sold  Mar 30, 2025"
2020-21 Panini Chronicles La Liga Raphael Varane Memoribilia /99 PLAYER WORN ,"70,908.75 VND",https://www.ebay.com/itm/396358555015,https://i.ebayimg.com/images/g/bI8AAOSwyg9nzOYx/s-l140.jpg,"Sold  Mar 30, 2025"
2021-22 Mosaic Fifa World Cup Raphael Varane Auto GOLD /10 PSA 10 France #RV,"3,322,580.66 VND",https://www.ebay.com/itm/315909202875,https://i.ebayimg.com/images/g/T6cAAOSw1xBnJAth/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Match Attax Champions League 21/22 New Signing NS 21 Raphael Varane,"56,217.59 VND",https://www.ebay.com/itm/365484883141,https://i.ebayimg.com/images/g/0akAAeSwHthn5A7O/s-l140.jpg,"Sold  Mar 29, 2025"
2019-2020 Panini Obsidian Soccer Raphael Varane Lightning Strike Auto # 56/149,"644,367.15 VND",https://www.ebay.com/itm/116457493971,https://i.ebayimg.com/images/g/u-AAAOSwFH9nlcCu/s-l140.jpg,"Sold  Mar 28, 2025"
2021/2022 Topps Champions League LE25 - Raphael Varane - Gold Limited Edition,"28,250.05 VND",https://www.ebay.com/itm/294539375261,https://i.ebayimg.com/images/g/9fwAAOSwkcNhjPgZ/s-l140.jpg,"Sold  Mar 27, 2025"
RAPHAEL VARANE FRA 10 FRANCE CHROME STICKER FIFA WORLD CUP QATAR 2022 SANDWICHES,"84,750.14 VND",https://www.ebay.com/itm/234840512524,https://i.ebayimg.com/images/g/kB8AAOSwPjVjryhx/s-l140.jpg,"Sold  Mar 27, 2025"
Raphael Varane 2023-24 Topps Merlin Heritage UEFA Auto Blue 02/25,"670,410.00 VND",https://www.ebay.com/itm/376088932533,https://i.ebayimg.com/images/g/zkUAAOSwuwpn3jqS/s-l140.jpg,"Sold  Mar 26, 2025"
RAPHAEL VARANE #133 MANCHESTER UNITED CHROME FIFA 365 ADRENALYN XL 2023 SANDWICHES,"56,500.09 VND",https://www.ebay.com/itm/334920557195,https://i.ebayimg.com/images/g/sl0AAOSwkMtkkynJ/s-l140.jpg,"Sold  Mar 26, 2025"
2022 Panini Prizm FIFA RAPHAEL VARANE Hyper Prizm Pink Prizm France Lots of 2,"25,527.15 VND",https://www.ebay.com/itm/306187628678,https://i.ebayimg.com/images/g/JiEAAOSwFupn2hil/s-l140.jpg,"Sold  Mar 25, 2025"
RAPHAEL VARANE 2023-24 Panini Prizm Premier League Blue Ice Prizm SP #d/75,"25,527.15 VND",https://www.ebay.com/itm/226641186889,https://i.ebayimg.com/images/g/AXwAAOSw7RVn0DME/s-l140.jpg,"Sold  Mar 25, 2025"
2020 Select UEFA Euro #49 Raphael Varane,"43,576.65 VND",https://www.ebay.com/itm/365087507933,https://i.ebayimg.com/images/g/QhcAAeSwJJZn4doa/s-l140.jpg,"Sold  Nov 26, 2024"
Raphael Varane 2023-24 Panini Prizm Premier League Blue Cracked Ice /75,"126,939.31 VND",https://www.ebay.com/itm/326426517792,https://i.ebayimg.com/images/g/jewAAOSwDuNnnot9/s-l140.jpg,"Sold  Mar 24, 2025"
2023-24 Topps Gold UCC Soccer Raphael Varane Current Stars Auto PSA 9,"954,045.00 VND",https://www.ebay.com/itm/267187057541,https://i.ebayimg.com/images/g/z-UAAOSwoUxn0WHP/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Topps Finest UEFA Soccer Purple /299 Lots 5 -4 Raphael Varane,"25,527.15 VND",https://www.ebay.com/itm/365456246635,https://i.ebayimg.com/images/g/pm8AAOSwYRtn0Xeh/s-l140.jpg,"Sold  Mar 18, 2025"
2022 Panini Prizm World Cup Number 8 Paul Pogba Raphael Varane Connections,"51,132.58 VND",https://www.ebay.com/itm/235898944762,https://i.ebayimg.com/images/g/IpAAAOSwHQpnULf8/s-l140.jpg,"Sold  Mar 17, 2025"
2014 Panini Prizm World Cup Raphael Varane #78,"25,527.15 VND to 31,715.55 VND",https://www.ebay.com/itm/235963957353,https://i.ebayimg.com/images/g/8KcAAeSw3sxn4QTR/s-l140.jpg,"Sold  Mar 12, 2025"
2021 Topps NOW UCL UEFA Raphael Varane #4 ~ Manchester United ~ Black #90/99,"128,925.00 VND",https://www.ebay.com/itm/334157347738,https://i.ebayimg.com/images/g/UtUAAOSweSthS4ur/s-l140.jpg,"Sold  Mar 9, 2025"
