Title,Price,Link,Image Link,Sold Date
"RAUL,  Panini UEFA Champions League 2010-11, Schalke04, Spanien","53,675.09 VND",https://www.ebay.com/itm/296882314522,https://i.ebayimg.com/images/g/09gAAOSweTdnXrX6/s-l140.jpg,"Sold  Jan 12, 2025"
"RAUL,  Panini UEFA Champions League 2010-11, Schalke04, Spanien","53,675.09 VND",https://www.ebay.com/itm/296951964442,https://i.ebayimg.com/images/g/dUcAAOSwC~VnjNl-/s-l140.jpg,"Sold  Feb 19, 2025"
RAUL ASENCIO #204 BIS REAL MADRID 2024-25 CHROME PANINI ADRENALYN LA LIGA 24/25,"56,217.59 VND",https://www.ebay.com/itm/236022498793,https://i.ebayimg.com/images/g/hUYAAOSwNEVn5HmB/s-l140.jpg,"Sold  Apr 3, 2025"
RAUL ASENCIO #505 NEW DIAMOND 2024-25 CHROME PANINI ADRENALYN XL LA LIGA 24/25,"70,342.61 VND",https://www.ebay.com/itm/335879881436,https://i.ebayimg.com/images/g/6eoAAOSwosFn4vkK/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 panini score FIFA Raul Jimenez 11/20 PINK swirl MEXICO 2024,"423,750.69 VND",https://www.ebay.com/itm/365021555720,https://i.ebayimg.com/images/g/B28AAOSwP9xmm5Ra/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 panini score FIFA Raul Jimenez 10/30 Red swirl MEXICO 2024,"226,000.37 VND",https://www.ebay.com/itm/365092569092,https://i.ebayimg.com/images/g/q0cAAOSwaPNmt0hw/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 panini score FIFA Raul Jimenez 14/15 Teal swirl MEXICO 2024,"565,000.92 VND",https://www.ebay.com/itm/365122474833,https://i.ebayimg.com/images/g/Or4AAOSwEuNm5slB/s-l140.jpg,"Sold  Feb 23, 2025"
2020-21 Panini Prizm Premier League Raul Jimenez Signatures ,"554,377.50 VND",https://www.ebay.com/itm/405685084642,https://i.ebayimg.com/images/g/By4AAeSw9ptn3uyU/s-l500.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Prizm Premier League Raul Jimenez Choice Prizm,"25,527.15 VND",https://www.ebay.com/itm/316471354069,https://i.ebayimg.com/images/g/BroAAOSwY3VnVevW/s-l140.jpg,"Sold  Mar 16, 2025"
2020 Panini Prizm Premier League Raul Jimenez Green Ice #34/49,"143,110.00 VND",https://www.ebay.com/itm/376005568656,https://i.ebayimg.com/images/g/TdYAAeSwAlxntKcI/s-l140.jpg,"Sold  Feb 23, 2025"
2021-22 Panini Prizm Premier League Raul Jimenez Signatures Silver Prizm /99,"780,600.00 VND",https://www.ebay.com/itm/226566869944,https://i.ebayimg.com/images/g/5hoAAOSwC21niJgH/s-l140.jpg,"Sold  Feb 17, 2025"
2021-22 Panini Prizm Premier League Raul Jimenez Signatures Silver Prizm /99,"780,600.00 VND",https://www.ebay.com/itm/226548017116,https://i.ebayimg.com/images/g/5hoAAOSwC21niJgH/s-l140.jpg,"Sold  Jan 26, 2025"
2020-21 Panini Prizm Premier League Raul Jimenez Auto #S-RJ KT01,"377,290.00 VND",https://www.ebay.com/itm/396358721082,https://i.ebayimg.com/images/g/WIMAAOSwFqVn4ZyO/s-l140.jpg,"Sold  Apr 2, 2025"
2021-22 Panini Prizm Premier League Soccer Raul Jimenez Signatures Auto #S-RJ,"325,250.00 VND",https://www.ebay.com/itm/365417081651,https://i.ebayimg.com/images/g/YZAAAOSw4uBnunvL/s-l140.jpg,"Sold  Mar 1, 2025"
2023-24 Panini Select Premier League Terrace Camo Prizm /175 Raul Jimenez #50,"249,598.80 VND",https://www.ebay.com/itm/256809130145,https://i.ebayimg.com/images/g/U8sAAeSwIZxnpq5c/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Select Premier League Terrace Zebra Prizm /25 Raul Jimenez #97,"451,237.50 VND",https://www.ebay.com/itm/235953282282,https://i.ebayimg.com/images/g/KEYAAeSw5npnquvK/s-l140.jpg,"Sold  Mar 20, 2025"
2022-23 Panini Select Premier League Terrace Silver Prizm Raul Jimenez #97,"20,628.00 VND",https://www.ebay.com/itm/335878913468,https://i.ebayimg.com/images/g/-SsAAeSw9tZnurPk/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Select Premier League Camo /175 - Raul Jimenez ,"104,080.00 VND",https://www.ebay.com/itm/396426612319,https://i.ebayimg.com/images/g/kZ8AAeSw30Bn9fjj/s-l140.jpg,"Sold  Apr 9, 2025"
2023 Panini Select Premier League Terrace White Ice Prizm /85 Raul Jimenez #50,"73,636.60 VND",https://www.ebay.com/itm/335780415925,https://i.ebayimg.com/images/g/X~YAAOSwIiVnkSCE/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Panini Prizm Premier League #163 Raul Jimenez Red Mosaic,"77,097.15 VND",https://www.ebay.com/itm/387033705618,https://i.ebayimg.com/images/g/jk8AAOSw7lFmUyBC/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 Panini Prizm Premier League #163 Raul Jimenez Breakaway Pink 68/149,"106,492.05 VND",https://www.ebay.com/itm/235998163294,https://i.ebayimg.com/images/g/~AcAAOSw-aZnzxWt/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Panini Prizm Premier League - Raul Jimenez #163 Mojo Prizm,260.20 VND,https://www.ebay.com/itm/256847676995,https://i.ebayimg.com/images/g/t~sAAeSwZilny490/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Panini Prizm Premier League - Raul Jimenez #163 Silver Prizm DISCO,257.85 VND,https://www.ebay.com/itm/256852118420,https://i.ebayimg.com/images/g/978AAeSwc3tny5CF/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Panini Prizm Premier League - Raul Jimenez #163 Blue Prizm /299,260.20 VND,https://www.ebay.com/itm/256847698628,https://i.ebayimg.com/images/g/QloAAeSwab5ny5AN/s-l140.jpg,"Sold  Mar 10, 2025"
TOPPS LIVING SET UCC UEFA 2025 #781 RAUL ASENCIO RC REAL MADRID PREORDER,"225,717.87 VND",https://www.ebay.com/itm/116538497326,https://i.ebayimg.com/images/g/A3sAAeSwA9dn5rBU/s-l140.jpg,"Sold  Apr 4, 2025"
TOPPS LIVING SET UCC UEFA 2025 #781 RAUL ASENCIO RC REAL MADRID PREORDER,"227,629.49 VND",https://www.ebay.com/itm/116552885762,https://i.ebayimg.com/images/g/A3sAAeSwA9dn5rBU/s-l140.jpg,"Sold  Apr 8, 2025"
2020-21 Panini Revolution Premier League No. 196 Raul Jimenez Cubic 6/25,"282,217.96 VND",https://www.ebay.com/itm/235634959708,https://i.ebayimg.com/images/g/i6AAAOSwPexmg-a-/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Panini Revolution Premier League Raul Jimenez #263,"64,789.80 VND",https://www.ebay.com/itm/266187306926,https://i.ebayimg.com/images/g/PP0AAOSwHpVkHho7/s-l140.jpg,"Sold  Apr 7, 2025"
2021-22 Panini Prizm English Premier League Red White and Blue #59 Raul Jimenez,"51,312.15 VND",https://www.ebay.com/itm/365366917311,https://i.ebayimg.com/images/g/DSIAAOSwZbJmBLeA/s-l140.jpg,"Sold  Mar 27, 2025"
2020-21 Panini Prizm English Premier League Scorers Club #10 Raul Jimenez,"23,418.00 VND",https://www.ebay.com/itm/135480285710,https://i.ebayimg.com/images/g/K20AAOSw3jZnUzJQ/s-l140.jpg,"Sold  Jan 13, 2025"
2021-22 Panini Mosaic Premier League Raul Jimenez Mosaic Purple /49,"128,925.00 VND",https://www.ebay.com/itm/285983001794,https://i.ebayimg.com/images/g/O~QAAOSwbY1mpoJq/s-l140.jpg,"Sold  Mar 24, 2025"
2021-22 Panini Mosaic Premier League Raul Jimenez #57 Pink Fluorescent /10,"897,690.00 VND",https://www.ebay.com/itm/316188456586,https://i.ebayimg.com/images/g/HFYAAOSw0ChnpDYP/s-l140.jpg,"Sold  Feb 21, 2025"
2021-22 Panini Mosaic Premier League Raul Jimenez Silver Prizm Parallel #57,"25,759.80 VND",https://www.ebay.com/itm/356447340073,https://i.ebayimg.com/images/g/k40AAOSw0NNnNI6j/s-l140.jpg,"Sold  Jan 14, 2025"
2021-22 PANINI PRIZM PREMIER LEAGUE RAUL JIMENEZ SIGNATURE AUTO AUTOGRAPH 321,"696,195.00 VND",https://www.ebay.com/itm/236011559012,https://i.ebayimg.com/images/g/38oAAOSw4WRl~PAb/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 PANINI PRIZM PREMIER LEAGUE RAUL JIMENEZ SIGNATURE AUTO AUTOGRAPH,"110,585.00 VND",https://www.ebay.com/itm/388063060523,https://i.ebayimg.com/images/g/58IAAOSwHTlnz4k-/s-l140.jpg,"Sold  Mar 15, 2025"
2021-22 Raul Jimenez Panini National Treasures World Cup Gold Mexico Card 8/10,"842,395.95 VND",https://www.ebay.com/itm/135627922598,https://i.ebayimg.com/images/g/E0wAAOSwIsJkfo6X/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Raul Jimenez Panini National Treasures World Cup Gold Jersey Patch 4/10,"1,092,579.80 VND",https://www.ebay.com/itm/135633862783,https://i.ebayimg.com/images/g/rVMAAOSwWJlk3sTt/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Raul Jimenez Panini National Treasures World Cup Gold Mexico Card 7/10,"832,379.80 VND",https://www.ebay.com/itm/135523673463,https://i.ebayimg.com/images/g/RXgAAOSw~2JjkSxT/s-l140.jpg,"Sold  Feb 7, 2025"
2021-22 Raul Jimenez Panini National Treasures World Cup Gold Jersey Patch 4/10,"1,092,579.80 VND",https://www.ebay.com/itm/135528572369,https://i.ebayimg.com/images/g/nUYAAOSweIBkfo-K/s-l140.jpg,"Sold  Feb 4, 2025"
2021-22 Panini Donruss Soccer Road to Qatar Green Velocity Raul Jimenez #87,"77,355.00 VND",https://www.ebay.com/itm/376064019940,https://i.ebayimg.com/images/g/XbYAAOSwsy1jepkg/s-l140.jpg,"Sold  Mar 21, 2025"
2021-22 Panini Donruss Road to Qatar Holo Green Laser Raul Jimenez #87,"193,328.60 VND",https://www.ebay.com/itm/235972712611,https://i.ebayimg.com/images/g/HD4AAeSwgWBnurDw/s-l140.jpg,"Sold  Mar 26, 2025"
2021-22 Panini Donruss Road to Qatar Optic Green Velocity Prizm Raul Jimenez #87,"36,167.80 VND to 73,896.80 VND",https://www.ebay.com/itm/235960986794,https://i.ebayimg.com/images/g/mO8AAeSwOBhn20kp/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Panini Donruss Road to Qatar Optic Green Velocity Prizm Raul Jimenez #87,"51,519.60 VND to 59,065.40 VND",https://www.ebay.com/itm/335681270544,https://i.ebayimg.com/images/g/TskAAeSwlIlnmmvW/s-l140.jpg,"Sold  Feb 4, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"184,362.75 VND to 199,060.20 VND",https://www.ebay.com/itm/335796790722,https://i.ebayimg.com/images/g/bGMAAeSwe3tnx42q/s-l140.jpg,"Sold  Apr 3, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"83,801.25 VND",https://www.ebay.com/itm/335846894172,https://i.ebayimg.com/images/g/d4IAAeSwqIVnyOSu/s-l140.jpg,"Sold  Mar 15, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"316,124.10 VND",https://www.ebay.com/itm/235988265521,https://i.ebayimg.com/images/g/hiYAAeSwrbdnxlII/s-l140.jpg,"Sold  Mar 12, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"71,555.00 VND",https://www.ebay.com/itm/256831525507,https://i.ebayimg.com/images/g/~I4AAeSwBsZnvSM~/s-l140.jpg,"Sold  Mar 6, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"97,575.00 VND",https://www.ebay.com/itm/256825938030,https://i.ebayimg.com/images/g/W6YAAeSwlW5nt8E8/s-l140.jpg,"Sold  Feb 28, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"84,565.00 VND",https://www.ebay.com/itm/235957470416,https://i.ebayimg.com/images/g/x08AAeSwKwdnrpDL/s-l140.jpg,"Sold  Feb 23, 2025"
1994-95 Mundicromo Las Fichas de la Liga Ultima Hora Raul #72 Rookie RC,"84,565.00 VND",https://www.ebay.com/itm/235934129349,https://i.ebayimg.com/images/g/Zy4AAOSwQPlnmXgm/s-l140.jpg,"Sold  Feb 7, 2025"
2020 Panini Prizm Premier League Raul Jimenez Color Blast SSP #30 PSA 10,"9,927,225.00 VND",https://www.ebay.com/itm/376098681279,https://i.ebayimg.com/images/g/f7wAAeSwtEhn4xRy/s-l140.jpg,"Sold  Mar 30, 2025"
