Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Raul Jimenez Auto #S-RJ KT01,"373,882.50 VND",https://www.ebay.com/itm/396358721082,https://i.ebayimg.com/images/g/WIMAAOSwFqVn4ZyO/s-l140.jpg,"Sold  Apr 2, 2025"
2020-21 Panini Prizm Premier League Raul Jimenez Signatures ,"554,377.50 VND",https://www.ebay.com/itm/405685084642,https://i.ebayimg.com/images/g/By4AAeSw9ptn3uyU/s-l140.jpg,"Sold  Mar 29, 2025"
2021-22 Panini Prizm Premier League Soccer Raul Jimenez Signatures Auto #S-RJ,"322,312.50 VND",https://www.ebay.com/itm/365417081651,https://i.ebayimg.com/images/g/YZAAAOSw4uBnunvL/s-l140.jpg,"Sold  Mar 1, 2025"
2020-21 Panini Prizm Premier League Signatures Raul Jimenez #S-RJ Auto,"399,667.50 VND",https://www.ebay.com/itm/167271292867,https://i.ebayimg.com/images/g/86IAAOSw74JnkxB5/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Panini Prizm Premier League Raul Jimenez Gold Prizm /10,"1,031,142.15 VND",https://www.ebay.com/itm/316086289607,https://i.ebayimg.com/images/g/jokAAOSwnaVncMuh/s-l140.jpg,"Sold  Jan 5, 2025"
2023-24 Raul Jimenez 08/25 Panini Prizm Premier League Purple Disco,"309,162.15 VND",https://www.ebay.com/itm/156846491451,https://i.ebayimg.com/images/g/fXQAAOSwmZdn61Bv/s-l140.jpg,"Sold  Apr 2, 2025"
2021-22 Raul Jimenez 03/49 Panini Prizm Premier League Purple Ice Cracked,"231,807.15 VND",https://www.ebay.com/itm/156052316787,https://i.ebayimg.com/images/g/RMEAAOSwomdlwt3D/s-l140.jpg,"Sold  Feb 21, 2025"
2020 Panini Prizm Premier League Raul Jimenez Color Blast SSP #30 PSA 10,"9,927,225.00 VND",https://www.ebay.com/itm/376098681279,https://i.ebayimg.com/images/g/f7wAAeSwtEhn4xRy/s-l140.jpg,"Sold  Mar 30, 2025"
2020-21 Panini Prizm Premier League Raul Jimenez Color Blast PSA 9 SSP,"4,422,127.50 VND",https://www.ebay.com/itm/387919635618,https://i.ebayimg.com/images/g/hmcAAOSwpRZnqit9/s-l140.jpg,"Sold  Feb 15, 2025"
2022-23 Panini Select Premier League Terrace Silver Prizm Raul Jimenez #97,"20,628.00 VND",https://www.ebay.com/itm/335878913468,https://i.ebayimg.com/images/g/-SsAAeSw9tZnurPk/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Select Premier League Terrace Camo Prizm /175 Raul Jimenez #50,"249,598.80 VND",https://www.ebay.com/itm/256809130145,https://i.ebayimg.com/images/g/U8sAAeSwIZxnpq5c/s-l140.jpg,"Sold  Mar 26, 2025"
2022-23 Panini Select Premier League Terrace Zebra Prizm /25 Raul Jimenez #97,"451,237.50 VND",https://www.ebay.com/itm/235953282282,https://i.ebayimg.com/images/g/KEYAAeSw5npnquvK/s-l140.jpg,"Sold  Mar 20, 2025"
2023 Panini Select Premier League Terrace White Ice Prizm /85 Raul Jimenez #50,"72,971.55 VND",https://www.ebay.com/itm/335780415925,https://i.ebayimg.com/images/g/X~YAAOSwIiVnkSCE/s-l140.jpg,"Sold  Jan 24, 2025"
2021-22 Panini Prizm English Premier League Red White and Blue #59 Raul Jimenez,"51,312.15 VND",https://www.ebay.com/itm/365366917311,https://i.ebayimg.com/images/g/DSIAAOSwZbJmBLeA/s-l140.jpg,"Sold  Mar 27, 2025"
2020-21 Panini Prizm English Premier League Scorers Club #10 Raul Jimenez,"23,206.50 VND",https://www.ebay.com/itm/135480285710,https://i.ebayimg.com/images/g/K20AAOSw3jZnUzJQ/s-l140.jpg,"Sold  Jan 13, 2025"
"2023-24 Panini Prizm Premier League Raul Jimenez Blue Mosaic Prizm, Fulham #163","32,231.25 VND",https://www.ebay.com/itm/256863525085,https://i.ebayimg.com/images/g/GlUAAeSwpQtn2u76/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Panini Prizm Premier League Raul Jimenez Choice Prizm,"25,527.15 VND",https://www.ebay.com/itm/316471354069,https://i.ebayimg.com/images/g/BroAAOSwY3VnVevW/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Panini Prizm Premier League - Raul Jimenez #163 Blue Prizm /299,257.85 VND,https://www.ebay.com/itm/256847698628,https://i.ebayimg.com/images/g/QloAAeSwab5ny5AN/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Panini Prizm Premier League - Raul Jimenez #163 Mojo Prizm,257.85 VND,https://www.ebay.com/itm/256847676995,https://i.ebayimg.com/images/g/t~sAAeSwZilny490/s-l140.jpg,"Sold  Mar 10, 2025"
