Title,Price,Link,Image Link,Sold Date
2022-23 RAY PARLOUR 31/99 AUTO PANINI IMPECCABLE PREMIER LEAGUE AUTOGRAPHS,"773,292.15 VND",https://www.ebay.com/itm/155893106073,https://i.ebayimg.com/images/g/ducAAOSwVk5lVXDV/s-l140.jpg,"Sold  Mar 19, 2025"
2022-23 RAY PARLOUR 03/99 AUTO PANINI IMPECCABLE STARS PREMIER LEAGUE AUTOGRAPHS,"695,937.15 VND",https://www.ebay.com/itm/156535930511,https://i.ebayimg.com/images/g/RLEAAOSwrq9nPonk/s-l140.jpg,"Sold  Mar 18, 2025"
2022 Prizm Premier League Ray Parlour Signatures Prizm Breakaway Auto #S-RP,"296,527.50 VND",https://www.ebay.com/itm/126975159100,https://i.ebayimg.com/images/g/NscAAeSwZr1nx33D/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Panini Prizm Premier League Ray Parlour Signatures Auto #S-RP,"141,817.50 VND",https://www.ebay.com/itm/126885154126,https://i.ebayimg.com/images/g/5gsAAOSwzkVniECm/s-l140.jpg,"Sold  Jan 20, 2025"
2022 Prizm Premier League Ray Parlour Signatures Prizms Blue Shimmer Auto #S-RP,"296,527.50 VND",https://www.ebay.com/itm/126859671789,https://i.ebayimg.com/images/g/3scAAOSwr~1ndF1v/s-l140.jpg,"Sold  Jan 5, 2025"
2024 Topps Arsenal Invincibles Soccer Ray Parlour 2003-04 Autograph 03/10,"850,905.00 VND",https://www.ebay.com/itm/316086323849,https://i.ebayimg.com/images/g/grgAAOSw991ncMs0/s-l140.jpg,"Sold  Jan 9, 2025"
2024 Topps Arsenal Invincibles Soccer Ray Parlour 2003-04 Autograph 12/49,"625,801.95 VND",https://www.ebay.com/itm/316086323905,https://i.ebayimg.com/images/g/ut4AAOSwf6pncMti/s-l140.jpg,"Sold  Jan 9, 2025"
2023 Topps Pristine UEFA EURO Pristine Auto Ray Parlour SP 23/99 PA-RP! England,"103,140.00 VND",https://www.ebay.com/itm/388162455370,https://i.ebayimg.com/images/g/8oUAAOSw55dn5vq6/s-l500.jpg,"Sold  Apr 4, 2025"
Ray Parlour 2022-23 Panini Impeccable Premier League Impeccable Stars Auto 72/99,"317,155.50 VND",https://www.ebay.com/itm/376108260091,https://i.ebayimg.com/images/g/wHwAAOSwEfNn52FM/s-l140.jpg,"Sold  Apr 2, 2025"
Ray Parlour 2022-23 Panini Chronicles Premier League Origins Auto /64 Arsenal,"498,939.75 VND",https://www.ebay.com/itm/256867686951,https://i.ebayimg.com/images/g/ifYAAOSwepFn37Fh/s-l140.jpg,"Sold  Mar 30, 2025"
PANINI IMPECCABLE PREMIER LEAGUE 2022-23 RAY PARLOUR /99 AUTO ARSENAL,"360,536.06 VND",https://www.ebay.com/itm/365476608967,https://i.ebayimg.com/images/g/epQAAOSwyTpmWe6w/s-l140.jpg,"Sold  Mar 29, 2025"
2022-23 Panini Prizm Premier League Signatures Breakaway Ray Parlour #S-RP Auto,"270,742.50 VND",https://www.ebay.com/itm/335867047776,https://i.ebayimg.com/images/g/7asAAeSwLoFn2LOf/s-l140.jpg,"Sold  Mar 26, 2025"
86 Ray Parlour England # UEFA EURO 2000 (Panini),"293,800.48 VND",https://www.ebay.com/itm/226647923495,https://i.ebayimg.com/images/g/jfgAAOSwtzhn1X-x/s-l140.jpg,"Sold  Mar 22, 2025"
2023-24 Topps Pristine UEFA Ray Parlour Auto England Encased PA-RP,"122,736.60 VND",https://www.ebay.com/itm/326486671734,https://i.ebayimg.com/images/g/IJsAAeSwzWtn1JsR/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini immaculate Soccer Arsenal Ray Parlour Marks Of Greatness Auto /25,"1,366,605.00 VND",https://www.ebay.com/itm/167362405385,https://i.ebayimg.com/images/g/JMgAAeSwUzNny5iq/s-l140.jpg,"Sold  Mar 12, 2025"
2022-23 Panini PL Soccer Red Stars Prizm Ray Parlour Arsenal AUTO,"339,588.45 VND",https://www.ebay.com/itm/365429184982,https://i.ebayimg.com/images/g/cpEAAOSw0tZnwNK0/s-l140.jpg,"Sold  Mar 6, 2025"
