Title,Price,Link,Image Link,Sold Date
2020 Panini L5 ADRENALYN XL Ligue 1-21 RC Diamond Card #416 Rayan Cherki,"282,217.96 VND",https://www.ebay.com/itm/255117625514,https://i.ebayimg.com/images/g/GLUAAOSwfo5hL5T7/s-l140.jpg,"Sold  Jan 9, 2023"
Topps Match Attax Champions League 2024-25 Sz18 Squad Zone Rayan Cherki,"28,250.05 VND",https://www.ebay.com/itm/235911340200,https://i.ebayimg.com/images/g/cWsAAOSwr65nCTGa/s-l140.jpg,"Sold  Jan 17, 2025"
2019 Topps Now UEFA Champions League Rayan Cherki ROOKIE RC #77 PSA 9 MINT Lyon,"335,462.85 VND",https://www.ebay.com/itm/356676204755,https://i.ebayimg.com/images/g/dSoAAeSwrAln1z8I/s-l140.jpg,"Sold  Mar 23, 2025"
2019 Topps Now UEFA Champions League Rayan Cherki ROOKIE RC #77 PSA 9 MINT Lyon,"362,279.25 VND",https://www.ebay.com/itm/356676207163,https://i.ebayimg.com/images/g/I6gAAeSwBhFn1z-g/s-l140.jpg,"Sold  Mar 23, 2025"
2019 Topps Now UEFA Champions League Rayan Cherki ROOKIE RC #77 PSA 9 MINT Lyon,"336,494.25 VND",https://www.ebay.com/itm/356676208912,https://i.ebayimg.com/images/g/epYAAeSwsvJn1z~b/s-l140.jpg,"Sold  Mar 23, 2025"
2019-20 Topps NOW Rayan CHERKI #77 Champions League RC ROOKIE. Lyon.,"25,527.15 VND",https://www.ebay.com/itm/326489494941,https://i.ebayimg.com/images/g/icEAAOSw6mhnx3ai/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 Merlin Chrome UEFA Renaissance Case Hit #R-9 Rayan Cherki RC,"1,031,142.15 VND",https://www.ebay.com/itm/226637299790,https://i.ebayimg.com/images/g/f9EAAeSwNSVnzTXM/s-l140.jpg,"Sold  Mar 14, 2025"
2019-20 Topps NOW Rayan CHERKI #77 Champions League RC ROOKIE. Lyon.,"25,527.15 VND",https://www.ebay.com/itm/326471957285,https://i.ebayimg.com/images/g/icEAAOSw6mhnx3ai/s-l140.jpg,"Sold  Mar 11, 2025"
2021-22 Merlin Chrome UEFA Champions League #59 Rayan Cherki Refractor,"25,785.00 VND",https://www.ebay.com/itm/355376919959,https://i.ebayimg.com/images/g/abUAAOSwByllo12K/s-l140.jpg,"Sold  Mar 2, 2025"
2019 Topps Now UEFA Champions League #77 Rayan Cherki RC Gem Mint PSA 10,"528,592.50 VND",https://www.ebay.com/itm/335821131284,https://i.ebayimg.com/images/g/EXYAAOSwIpVntku8/s-l140.jpg,"Sold  Feb 26, 2025"
2019 Topps Now UEFA Champions League #77 Rayan Cherki RC Gem Mint PSA 10,"528,592.50 VND",https://www.ebay.com/itm/376008713339,https://i.ebayimg.com/images/g/hwQAAOSwuppntkwX/s-l140.jpg,"Sold  Feb 26, 2025"
RAYAN CHERKI 2021 Topps Merlin Chrome UEFA U23-5 U23 Stars Gold /50 CSG 9,"451,237.50 VND",https://www.ebay.com/itm/395310169310,https://i.ebayimg.com/images/g/tHkAAOSw1BpmBknt/s-l140.jpg,"Sold  Feb 26, 2025"
Rayan Cherki 2019 Rookie PSA 10 - Topps Now UEFA Champions League Rookie #77 RC,"1,295,936.05 VND",https://www.ebay.com/itm/316244764330,https://i.ebayimg.com/images/g/i9UAAOSwCm9nq2oe/s-l140.jpg,"Sold  Feb 18, 2025"
Rayan Cherki 2019 Rookie PSA 10 - Topps Now UEFA Champions League Rookie #77 RC,"863,957.37 VND",https://www.ebay.com/itm/316176138525,https://i.ebayimg.com/images/g/IvYAAOSwRphnnhyN/s-l140.jpg,"Sold  Feb 8, 2025"
2021-22 Topps Merlin Rayan Cherki U23  Stars Gold Refractor /50 UEFA Lyon,"773,292.15 VND",https://www.ebay.com/itm/405457298461,https://i.ebayimg.com/images/g/dTUAAOSweJ9neYwx/s-l140.jpg,"Sold  Jan 26, 2025"
2021-22 Topps Merlin Chrome UEFA RAYAN CHERKI RC Renaissance SSP #R-9,"362,502.39 VND",https://www.ebay.com/itm/405485294770,https://i.ebayimg.com/images/g/re4AAOSwolFnfdkj/s-l140.jpg,"Sold  Jan 22, 2025"
RAYAN CHERKI 2019 Topps Now #77 UEFA Champions League RC Rookie PSA 10 R1,"322,312.50 VND",https://www.ebay.com/itm/167255347861,https://i.ebayimg.com/images/g/j7YAAOSwDQlniFb9/s-l140.jpg,"Sold  Jan 20, 2025"
2021-22 Topps Merlin Chrome UEFA Rayan Cherki Aqua Refractor #184/199 #59,"25,527.15 VND",https://www.ebay.com/itm/126875143797,https://i.ebayimg.com/images/g/OPQAAOSwCHpngEKM/s-l140.jpg,"Sold  Jan 14, 2025"
Topps Now Champions League 2019/20 # 77 Rayan Cherki RC Rookie - Lyon,"332,291.30 VND",https://www.ebay.com/itm/297116419141,https://i.ebayimg.com/images/g/ftwAAOSwHbNmxy7K/s-l140.jpg,"Sold  Apr 2, 2025"
