Title,Price,Link,Image Link,Sold Date
2023-24 Panini Impeccable Premier League Richarlison Stainless Stars 19/22,"32,231.25 VND",https://www.ebay.com/itm/375998673386,https://i.ebayimg.com/images/g/Vk0AAOSw1hFnsPq9/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League Richarlison Stainless Stars 18/22,"83,801.25 VND",https://www.ebay.com/itm/375998673396,https://i.ebayimg.com/images/g/JEsAAOSwce5nsPp9/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League Richarlison Stainless Stars 2/22,"309,420.00 VND",https://www.ebay.com/itm/375998673399,https://i.ebayimg.com/images/g/KD4AAOSw-ihnsPo1/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League Richarlison #71 999 Fine Silver Bar /37,"1,561,200.00 VND",https://www.ebay.com/itm/365412754324,https://i.ebayimg.com/images/g/eNoAAOSwBaxnt~Fm/s-l140.jpg,"Sold  Feb 27, 2025"
2022-23 Panini Impeccable Premier League Richarlison #69 Silver Bar Hotspur /36,"1,057,185.00 VND",https://www.ebay.com/itm/365497656249,https://i.ebayimg.com/images/g/YmUAAOSwPNhn61zf/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Impeccable Premier League Richarlison #71 Silver Bar Hotspur /37,"1,237,680.00 VND",https://www.ebay.com/itm/365492669712,https://i.ebayimg.com/images/g/Am8AAOSwA5Jn6Lq9/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Impeccable Premier League Richarlison #71 Silver Bar Hotspur /37,"1,998,337.50 VND",https://www.ebay.com/itm/365485979304,https://i.ebayimg.com/images/g/6OsAAOSwTSFn5Mn-/s-l140.jpg,"Sold  Apr 2, 2025"
2022-23 Panini Impeccable Premier League Richarlison #69 Silver Bar Hotspur /36,"1,026,243.00 VND",https://www.ebay.com/itm/365477304919,https://i.ebayimg.com/images/g/rWgAAOSw5fhn34Ew/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 Panini Impeccable Premier League Soccer Richarlison #71 Silver Bar /37,"1,600,230.00 VND",https://www.ebay.com/itm/365502658604,https://i.ebayimg.com/images/g/QYUAAOSwwH9n7f-M/s-l140.jpg,"Sold  Apr 9, 2025"
2023-24 Panini Impeccable Premier League Soccer Richarlison #71 Silver Bar /37,"1,342,371.80 VND",https://www.ebay.com/itm/365427707668,https://i.ebayimg.com/images/g/AQcAAOSwEvVnv9gU/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Panini Impeccable Premier League Richarlison #71 Silver Bar Hotspur /37,"1,342,371.80 VND",https://www.ebay.com/itm/365421529267,https://i.ebayimg.com/images/g/eYkAAOSwIg9nvREa/s-l140.jpg,"Sold  Mar 1, 2025"
2021-22 PANINI CHRONICLES SOCCER PLAYOFF RICHARLISON #66 EVERTON,"3,893.54 VND",https://www.ebay.com/itm/396365972015,https://i.ebayimg.com/images/g/dGQAAeSw2Mxn1d-I/s-l140.jpg,"Sold  Apr 2, 2025"
2021-22 PANINI CHRONICLES SOCCER PLAYOFF RICHARLISON #66 EVERTON,"35,041.82 VND",https://www.ebay.com/itm/396323111825,https://i.ebayimg.com/images/g/dGQAAeSw2Mxn1d-I/s-l140.jpg,"Sold  Mar 22, 2025"
2020 Panini Prizm Premier League Richarlison Color Blast SSP #13,"2,642,962.50 VND",https://www.ebay.com/itm/376085595572,https://i.ebayimg.com/images/g/S~8AAeSwnQpn3Hwg/s-l140.jpg,"Sold  Mar 25, 2025"
2020 Panini Prizm Premier League Richarlison Color Blast #13,"3,864,655.80 VND",https://www.ebay.com/itm/167256547402,https://i.ebayimg.com/images/g/bgMAAOSwkG1niSRB/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Panini Prizm Premier League Richarlison Manga SSP,"979,830.00 VND",https://www.ebay.com/itm/405566972310,https://i.ebayimg.com/images/g/rWgAAOSwLNZnt~pa/s-l140.jpg,"Sold  Feb 27, 2025"
RICHARLISON 2023 SELECT PREMIER LEAGUE SOCCER GOLD PRIZM /10 PSA 10 Q0902,"1,057,185.00 VND",https://www.ebay.com/itm/276955762586,https://i.ebayimg.com/images/g/sXEAAeSw~~dn2FS-/s-l140.jpg,"Sold  Mar 24, 2025"
RICHARLISON 2023 SELECT PREMIER LEAGUE ZEBRA PRIZM /25 PSA 9 Q0902,"528,592.50 VND",https://www.ebay.com/itm/276955762623,https://i.ebayimg.com/images/g/PFkAAeSwVRpn2FUK/s-l140.jpg,"Sold  Mar 24, 2025"
RICHARLISON 2022 PANINI PRIZM FIFA WORLD CUP PINK PSA 10 Q4153,"109,586.25 VND",https://www.ebay.com/itm/276929025775,https://i.ebayimg.com/images/g/OOYAAeSwNLNny5ss/s-l140.jpg,"Sold  Mar 17, 2025"
RICHARLISON 2022 PANINI PRIZM FIFA WORLD CUP QATAR PINK BRAZIL #34 Q1699,"25,785.00 VND",https://www.ebay.com/itm/276805836488,https://i.ebayimg.com/images/g/AFgAAOSwciFnev~m/s-l140.jpg,"Sold  Jan 12, 2025"
2020-21 Panini Prizm Premier League - Richarlison #120 Blue Prizm /199,"58,016.25 VND",https://www.ebay.com/itm/356642554378,https://i.ebayimg.com/images/g/-CUAAeSwVtdnyvFz/s-l140.jpg,"Sold  Mar 16, 2025"
2023 Panini Prizm Premier League Richarlison Red #180/199,"25,527.15 VND",https://www.ebay.com/itm/126938062321,https://i.ebayimg.com/images/g/2uwAAeSwoe9nrQ-o/s-l140.jpg,"Sold  Feb 17, 2025"
RICHARLISON 2024-25 Topps UEFA Club Competitions NEW CHAPTER /36🔥,"90,247.50 VND",https://www.ebay.com/itm/267109072705,https://i.ebayimg.com/images/g/X-8AAOSwVQFncLC0/s-l140.jpg,"Sold  Jan 28, 2025"
RICHARLISON 2024-25 Topps UEFA Club Competitions NEW CHAPTER /36🔥,"128,925.00 VND",https://www.ebay.com/itm/146340094087,https://i.ebayimg.com/images/g/1lQAAOSwaIlncdAD/s-l140.jpg,"Sold  Jan 26, 2025"
2019-20 Panini Prizm Premier League KABOOM! Richarlison No. K-7 SSP,"1,547,100.00 VND",https://www.ebay.com/itm/326419798215,https://i.ebayimg.com/images/g/-mQAAOSwfWtnlwwZ/s-l140.jpg,"Sold  Jan 27, 2025"
2019-20 Panini Prizm Premier League KABOOM! Richarlison No. K-7 SSP,"1,547,100.00 VND",https://www.ebay.com/itm/276814903332,https://i.ebayimg.com/images/g/4VQAAOSwEyJnhH0h/s-l140.jpg,"Sold  Jan 15, 2025"
2022-23 Topps Finest UEFA Club Competitions Soccer - Richarlison /50,"25,527.15 VND",https://www.ebay.com/itm/146326899502,https://i.ebayimg.com/images/g/1zUAAOSwcPVngr4-/s-l140.jpg,"Sold  Jan 18, 2025"
2022-23 Topps Finest UEFA Club Competitions Soccer - Richarlison /50,"83,801.25 VND",https://www.ebay.com/itm/146326901975,https://i.ebayimg.com/images/g/eDIAAOSwj5pngr8X/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 PANINI OBSIDIAN SOCCER RICHARLISON PATCH AUTO /199 TOTTENHAM HOTSPUR BG,"232,065.00 VND",https://www.ebay.com/itm/405465080849,https://i.ebayimg.com/images/g/wt0AAOSwlFpnfoOo/s-l140.jpg,"Sold  Jan 9, 2025"
2023-24 PANINI OBSIDIAN SOCCER RICHARLISON PATCH AUTO /199 TOTTENHAM HOTSPUR BG2,"232,065.00 VND",https://www.ebay.com/itm/405467452519,https://i.ebayimg.com/images/g/0ggAAOSwXuVnf9-M/s-l140.jpg,"Sold  Jan 9, 2025"
Richarlison - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"128,925.00 VND",https://www.ebay.com/itm/226620242057,https://i.ebayimg.com/images/g/uDAAAeSwb7FnwUxE/s-l140.jpg,"Sold  Mar 1, 2025"
