Title,Price,Link,Image Link,Sold Date
2012-13 Panini Adrenalyn XL UEFA Champions League Rio Ferdinand,"36,099.00 VND",https://www.ebay.com/itm/335796045517,https://i.ebayimg.com/images/g/C8wAAOSwWxlnoOI6/s-l140.jpg,"Sold  Mar 29, 2025"
2012-13 Panini Adrenalyn XL UEFA Champions League Rio Ferdinand,"34,036.20 VND to 36,099.00 VND",https://www.ebay.com/itm/235969074576,https://i.ebayimg.com/images/g/m2sAAeSwpvNn7dOW/s-l140.jpg,"Sold  Mar 14, 2025"
2010 Panini Adrenalyn XL World Cup Limited Edition Rio Ferdinand England #YPM,"83,801.25 VND",https://www.ebay.com/itm/197130749181,https://i.ebayimg.com/images/g/B5cAAOSwdVtn3AsP/s-l140.jpg,"Sold  Mar 25, 2025"
2010 Panini Adrenalyn XL FIFA World Cup Limited Rio Ferdinand England Superstar,"83,801.25 VND",https://www.ebay.com/itm/256781206102,https://i.ebayimg.com/images/g/7oAAAOSwoR5nePRX/s-l140.jpg,"Sold  Jan 19, 2025"
Rio Ferdinand CHAMPION Panini UEFA Champions League 2009-2010 Super Strikes,"98,875.16 VND",https://www.ebay.com/itm/396338507261,https://i.ebayimg.com/images/g/j-QAAOSw3Rtm~rfb/s-l140.jpg,"Sold  Mar 31, 2025"
Rio Ferdinand CHAMPION Panini UEFA Champions League 2009-2010 Super Strikes,"98,875.16 VND",https://www.ebay.com/itm/396207370775,https://i.ebayimg.com/images/g/j-QAAOSw3Rtm~rfb/s-l140.jpg,"Sold  Mar 3, 2025"
Rio Ferdinand CHAMPION Panini UEFA Champions League 2009-2010 Super Strikes,"98,875.16 VND",https://www.ebay.com/itm/396116334368,https://i.ebayimg.com/images/g/j-QAAOSw3Rtm~rfb/s-l140.jpg,"Sold  Feb 3, 2025"
2024 Futera Unique RIO FERDINAND 18/20 Patch Reflection SP England #RF08,"247,190.00 VND",https://www.ebay.com/itm/306209882610,https://i.ebayimg.com/images/g/H6gAAOSwUFpn0a2p/s-l140.jpg,"Sold  Apr 7, 2025"
2024 Futera Unique RIO FERDINAND 18/20 Patch Reflection SP England #RF08,"247,190.00 VND",https://www.ebay.com/itm/306175212994,https://i.ebayimg.com/images/g/H6gAAOSwUFpn0a2p/s-l140.jpg,"Sold  Mar 20, 2025"
Corinthian Prostars - Rio Ferdinand - Leeds United 2001/2002 - PRO464,"116,751.74 VND",https://www.ebay.com/itm/135514035533,https://i.ebayimg.com/images/g/mGUAAOSwSi5nkosn/s-l140.jpg,"Sold  Apr 1, 2025"
Corinthian Prostars - Rio Ferdinand - West Ham United 1999/2000 - PRO253,"100,072.92 VND",https://www.ebay.com/itm/135151318926,https://i.ebayimg.com/images/g/i00AAOSw4PBj5doS/s-l140.jpg,"Sold  Feb 15, 2025"
2003 Topps C18 Premier Gold Card #MU2 Rio Ferdinand Manchester United,"85,183.00 VND",https://www.ebay.com/itm/255034326840,https://i.ebayimg.com/images/g/gNgAAOSwKZBg200h/s-l140.jpg,"Sold  Mar 31, 2025"
2002-03 Topps Premier Gold All-Time #AT20 Rio Ferdinand Manchester United,"129,839.80 VND",https://www.ebay.com/itm/176840138199,https://i.ebayimg.com/images/g/fy0AAOSw2n9notzi/s-l140.jpg,"Sold  Feb 18, 2025"
Topps Premier Gold 2003 Rio Ferdinand #MU2 Manchester United,"129,839.80 VND",https://www.ebay.com/itm/176840104031,https://i.ebayimg.com/images/g/2OkAAOSwugZnoteh/s-l140.jpg,"Sold  Feb 18, 2025"
Topps Match Attax 2010-2011 Rio Ferdinand 100 Hundred Club MINT! NEW! #442,"49,702.88 VND",https://www.ebay.com/itm/135645717456,https://i.ebayimg.com/images/g/RtQAAeSwVRxnzc57/s-l140.jpg,"Sold  Mar 30, 2025"
Topps Match Attax RUSSIA 2010-2011 Rio Ferdinand 100 Hundred Club MINT! RUSSIAN,"66,381.70 VND",https://www.ebay.com/itm/135610190003,https://i.ebayimg.com/images/g/YO8AAeSwIIZnzc-u/s-l140.jpg,"Sold  Mar 16, 2025"
