Title,Price,Link,Image Link,Sold Date
2002 Panini World Cup Rivaldo #36,"88,184.70 VND to 174,048.75 VND",https://www.ebay.com/itm/235947230526,https://i.ebayimg.com/images/g/lfAAAeSwfZNnpZb~/s-l140.jpg,"Sold  Apr 4, 2025"
2002 Panini World Cup #36 Rivaldo Brasil,"103,140.00 VND",https://www.ebay.com/itm/396243060173,https://i.ebayimg.com/images/g/4csAAOSwBXdnl-y1/s-l140.jpg,"Sold  Mar 3, 2025"
2002 Panini World Cup Japanese Edition Rivaldo #20,"154,710.00 VND",https://www.ebay.com/itm/256826377980,https://i.ebayimg.com/images/g/Qa0AAeSwO-dnuCYy/s-l140.jpg,"Sold  Apr 4, 2025"
2002 Panini World Cup Japanese Edition #20 Rivaldo Brazil,"58,016.25 VND",https://www.ebay.com/itm/267183679955,https://i.ebayimg.com/images/g/NoAAAOSwUGRnva-p/s-l140.jpg,"Sold  Mar 16, 2025"
2023-24 Panini Immaculate Collection Soccer Elegant Ink Rivaldo AUTO 64/99,"1,315,035.00 VND",https://www.ebay.com/itm/365487766831,https://i.ebayimg.com/images/g/R5UAAOSwtipn5b2B/s-l140.jpg,"Sold  Apr 3, 2025"
2023-24 Panini Immaculate Soccer Elegant Ink Rivaldo /99 Auto,"1,415,893.21 VND",https://www.ebay.com/itm/205369076898,https://i.ebayimg.com/images/g/TigAAeSwgB9n3cPI/s-l140.jpg,"Sold  Mar 31, 2025"
23-24 Immaculate Soccer Rivaldo Auto /10 Elegant Ink Barcelona ,"3,094,200.00 VND",https://www.ebay.com/itm/405681675675,https://i.ebayimg.com/images/g/1vIAAeSwRlNnxz0w/s-l140.jpg,"Sold  Apr 1, 2025"
23-24 Immaculate Soccer Rivaldo Auto /10 Elegant Ink Barcelona ,"3,350,760.75 VND",https://www.ebay.com/itm/405681147900,https://i.ebayimg.com/images/g/OTIAAeSwflpn3R5X/s-l140.jpg,"Sold  Mar 24, 2025"
23-24 Immaculate Soccer Rivaldo Auto /10 Elegant Ink Barcelona ,"4,512,375.00 VND",https://www.ebay.com/itm/405605656287,https://i.ebayimg.com/images/g/1vIAAeSwRlNnxz0w/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini immaculate soccer AC Milan Rivaldo Modern Marks Auto Gold /10,"4,125,342.15 VND",https://www.ebay.com/itm/167394737934,https://i.ebayimg.com/images/g/DPkAAeSw9c9nxSIY/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini immaculate soccer AC Milan Rivaldo Modern Marks Auto Gold /10,"4,125,342.15 VND",https://www.ebay.com/itm/167384416187,https://i.ebayimg.com/images/g/DPkAAeSw9c9nxSIY/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Immaculate Soccer Collection Rivaldo - Modern Marks Auto /49 SP,"954,045.00 VND",https://www.ebay.com/itm/256856326193,https://i.ebayimg.com/images/g/VJ4AAeSwBk1nw6PK/s-l140.jpg,"Sold  Mar 19, 2025"
2023-24 Panini immaculate soccer AC Milan Rivaldo Modern Marks Auto /99,"1,263,465.00 VND",https://www.ebay.com/itm/167350973927,https://i.ebayimg.com/images/g/EpgAAeSw~Z5nxSC1/s-l140.jpg,"Sold  Mar 7, 2025"
2023 Topps Chrome UEFA Rivaldo Golazo #GL-7,"25,527.15 VND",https://www.ebay.com/itm/127000891140,https://i.ebayimg.com/images/g/o74AAeSwoMtn20vx/s-l140.jpg,"Sold  Mar 23, 2025"
2023 Topps Chrome UEFA Rivaldo Golazo Red 2/5,"2,320,392.15 VND",https://www.ebay.com/itm/375670076517,https://i.ebayimg.com/images/g/-ukAAOSwe1Zm8xg-/s-l140.jpg,"Sold  Jan 19, 2025"
2023 Topps Chrome UEFA Rivaldo Golazo #GL-7,"46,413.00 VND",https://www.ebay.com/itm/375900806245,https://i.ebayimg.com/images/g/EXsAAOSwDlBndviP/s-l140.jpg,"Sold  Jan 7, 2025"
183 Rivaldo Brasil # FIFA World Cup Korea/Japan 2002 (Panini),"28,250.05 VND",https://www.ebay.com/itm/226639835729,https://i.ebayimg.com/images/g/dLMAAOSwEU5nzy6C/s-l140.jpg,"Sold  Mar 17, 2025"
183 Rivaldo Brasil # FIFA World Cup Korea/Japan 2002 (Panini),"70,625.12 VND",https://www.ebay.com/itm/226612587426,https://i.ebayimg.com/images/g/L8EAAOSw-z5nuZgB/s-l140.jpg,"Sold  Mar 1, 2025"
Rivaldo - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #5,"362,279.25 VND",https://www.ebay.com/itm/235980064452,https://i.ebayimg.com/images/g/KLgAAeSw06xnwUwd/s-l140.jpg,"Sold  Mar 1, 2025"
Rivaldo - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"515,957.85 VND",https://www.ebay.com/itm/297052409259,https://i.ebayimg.com/images/g/L7sAAeSwIX1nu~ls/s-l140.jpg,"Sold  Feb 26, 2025"
