Title,Price,Link,Image Link,Sold Date
2023 ROBBIE KEANE AUTO TOPPS PRISTINE ROAD TO UEFA EURO 2024 AUTO PA-RK,"270,742.50 VND",https://www.ebay.com/itm/326497865710,https://i.ebayimg.com/images/g/WxYAAeSw-pRn1JuO/s-l140.jpg,"Sold  Mar 29, 2025"
2023 ROBBIE KEANE AUTO TOPPS PRISTINE ROAD TO UEFA EURO 2024 AUTO PA-RK,"219,172.50 VND",https://www.ebay.com/itm/326486677381,https://i.ebayimg.com/images/g/WxYAAeSw-pRn1JuO/s-l140.jpg,"Sold  Mar 21, 2025"
2023 Topps Pristine Road to UEFA Euro 2024 Auto Robbie Keane #PA-RK Auto,"451,237.50 VND to 480,890.25 VND",https://www.ebay.com/itm/335819042682,https://i.ebayimg.com/images/g/jksAAeSwO8BntUA5/s-l140.jpg,"Sold  Mar 17, 2025"
2023 Topps Pristine Road To UEFA Euro 2024 Robbie Keane Autograph Auto - #PA-RK,"141,817.50 VND",https://www.ebay.com/itm/276821206976,https://i.ebayimg.com/images/g/zFwAAOSwzVhni~P~/s-l140.jpg,"Sold  Jan 25, 2025"
2023 Topps Pristine Road to UEFA Euro 2024 - Autographs #PA-RK Robbie Keane (AU),"515,442.15 VND",https://www.ebay.com/itm/235740041343,https://i.ebayimg.com/images/g/54QAAOSwb09m4g77/s-l140.jpg,"Sold  Mar 23, 2025"
2023 Topps Pristine Road to UEFA Euro 2024 - Autographs #PA-RK Robbie Keane (AU),"32,231.25 VND",https://www.ebay.com/itm/387817893668,https://i.ebayimg.com/images/g/XHwAAOSwX11nhDN~/s-l140.jpg,"Sold  Jan 19, 2025"
2023 Topps Pristine Road To Euro 2024 Robbie Keane Auto #/99,"182,400.20 VND",https://www.ebay.com/itm/126911491644,https://i.ebayimg.com/images/g/YAMAAOSw~O9nm95u/s-l140.jpg,"Sold  Feb 4, 2025"
2023 Topps Pristine Road to Euro '24 Autograph (2) #PA-RK Robbie Keane - Ireland,"260,200.00 VND",https://www.ebay.com/itm/286355491881,https://i.ebayimg.com/images/g/17MAAOSw6ppnuy5I/s-l140.jpg,"Sold  Mar 25, 2025"
2023 Topps Pristine Road to Euro '24 Autograph #PA-RK Robbie Keane - Ireland,"260,200.00 VND",https://www.ebay.com/itm/286355488944,https://i.ebayimg.com/images/g/WfgAAOSwv4BnuyxK/s-l140.jpg,"Sold  Mar 6, 2025"
Robbie Keane Signed White MLS Soccer Jersey AUTO BAS Hologram Sz M,"611,470.00 VND",https://www.ebay.com/itm/365468238033,https://i.ebayimg.com/images/g/ir8AAOSw5i5n2azy/s-l140.jpg,"Sold  Mar 25, 2025"
Robbie Keane Signed Los Angeles Galaxy Soccer Jersey AUTO BAS Hologram Sz M,"507,390.00 VND",https://www.ebay.com/itm/365380535714,https://i.ebayimg.com/images/g/0ysAAOSwI-dno6He/s-l140.jpg,"Sold  Feb 12, 2025"
Robbie Keane 2014 Topps MLS Chrome #1 LA Galaxy,"52,040.00 VND",https://www.ebay.com/itm/356252718810,https://i.ebayimg.com/images/g/BOkAAOSwPkVnM6Kg/s-l140.jpg,"Sold  Mar 20, 2025"
Robbie Keane 2014 Topps MLS #WS-RK LA Galaxy,"52,040.00 VND",https://www.ebay.com/itm/356427152390,https://i.ebayimg.com/images/g/IPwAAOSwwsJndehQ/s-l140.jpg,"Sold  Mar 20, 2025"
2023 Topps Chrome MLS Flashbacks Blue Mini-Diamond Refractor /199 Robbie Keane,"35,127.00 VND",https://www.ebay.com/itm/256827471680,https://i.ebayimg.com/images/g/r8kAAeSw8ixnzuDn/s-l140.jpg,"Sold  Mar 17, 2025"
2023 Topps Chrome MLS Blue Mini-Diamonds Refractors #15 Robbie Keane FB /199,"104,080.00 VND",https://www.ebay.com/itm/167006358331,https://i.ebayimg.com/images/g/IpIAAOSwY9BnfnWz/s-l140.jpg,"Sold  Jan 12, 2025"
2016 Select Robbie Keane Light Blue Die Cut Mezzanine #26/249,"32,525.00 VND",https://www.ebay.com/itm/375976275620,https://i.ebayimg.com/images/g/2ukAAeSwPDVnpR98/s-l140.jpg,"Sold  Feb 11, 2025"
2016 Select Robbie Keane Purple Die Cut Mezzanine #81/149,"84,565.00 VND",https://www.ebay.com/itm/375976264430,https://i.ebayimg.com/images/g/8ZUAAeSw3thnpR3Q/s-l140.jpg,"Sold  Feb 11, 2025"
2016 Topps Apex Global Influence Green /50 Robbie Keane #GI-RK,"156,120.00 VND",https://www.ebay.com/itm/235953950480,https://i.ebayimg.com/images/g/0f0AAeSwsT5nq2oW/s-l140.jpg,"Sold  Feb 11, 2025"
