Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Signatures Breakaway Robert Pires #S-RP Auto,"1,318,644.90 VND to 1,348,297.65 VND",https://www.ebay.com/itm/335682637262,https://i.ebayimg.com/images/g/YzgAAOSwj19nPAqP/s-l140.jpg,"Sold  Feb 13, 2025"
2020-21 Panini Prizm Premier League Signatures Robert Pires #S-RP Auto,"386,517.15 VND",https://www.ebay.com/itm/176799668754,https://i.ebayimg.com/images/g/dDYAAOSwWBBnjreb/s-l140.jpg,"Sold  Jan 27, 2025"
2020-21 Panini Prizm Premier League Signatures Choice Robert Pires #S-RP Auto,"477,022.50 VND",https://www.ebay.com/itm/356690768825,https://i.ebayimg.com/images/g/Ji4AAOSwY2VnvvtZ/s-l140.jpg,"Sold  Mar 25, 2025"
2020-21 Panini Prizm Premier League Signatures Choice Robert Pires #S-RP Auto,"282,087.90 VND",https://www.ebay.com/itm/356645511726,https://i.ebayimg.com/images/g/Ji4AAOSwY2VnvvtZ/s-l140.jpg,"Sold  Mar 13, 2025"
2020-21 Panini Prizm Premier League Signatures Choice Robert Pires #S-RP Auto,"348,097.50 VND",https://www.ebay.com/itm/356613426609,https://i.ebayimg.com/images/g/Ji4AAOSwY2VnvvtZ/s-l140.jpg,"Sold  Mar 3, 2025"
Robert Pires 016 /105 Champion FOIL 2001-02 Wizards Of The Coast Soccer Card,"2,346,435.00 VND",https://www.ebay.com/itm/286432496342,https://i.ebayimg.com/images/g/cGQAAeSwQnNn4JI5/s-l140.jpg,"Sold  Mar 30, 2025"
2021-22 Panini Mosaic Robert Pires Arsenal Auto Premier League Soccer #AM-RP,"902,475.00 VND",https://www.ebay.com/itm/135645532061,https://i.ebayimg.com/images/g/uuMAAeSwMNtn4EUq/s-l140.jpg,"Sold  Mar 23, 2025"
2021-22 MOSAIC PREMIER LEAGUE SOCCER ROBERT PIRES AUTOGRAPHS /25,"322,312.50 VND",https://www.ebay.com/itm/405651426889,https://i.ebayimg.com/images/g/WesAAOSweaZn00r3/s-l140.jpg,"Sold  Mar 22, 2025"
2023 Topps Pristine Road to UEFA Euro 2024 - Encased Robert Pires,"25,785.00 VND",https://www.ebay.com/itm/167377860354,https://i.ebayimg.com/images/g/xAAAAeSwlFtnuVrM/s-l140.jpg,"Sold  Mar 21, 2025"
robert pires /50 champions league topps,"154,710.00 VND",https://www.ebay.com/itm/395830653614,https://i.ebayimg.com/images/g/QQsAAOSwc5FnHGmD/s-l140.jpg,"Sold  Mar 7, 2025"
2023 Topps Chrome UEFA Club Competitions Red Lava Refractor Robert Pires #SD-15,"32,231.25 VND",https://www.ebay.com/itm/235954326269,https://i.ebayimg.com/images/g/ZbgAAeSwvrFnq8Q4/s-l140.jpg,"Sold  Feb 21, 2025"
2021 Panini Chronicles Noir Spotlight Signatures La Liga /179 Robert Pires Auto,"524,982.60 VND",https://www.ebay.com/itm/256806584976,https://i.ebayimg.com/images/g/7cQAAeSw-YFnpAGU/s-l140.jpg,"Sold  Feb 15, 2025"
2024 Topps Pristine Road to UEFA Euro Pink Pristine Refractor 7/15 Robert Pires,"167,602.50 VND",https://www.ebay.com/itm/235902921792,https://i.ebayimg.com/images/g/7bEAAOSwj89nfJ58/s-l140.jpg,"Sold  Jan 11, 2025"
2024 Topps Arsenal Invincibles Soccer Robert Pires 2003-04 Autograph 62/75,"1,134,540.00 VND",https://www.ebay.com/itm/316086323850,https://i.ebayimg.com/images/g/SBUAAOSwKQlncMwb/s-l140.jpg,"Sold  Jan 9, 2025"
2024 Topps Arsenal Invincibles Soccer Robert Pires 2003-04 Autograph 44/75,"1,057,185.00 VND",https://www.ebay.com/itm/316086323948,https://i.ebayimg.com/images/g/0qEAAOSwNbZncMxG/s-l140.jpg,"Sold  Jan 9, 2025"
349 Robert Pires France # UEFA EURO 2000 (Panini),"56,500.09 VND",https://www.ebay.com/itm/226648055585,https://i.ebayimg.com/images/g/og0AAOSwQ1Zn1Zz1/s-l140.jpg,"Sold  Mar 22, 2025"
37 Robert Pires # FIFA World Cup Korea/Japan 2002 (Panini),"28,250.05 VND",https://www.ebay.com/itm/226643063055,https://i.ebayimg.com/images/g/veoAAOSwehBn0ZLc/s-l140.jpg,"Sold  Mar 19, 2025"
Robert Pires 2023-24 Topps Inception UEFA Star Quality Auto Blue 18/49 [dbI69,"1,804,950.00 VND",https://www.ebay.com/itm/376061713689,https://i.ebayimg.com/images/g/StkAAOSwCvxn0OuE/s-l140.jpg,"Sold  Mar 16, 2025"
Robert Pires Didier Drogba 2023-24 Chrome UEFA Club Competitions 13 Cards Lots,"401,988.15 VND",https://www.ebay.com/itm/376032740783,https://i.ebayimg.com/images/g/5XAAAOSwAwpnwpwn/s-l140.jpg,"Sold  Mar 5, 2025"
2021-22 Panini Mosaic Premier League Prizm Autograph ROBERT PIRES,"373,882.50 VND",https://www.ebay.com/itm/387982923392,https://i.ebayimg.com/images/g/99IAAOSw~VdnudEJ/s-l140.jpg,"Sold  Mar 1, 2025"
PANINI MOSAIC PREMIER LEAGUE 2021-22  ROBERT PIRES RED FUSION TMALL AUTO ARSENAL,"2,325,706.77 VND",https://www.ebay.com/itm/365323139933,https://i.ebayimg.com/images/g/qY8AAOSw1-5mWeg6/s-l140.jpg,"Sold  Feb 4, 2025"
"Robert Pires Hand Signed Autograph Card, Autograph, Arsenal, France, World Cup 98","127,407.71 VND",https://www.ebay.com/itm/205218827912,https://i.ebayimg.com/images/g/0TwAAOSwFShngs34/s-l140.jpg,"Sold  Jan 18, 2025"
