Title,Price,Link,Image Link,Sold Date
Panini English Premier League 2021 - Robert Snodgrass West Ham United No. 599,"33,229.13 VND",https://www.ebay.com/itm/205206754221,https://i.ebayimg.com/images/g/TfoAAOSwln9nem1a/s-l140.jpg,"Sold  Jan 28, 2025"
Panini Adrenalyn XL Premier League 2020/21 - Robert Snodgrass (West Ham) No. 293,"33,229.13 VND",https://www.ebay.com/itm/196895436419,https://i.ebayimg.com/images/g/JlkAAOSwYxhnXrei/s-l140.jpg,"Sold  Jan 28, 2025"
Panini English Football 2020 - Robert Snodgrass West Ham United No. 592,"33,357.64 VND",https://www.ebay.com/itm/205200709803,https://i.ebayimg.com/images/g/6X0AAOSwV0dndlFr/s-l140.jpg,"Sold  Jan 28, 2025"
PANINI PREMIER LEAGUE 2021 UPDATE STICKER U40 ROBERT SNODGRASS WEST BROM ALBION,"58,150.98 VND",https://www.ebay.com/itm/396121056249,https://i.ebayimg.com/images/g/Xo8AAOSwkURnhTaA/s-l140.jpg,"Sold  Mar 11, 2025"
Panini Premier League Adrenalyn XL 2019/20 - Robert Snodgrass West Ham No. 336,"33,229.13 VND",https://www.ebay.com/itm/205156217005,https://i.ebayimg.com/images/g/7tEAAOSw2ydnWBRt/s-l140.jpg,"Sold  Jan 28, 2025"
Panini Premier League 2021 (UPDATE) Robert Snodgrass (West Brom) No. U40,"66,125.97 VND",https://www.ebay.com/itm/196905426061,https://i.ebayimg.com/images/g/CxkAAOSwdCVnZut3/s-l140.jpg,"Sold  Jan 28, 2025"
Robert Snodgrass Family Antique Cabinet Card Photo Galion Ohio SCHOOL OF HORSES,"650,500.00 VND",https://www.ebay.com/itm/335897848673,https://i.ebayimg.com/images/g/0tIAAeSwXURn8fHI/s-l500.jpg,"Sold  Apr 8, 2025"
LIVINGSTON: ROBERT SNODGRASS SIGNED ACTION PHOTO+COA,"99,739.34 VND",https://www.ebay.com/itm/293011850234,https://i.ebayimg.com/images/g/mAIAAOSwQJxZ01SA/s-l140.jpg,"Sold  Feb 21, 2025"
Panini Football 2020 - Robert Snodgrass (West Ham United) No. 592,"33,357.64 VND",https://www.ebay.com/itm/196890296792,https://i.ebayimg.com/images/g/RCUAAOSwO6FnWsLo/s-l140.jpg,"Sold  Jan 28, 2025"
Merlin Premier League 2017 - Hull City Robert Snodgrass No.115,"33,357.64 VND",https://www.ebay.com/itm/192556096054,https://i.ebayimg.com/images/g/N6UAAOSwVxtbEUlQ/s-l140.jpg,"Sold  Jan 28, 2025"
Match Attax 2018/19 EXTRA - West Ham Robert Snodgrass (Update Card) No.U77,"33,357.64 VND",https://www.ebay.com/itm/205150618641,https://i.ebayimg.com/images/g/O28AAOSw3cFnU~YM/s-l140.jpg,"Sold  Jan 28, 2025"
Match Attax 2016-2017 Robert Snodgrass Hull City Base card No. 123,"33,357.64 VND",https://www.ebay.com/itm/192632364517,https://i.ebayimg.com/images/g/zGcAAOSwfHFbesJI/s-l140.jpg,"Sold  Jan 28, 2025"
Match Attax 2016-2017 EXTRA Robert Snodgrass West Ham United New Signing No.NS25,"33,357.64 VND",https://www.ebay.com/itm/192633160447,https://i.ebayimg.com/images/g/1Y0AAOSwqLxbe~2M/s-l140.jpg,"Sold  Jan 28, 2025"
Robert Snodgrass - Hull - Signed Trading Card - COA (69000),"99,739.34 VND",https://www.ebay.com/itm/296922634259,https://i.ebayimg.com/images/g/5yIAAOSw29pneQ5w/s-l140.jpg,"Sold  Jan 11, 2025"
