Title,Price,Link,Image Link,Sold Date
Roberto Pereyra 2019-20 Panini Prizm Premier League KABOOM! SSP,"1,289,250.00 VND",https://www.ebay.com/itm/326487562742,https://i.ebayimg.com/images/g/gtMAAeSwQ5ln1XVt/s-l140.jpg,"Sold  Mar 22, 2025"
Roberto Pereyra 2019-20 Panini Prizm Premier League KABOOM! SSP,"1,547,100.00 VND",https://www.ebay.com/itm/375981773655,https://i.ebayimg.com/images/g/b2EAAOSwWlFnp4ep/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Prizm World Cup Qatar Roberto Pereyra Auto,"528,592.50 VND",https://www.ebay.com/itm/226371650248,https://i.ebayimg.com/images/g/Dn4AAOSwxRhm9VVT/s-l140.jpg,"Sold  Jan 20, 2025"
2022 Prizm World Cup Qatar Roberto Pereyra Auto,"515,442.15 VND",https://www.ebay.com/itm/176778458843,https://i.ebayimg.com/images/g/kiIAAOSwr51nfcNX/s-l140.jpg,"Sold  Jan 7, 2025"
New PANINI FOOTBALLERS 2013/2014 FIGURE #583. Roberto Pereyra (Udinese),"28,489.30 VND",https://www.ebay.com/itm/386754195870,https://i.ebayimg.com/images/g/TpAAAOSw9IBlwTkD/s-l140.jpg,"Sold  Feb 26, 2025"
New PANINI FOOTBALLERS 2015-16 FIGURE #316. Roberto Pereyra (Juventus),"28,489.30 VND",https://www.ebay.com/itm/386845573264,https://i.ebayimg.com/images/g/774AAOSwro9l55qw/s-l140.jpg,"Sold  Feb 26, 2025"
NEW PANINI FOOTBALLERS 2021-22 2022 FIGURE #488. Roberto Pereyra (Udinese),"28,489.30 VND",https://www.ebay.com/itm/386955135574,https://i.ebayimg.com/images/g/IuwAAOSwL8Bl-Ih9/s-l140.jpg,"Sold  Feb 26, 2025"
NEW PANINI FOOTBALLERS 2014/15 FIGURE #253. Roberto Pereyra (Juventus),"42,733.95 VND",https://www.ebay.com/itm/386963324184,https://i.ebayimg.com/images/g/Jd8AAOSwrJdl-iRF/s-l140.jpg,"Sold  Feb 26, 2025"
SOCCER SANDWICHES 2022 2023 N.536 Roberto Pereyra Udinese,"28,489.30 VND",https://www.ebay.com/itm/304924904822,https://i.ebayimg.com/images/g/BUIAAOSw2V5kVMbg/s-l140.jpg,"Sold  Feb 26, 2025"
SOCCER SANDWICHES 2020 2021 N.544 Roberto Pereyra Udinese,"28,489.30 VND",https://www.ebay.com/itm/304938947836,https://i.ebayimg.com/images/g/z7gAAOSws-9kYell/s-l140.jpg,"Sold  Feb 26, 2025"
2019-20 Panini Prizm Premier League Roberto Pereyra Kaboom! SP #K-15 Watford,"1,286,413.65 VND",https://www.ebay.com/itm/127005358952,https://i.ebayimg.com/images/g/xYMAAeSwBRhn3Hgw/s-l140.jpg,"Sold  Mar 25, 2025"
Panini Select 2022-23 Serie A No. 89 Roberto Pereyra Zebra Prizm 20/20,"282,217.96 VND",https://www.ebay.com/itm/316139679068,https://i.ebayimg.com/images/g/zzEAAOSw44lnihw~/s-l140.jpg,"Sold  Jan 19, 2025"
2022 Panini Prizm World Cup International Ink #10 Roberto Pereyra Auto,"386,775.00 VND",https://www.ebay.com/itm/315774999825,https://i.ebayimg.com/images/g/4JoAAeSwbJ1n8SgV/s-l140.jpg,"Sold  Mar 20, 2025"
