Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select La Liga RODRIGO DE PAUL 03/10 Gold Prizm Field Level #218,"219,430.35 VND",https://www.ebay.com/itm/306191905637,https://i.ebayimg.com/images/g/xywAAOSwImJnwAgb/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 Panini Select La Liga RODRIGO DE PAUL 03/10 Gold Prizm Field Level #218,"474,186.15 VND",https://www.ebay.com/itm/306143445561,https://i.ebayimg.com/images/g/xywAAOSwImJnwAgb/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss Soccer #73 Rodrigo de Paul Argentina Optic Madrid,"25,527.15 VND",https://www.ebay.com/itm/405577907448,https://i.ebayimg.com/images/g/2RUAAeSwHTtnvQbt/s-l140.jpg,"Sold  Mar 30, 2025"
"2024-25 Donruss Soccer #73 Rodrigo de Paul, Argentina","25,527.15 VND",https://www.ebay.com/itm/235929722177,https://i.ebayimg.com/images/g/UogAAOSwp25nlQUm/s-l140.jpg,"Sold  Jan 28, 2025"
"2024-25 Donruss Soccer #73 Rodrigo de Paul, Argentina Blue  Optic /149","25,785.00 VND",https://www.ebay.com/itm/296979031061,https://i.ebayimg.com/images/g/cqQAAOSwuQJnmoLK/s-l140.jpg,"Sold  Feb 4, 2025"
2022 Panini Prizm World Cup Prizms White Sparkle #12 Rodrigo de Paul,"1,289,250.00 VND",https://www.ebay.com/itm/167411326139,https://i.ebayimg.com/images/g/LBwAAeSwF61n5wxt/s-l140.jpg,"Sold  Mar 29, 2025"
2022 Panini Prizm World Cup #12 Rodrigo de Paul,"51,312.15 VND",https://www.ebay.com/itm/365133339134,https://i.ebayimg.com/images/g/4-AAAeSwuQxn8W3j/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini Donruss FIFA Optic Purple Mojo Prizm /25 Rodrigo de Paul #7,"902,475.00 VND",https://www.ebay.com/itm/256870779996,https://i.ebayimg.com/images/g/RC8AAeSwZs9ntkr0/s-l140.jpg,"Sold  Mar 28, 2025"
2023-24 Panini Donruss FIFA Optic Purple Mojo Prizm /25 Rodrigo de Paul #7,"902,475.00 VND",https://www.ebay.com/itm/256827864673,https://i.ebayimg.com/images/g/RC8AAeSwZs9ntkr0/s-l140.jpg,"Sold  Mar 25, 2025"
2023-24 Panini Donruss FIFA Optic Red Prizm /299 Rodrigo de Paul #7,"42,029.55 VND to 310,451.40 VND",https://www.ebay.com/itm/256767845066,https://i.ebayimg.com/images/g/5HUAAeSwIKFnxFKF/s-l140.jpg,"Sold  Feb 14, 2025"
2022 Panini Prizm World Cup Rodrigo de Paul Purple Wave #87/99 PSA 6,"193,387.50 VND",https://www.ebay.com/itm/126988313427,https://i.ebayimg.com/images/g/r-gAAeSwC9tn0LQn/s-l140.jpg,"Sold  Mar 16, 2025"
2022 Panini Prizm World Cup Rodrigo De Paul /99,"309,420.00 VND",https://www.ebay.com/itm/146287018918,https://i.ebayimg.com/images/g/b3kAAOSwlsdnZ5MZ/s-l140.jpg,"Sold  Feb 7, 2025"
2024-25 Panini Donruss Soccer Red Optic #Rodrigo De Paul 065/299,"25,527.15 VND",https://www.ebay.com/itm/365443094211,https://i.ebayimg.com/images/g/rOgAAeSwXwZnyYF7/s-l140.jpg,"Sold  Mar 11, 2025"
2024-25 Panini Donruss Soccer Teal #Rodrigo De Paul 053/199,"25,527.15 VND",https://www.ebay.com/itm/365442996632,https://i.ebayimg.com/images/g/05YAAeSw1KpnyXK1/s-l140.jpg,"Sold  Mar 11, 2025"
Rodrigo De Paul 2024-25 Panini Donruss FIFA Base Red Parallel /99 Argentina,"32,231.25 VND",https://www.ebay.com/itm/256839719064,https://i.ebayimg.com/images/g/JoIAAOSwN65nsFn3/s-l140.jpg,"Sold  Mar 9, 2025"
