Title,Price,Link,Image Link,Sold Date
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"155,375.25 VND",https://www.ebay.com/itm/405707177200,https://i.ebayimg.com/images/g/w~QAAOSw6HRnfDJI/s-l140.jpg,"Sold  Apr 3, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"211,875.35 VND",https://www.ebay.com/itm/226670425706,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Apr 2, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"98,875.16 VND",https://www.ebay.com/itm/226659996320,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Mar 27, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"169,500.28 VND",https://www.ebay.com/itm/226641571605,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Mar 15, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"565,000.92 VND",https://www.ebay.com/itm/405644690886,https://i.ebayimg.com/images/g/w~QAAOSw6HRnfDJI/s-l140.jpg,"Sold  Mar 15, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"127,125.21 VND",https://www.ebay.com/itm/226626467972,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Mar 7, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"84,750.14 VND",https://www.ebay.com/itm/226618068546,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Mar 2, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"70,625.12 VND",https://www.ebay.com/itm/226603901808,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Feb 22, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"255,380.42 VND",https://www.ebay.com/itm/226595296053,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Feb 17, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"155,375.25 VND",https://www.ebay.com/itm/405536259882,https://i.ebayimg.com/images/g/w~QAAOSw6HRnfDJI/s-l140.jpg,"Sold  Feb 15, 2025"
Topps UEFA Champions League 2024/25 Stickers 531 Rodrigo Mora,"98,875.16 VND",https://www.ebay.com/itm/226586969595,https://i.ebayimg.com/images/g/eTwAAOSwHo1nbEET/s-l140.jpg,"Sold  Feb 12, 2025"
